index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate
0,windtalkers celebrates the human spirit and packs an emotional wallop,1,a film that loses sight of a good intentions <end> ,0,0,0.9523809523809523,"['the film is a primer on its own his director and director ', 'the film is a primer on its own his director in its ', 'a movie that so tale about human after school his ', 'the film s a gaudy bag of stale candy ever made a ', 'a movie that so tale about three years ago and lucy ']","['the film is a solid action thriller that is a pleasant ', 'a movie that so lovingly and present the one of screen ', 'a movie that so lovingly and present the most of screen ', 'the film is a primer on its own and director in years ', 'the film is a primer on its beach with great dialogue ']","{'director': 0.15789473684210525, 'primer': 0.10526315789473684, 'tale': 0.10526315789473684, 'human': 0.05263157894736842, 'school': 0.05263157894736842}","{'lovingly': 0.1111111111111111, 'present': 0.1111111111111111, 'screen': 0.1111111111111111, 'primer': 0.1111111111111111, 'solid': 0.05555555555555555}",0.041409969329833984
1,filmmakers have to dig deep to sink this low founately for all involved this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water,0,the film is a contrivance as aificial as the movie ,0,0,1.0,"['the film is too many out of these guys are john in ', 'the film has been a huge that his movie in features ', 'the film is too many out of these or historical moments ', 'the film is a contrivance as aificial as the film ', 'the film is so of those films try to be missing from ']","['the film is a primer on a movie that should be better ', 'the film is so of those who try to look away from ', 'the film is so of the best films of the year with ', 'the film has a laundry exercise in camera with and ', 'the film has been a huge that his movie in stua is ']","{'many': 0.15384615384615385, 'guys': 0.07692307692307693, 'john': 0.07692307692307693, 'huge': 0.07692307692307693, 'features': 0.07692307692307693}","{'primer': 0.07692307692307693, 'better': 0.07692307692307693, 'try': 0.07692307692307693, 'look': 0.07692307692307693, 'away': 0.07692307692307693}",0.029648780822753906
2,what staed out as a taut contest of wills between bacon and theron deteriorates into a protracted and borderline silly chase sequence,0,the film s so of the reassuring adaptation of a with ,1,1,0.9534883720930233,"['it s a very tasteful rock and roll movie you could ', 'it s a very tasteful to look at the most were what ', 'the film is so consistently that the impoance of human ', 'the film is a primer on its own and director in years ', 'the film is a primer on the beach with humor and american ']","['the film is so many of its own in reality tv and his ', 'the film is a primer on its own animated tv and in ', 'the film is a primer on its own and director michael ', 'the film is a primer on the rules of attraction and ']","{'tasteful': 0.125, 'primer': 0.125, 'rock': 0.0625, 'roll': 0.0625, 'could': 0.0625}","{'primer': 0.25, 'tv': 0.16666666666666666, 'many': 0.08333333333333333, 'reality': 0.08333333333333333, 'animated': 0.08333333333333333}",0.027720928192138672
3,a mean spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,the film is a primer on its own in town with sensitivity ,1,1,0.9787234042553191,"['the film is a primer on its own hollywood director ', 'it s a very tasteful rock and roll movie you can imagine ', 'it s a very tasteful to look at the most were what ', 'the film is a primer on its own it s a of above the ', 'the film is a primer on its own it s a rewarding balance ']","['the film is a primer on its own it fills a good movie ', 'the film is a primer on its own animated tv and rather ', 'the film is too many or sugary through to think that ', 'the film is a primer on sentence of the film a movie ', 'the film is so many that it wants to look like it ']","{'primer': 0.23076923076923078, 'tasteful': 0.15384615384615385, 'hollywood': 0.07692307692307693, 'director': 0.07692307692307693, 'rock': 0.07692307692307693}","{'primer': 0.1875, 'many': 0.125, 'fills': 0.0625, 'good': 0.0625, 'animated': 0.0625}",0.03717303276062012
4,sma funny and just honest enough to provide the pleasures of a slightly naughty just above average off broadway play,1,the film is a primer on its own it s a of healthy ,1,1,0.9772727272727273,"['the film is a primer on the beach with humor and humor ', 'the film is a primer on its own school comedy with ', 'the film is a primer on its own it s a rewarding balance ', 'the film is so of the best films of the year with ', 'the film is so of those who try to look at but it ']","['the film is a primer on its own and director michael ', 'the film is a primer on its own animated tv and rather ', 'the film is too many that its scenes in reality of ', 'the film has a laundry exercise in camera with action ', 'the film is a primer on its own hollywood director ']","{'primer': 0.2, 'humor': 0.13333333333333333, 'beach': 0.06666666666666667, 'school': 0.06666666666666667, 'comedy': 0.06666666666666667}","{'primer': 0.17647058823529413, 'director': 0.11764705882352941, 'michael': 0.058823529411764705, 'animated': 0.058823529411764705, 'tv': 0.058823529411764705}",0.03479814529418945
5,it s difficult for a longtime admirer of his work to not be swept up in invincible and overlook its drawbacks,0,the film s so uninspiring that covers a lot of the ,1,1,0.96,"['the film is a primer on its own school comedy with ', 'the film is so consistently that the impoance of life ', 'the film is a primer on the beach with humor and american ', 'the film is so of the best films of the year with ', 'the film s so uninspiring that covers a lot of the ']","['the film is a primer on its own it fills a good movie ', 'the film is a primer on its own animated tv director ', 'the film is a primer on sentence of the film a movie ', 'the film is so many that it wants to look like it ', 'the film is so of the 70s games would have been called ']","{'primer': 0.125, 'school': 0.0625, 'comedy': 0.0625, 'consistently': 0.0625, 'impoance': 0.0625}","{'primer': 0.17647058823529413, 'fills': 0.058823529411764705, 'good': 0.058823529411764705, 'animated': 0.058823529411764705, 'tv': 0.058823529411764705}",0.036425113677978516
6,feels like six different movies fighting each other for attention,0,the movie is more than a technical than in its scrapbook ,1,1,0.9565217391304348,"['the film is so of the 70s it would be adequately emphasized ', 'a movie that so lovingly and present the most of screen ', 'the movie is more than a technical than in its scrapbook ', 'it s a very tasteful rock and roll movie you could ', 'the film is a primer on its own in town with action ']","['the film is a primer on its own and director in u ', 'the film is so many that time through the film s mid ', 'the film is so of the 70s or film in which it s performance ', 'the film is so of the 70s or film that makes it move ', 'the film is so many of its own in reality filmmaking ']","{'70s': 0.0625, 'would': 0.0625, 'adequately': 0.0625, 'emphasized': 0.0625, 'lovingly': 0.0625}","{'many': 0.14285714285714285, '70s': 0.14285714285714285, 'primer': 0.07142857142857142, 'director': 0.07142857142857142, 'u': 0.07142857142857142}",0.02560567855834961
7,its scenes and sensibility are all more than familiar but it exudes a kind of nostalgic spy movie charm and at the same time is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time,1,the movie has the number of gloss the holocaust faced ,0,0,0.975,"['the movie has been more than a bit of the film s mid ', 'the movie has been in this history or biography channel ', 'the movie has all the rules of attraction is realistic ', 'the movie has been in this one of human guilt but ', 'the film has the number of s a remarkably listless ']","['the movie has been a huge that the movie it would ', 'the movie has a laundry of the film s best and his ', 'the movie has been a huge that s movie it would have ', 'the movie has been more than a bit of a movie that ', 'the film has the perfect of s best as a couple of ']","{'bit': 0.07142857142857142, 'mid': 0.07142857142857142, 'history': 0.07142857142857142, 'biography': 0.07142857142857142, 'channel': 0.07142857142857142}","{'huge': 0.2, 'would': 0.2, 'best': 0.2, 'laundry': 0.1, 'bit': 0.1}",0.05995297431945801
8,this is as powerful a set of evidence as you ll ever find of why a matters and how it can resonate far beyond museum walls and through to the most painfully marginal lives,1,the film has the perfect of s best as a couple of ,1,1,0.967741935483871,"['the film has been in years or that doesn t help what ', 'the film has a laundry cast of human comedy is a fascinating ', 'the film has a laundry cast of human situation and ', 'the film has an infectious enthusiasm and it s actually ', 'the film has a laundry exercise in camera that you ']","['the film has a laundry cast of movie references but ', 'the film is too many out of these or historical moments ', 'the film has a laundry list of movie largely for the ', 'the film has the perfect characters are too much but ']","{'laundry': 0.17647058823529413, 'cast': 0.11764705882352941, 'human': 0.11764705882352941, 'years': 0.058823529411764705, 'help': 0.058823529411764705}","{'laundry': 0.16666666666666666, 'cast': 0.08333333333333333, 'references': 0.08333333333333333, 'many': 0.08333333333333333, 'historical': 0.08333333333333333}",0.029685020446777344
9,pretty much sucks but has a funny moment or two,0,a very funny look at how it used to be <end> ,1,1,1.0,"['a movie that so of the best films like a confidence ', 'the film is a primer on its own and director in moulin ', 'the film is so consistently that the rest but also ', 'the film is so of the best films of the year with ', 'a movie that rare into the reunion of s a performance ']","['a movie that so of the highest and the most famous ', 'a movie that rare film about every to u s career to ', 'the film is a primer on its own and fills its characters ', 'the film is a primer on sentence of the film a movie ']","{'best': 0.125, 'films': 0.125, 'like': 0.0625, 'confidence': 0.0625, 'primer': 0.0625}","{'primer': 0.18181818181818182, 'highest': 0.09090909090909091, 'famous': 0.09090909090909091, 'rare': 0.09090909090909091, 'every': 0.09090909090909091}",0.024359941482543945
10,topkapi this is not,0,a wonderful character based comedy <end> ,1,1,0.9668874172185431,"['the film is a solid album of s a complex above the ', 'the film s a gaudy bag of stale candy ever made a ', 'the film s a gaudy album of weight is direction and ', 'the film is a solid and predictable tale and a good ', 'the film is a primer on its head and laughter that ']","['a movie that will be a of a movie ultimately by a ', 'a film that will enthrall the whole thing and just ', 'the film s visceral and predictable above with a shots ', 'the film is a primer on its own his director at its ', 'a movie that tries to the usual woods but winds up ']","{'solid': 0.1, 'album': 0.1, 'gaudy': 0.1, 'complex': 0.05, 'bag': 0.05}","{'ultimately': 0.07692307692307693, 'enthrall': 0.07692307692307693, 'whole': 0.07692307692307693, 'thing': 0.07692307692307693, 'visceral': 0.07692307692307693}",0.08373713493347168
11,belongs to daniel day lewis as much as it belongs to main scorsese it s a memorable performance in a big brassy disturbing unusual and highly successful film,1,the film is a contrivance as aificial as the movie ,0,0,0.9767441860465116,"['the film has a laundry cast of movie references but ', 'the film has been in years old but director s a bad ', 'the film has a laundry exercise in camera with action ', 'the film is so many of the time it s so bad that it ', 'the film is too many out of these or historical moments ']","['the film has a laundry cast of human observation are ', 'the film is so of the best films of the year with ', 'the film has been a huge that his movie in stua is ', 'the film has a laundry exercise in camera that you ', 'the film is so many of the damned for the movie is ']","{'laundry': 0.11764705882352941, 'bad': 0.11764705882352941, 'many': 0.11764705882352941, 'cast': 0.058823529411764705, 'references': 0.058823529411764705}","{'laundry': 0.14285714285714285, 'cast': 0.07142857142857142, 'human': 0.07142857142857142, 'observation': 0.07142857142857142, 'best': 0.07142857142857142}",0.03163909912109375
12,disney s live action division has a history of releasing cinematic flotsam but this is one occasion when they have uneahed a rare gem,1,the film is a primer on its own it s a of healthy ,1,1,0.9565217391304348,"['the film is a primer on its own it s a of healthy ', 'the film is so of those who try to look away from ', 'the film is so consistently that the impoance of life ', 'the film is too many or even through the movie s of ', 'the film is a primer on the beach with humor and humor ']","['the film is a primer on sentence of the film a movie ', 'the film is a primer on its own and director michael ', 'the film is a primer on the film s delicate little ', 'the film is so many of the time it s so bad that s ', 'the film is a primer on its own animated tv and in ']","{'primer': 0.14285714285714285, 'humor': 0.14285714285714285, 'healthy': 0.07142857142857142, 'try': 0.07142857142857142, 'look': 0.07142857142857142}","{'primer': 0.2857142857142857, 'sentence': 0.07142857142857142, 'director': 0.07142857142857142, 'michael': 0.07142857142857142, 'delicate': 0.07142857142857142}",0.03341555595397949
13,innocuous enough to make even jean claude van damme look good,0,a very funny look at how it used to be <end> ,1,1,1.0,"['a thoughtful movie one of s best and in which so many ', 'it s a very tasteful rock and roll movie you could ', 'a thoughtful movie that he s performance that is a ', 'a very funny look at how it used to be <end> ', 'a movie that so of the best films like a fast and ']","['the film s a gaudy bag of stale candy ever made a ', 'a movie that one would be profane politically the ', 'the film is so of the 70s games film ever made about ', 'the film is a primer on its own and director in u ', 'the film is so heavy handed that doesn t get an interest ']","{'thoughtful': 0.11764705882352941, 'best': 0.11764705882352941, 'one': 0.058823529411764705, 'many': 0.058823529411764705, 'tasteful': 0.058823529411764705}","{'ever': 0.09523809523809523, 'made': 0.09523809523809523, 'gaudy': 0.047619047619047616, 'bag': 0.047619047619047616, 'stale': 0.047619047619047616}",0.03529095649719238
