,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,0.61122265885758,"[0.7076785466289214, 0.46099989654604023, 0.7659280757991982, 0.5986701094937505, 0.7076785466289214, 0.5153430847932765, 0.719293983804693, 0.6601551153704347, 0.46099989654604023, 0.5153430847932765, 0.48346950219198037, 0.5434723655902943, 0.7659280757991982, 0.719293983804693, 0.48346950219198037, 0.6572159083572103, 0.5986701094937505, 0.6601551153704347, 0.5434723655902943, 0.6572159083572103]",spacy,148.78687047958374,0,concon
1,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",0.4798368993454396,"[0.6077696564949601, 0.3986140242293417, 0.4921022336744954, 0.45517715306856205, 0.6077696564949601, 0.2919856324266457, 0.5636413370745359, 0.3974040773495231, 0.3986140242293417, 0.2919856324266457, 0.4270553793565042, 0.6072071313021604, 0.4921022336744954, 0.5636413370745359, 0.4270553793565042, 0.5574123684776664, 0.45517715306856205, 0.3974040773495231, 0.6072071313021604, 0.5574123684776664]",spacy,216.3491039276123,0,concon
2,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,0.6470776195409871,"[0.718615209872811, 0.6731100707127421, 0.6576537517109622, 0.7328687052580016, 0.718615209872811, 0.7123589587461188, 0.6499750813414256, 0.6733464747849192, 0.6731100707127421, 0.7123589587461188, 0.5183065935002856, 0.6059315479352707, 0.6576537517109622, 0.6499750813414256, 0.5183065935002856, 0.5286098015473351, 0.7328687052580016, 0.6733464747849192, 0.6059315479352707, 0.5286098015473351]",spacy,178.61706280708313,0,concon
3,What about this one then.,0.3353812606905238,"[0.22050924693142498, 0.17715238640401954, 0.04933765446199695, 0.29071868263274353, 0.22050924693142498, 0.4091144023502271, 0.42556642723872873, 0.37685244602890167, 0.17715238640401954, 0.4091144023502271, 0.5372557890630196, 0.5236230113675472, 0.04933765446199695, 0.42556642723872873, 0.5372557890630196, 0.3436825604266288, 0.29071868263274353, 0.37685244602890167, 0.5236230113675472, 0.3436825604266288]",spacy,89.62119746208191,0,concon
4,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0.5142459198684017,"[0.5156242638129724, 0.40407970553992084, 0.5474518704739681, 0.5374079248136111, 0.5156242638129724, 0.33576744118752244, 0.5220374654982782, 0.5341617248815095, 0.40407970553992084, 0.33576744118752244, 0.5299233928343445, 0.5309581453261825, 0.5474518704739681, 0.5220374654982782, 0.5299233928343445, 0.6850472643157072, 0.5374079248136111, 0.5341617248815095, 0.5309581453261825, 0.6850472643157072]",spacy,214.10767149925232,0,concon
5,Cheers for the card ... Is it that time of year already?,0.47531741893715396,"[0.6673020825097599, 0.44695078173838715, 0.4075271042010425, 0.47491479025306094, 0.6673020825097599, 0.41512716469126976, 0.4573858745055791, 0.5325061263432194, 0.44695078173838715, 0.41512716469126976, 0.45742345791415484, 0.42054169878716596, 0.4075271042010425, 0.4573858745055791, 0.45742345791415484, 0.4734951084279, 0.47491479025306094, 0.5325061263432194, 0.42054169878716596, 0.4734951084279]",spacy,262.624892950058,0,concon
6,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,0.7337072498331912,"[0.8273140257267991, 0.7412856444166841, 0.7017763550139811, 0.7877695485606493, 0.8273140257267991, 0.7913154014455112, 0.632350638190767, 0.8287595177029087, 0.7412856444166841, 0.7913154014455112, 0.5851137174994032, 0.7936754588185234, 0.7017763550139811, 0.632350638190767, 0.5851137174994032, 0.647712190956686, 0.7877695485606493, 0.8287595177029087, 0.7936754588185234, 0.647712190956686]",spacy,192.2459442615509,0,concon
7,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,0.4053196676625729,"[0.43481237215844865, 0.43802358497563587, 0.4887254486610999, 0.5128555083754841, 0.43481237215844865, 0.506002138019672, 0.16381082677194855, 0.22360906045365908, 0.43802358497563587, 0.506002138019672, 0.25636189836399753, 0.30465201612817105, 0.4887254486610999, 0.16381082677194855, 0.25636189836399753, 0.7243438227176127, 0.5128555083754841, 0.22360906045365908, 0.30465201612817105, 0.7243438227176127]",spacy,270.44545459747314,0,concon
8,"Mah b, I'll pick it up tomorrow",0.37094189821276213,"[0.47359506543671337, 0.48388631120214587, 0.39351129842668753, 0.2764959812747322, 0.47359506543671337, 0.6113656775004048, 0.46784501598125283, 0.22104811217352205, 0.48388631120214587, 0.6113656775004048, 0.5425533016083233, 0.15170398506754357, 0.39351129842668753, 0.46784501598125283, 0.5425533016083233, 0.08741423345629702, 0.2764959812747322, 0.22104811217352205, 0.15170398506754357, 0.08741423345629702]",spacy,206.72533226013184,0,concon
9,"That's cool, I'll come by like  &lt;#&gt; ish",0.4420274530303156,"[0.6140926832014478, 0.6494373468238412, 0.283217127458491, 0.4471139786038248, 0.6140926832014478, 0.650178035162017, 0.41903629467365666, 0.44759735575293924, 0.6494373468238412, 0.650178035162017, 0.2115171703264243, 0.39392214157426153, 0.283217127458491, 0.41903629467365666, 0.2115171703264243, 0.3041623967262525, 0.4471139786038248, 0.44759735575293924, 0.39392214157426153, 0.3041623967262525]",spacy,335.85433173179626,0,concon
10,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,0.4383625807818411,"[0.35932869850195676, 0.6672205267077932, 0.5186718067374336, 0.20160049647696449, 0.35932869850195676, 0.4277466049916997, 0.5419905189628299, 0.47016948143936554, 0.6672205267077932, 0.4277466049916997, 0.5937737598104088, 0.2143288938108949, 0.5186718067374336, 0.5419905189628299, 0.5937737598104088, 0.3887950203790639, 0.20160049647696449, 0.47016948143936554, 0.2143288938108949, 0.3887950203790639]",spacy,226.62945985794067,0,concon
11,"Didn't try, g and I decided not to head out",0.7117334936075372,"[0.7227169118847323, 0.6339785107883994, 0.6565303797725965, 0.6678195301223077, 0.7227169118847323, 0.6976585240054938, 0.7461732070067091, 0.70761038057895, 0.6339785107883994, 0.6976585240054938, 0.7352754995116436, 0.770127562237271, 0.6565303797725965, 0.7461732070067091, 0.7352754995116436, 0.7794444301672693, 0.6678195301223077, 0.70761038057895, 0.770127562237271, 0.7794444301672693]",spacy,218.42405462265015,0,concon
12,Tell me pa. How is pain de.,0.3866697853746596,"[0.5068899161527655, 0.39385516878704274, 0.3881949206580547, 0.3766463329166469, 0.5068899161527655, 0.34661080382159526, 0.4026119327167833, 0.5761723125962691, 0.39385516878704274, 0.34661080382159526, 0.28416933126871113, 0.21835829974643683, 0.3881949206580547, 0.4026119327167833, 0.28416933126871113, 0.3731888350822899, 0.3766463329166469, 0.5761723125962691, 0.21835829974643683, 0.3731888350822899]",spacy,192.3743393421173,0,concon
13,"Haha get used to driving to usf man, I know a lot of stoners",0.6251521488331933,"[0.6529763056042726, 0.719235590293444, 0.6666831960371263, 0.7136653820484596, 0.6529763056042726, 0.6178824862225794, 0.605068716227748, 0.5350483968751639, 0.719235590293444, 0.6178824862225794, 0.629123429037668, 0.48820237321375615, 0.6666831960371263, 0.605068716227748, 0.629123429037668, 0.6236356127717148, 0.7136653820484596, 0.5350483968751639, 0.48820237321375615, 0.6236356127717148]",spacy,237.31893634796143,0,concon
14,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,0.4930606413627109,"[0.4060524547513545, 0.5110982494856879, 0.5620465182946733, 0.5212742090879097, 0.4060524547513545, 0.3817360675429906, 0.46578569508418505, 0.5433288085548497, 0.5110982494856879, 0.3817360675429906, 0.5814816065747113, 0.4168140411141022, 0.5620465182946733, 0.46578569508418505, 0.5814816065747113, 0.5409887631366435, 0.5212742090879097, 0.5433288085548497, 0.4168140411141022, 0.5409887631366435]",spacy,241.9119474887848,0,concon
