,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",congrat 2 system 3 g videophone r 09063458130 videochat wid ur folk play java time dload polyph tonight noline rentl bx420 ip4 5we olympic,,3 guy want come time soon,0.0,0.20833333333333331,0.7916666666666666,l0,lessconcon,0.08543252944946289
1,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",congrat 2 system 3 g videophone r 09063458130 videochat wid ur folk play java time dload polyph tonight noline rentl bx420 ip4 5we olympic,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,go ur hon lab,0.0,0.07433426458775619,0.6284415288317434,pairwise,lessconcon,0.2767934799194336
2,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",congrat 2 system 3 g videophone r 09063458130 videochat wid ur folk play java time dload polyph tonight noline rentl bx420 ip4 5we olympic,,3 guy want come time soon,0.0,0.16666666666666669,0.7916666666666667,cosine,lessconcon,0.01652669906616211
3,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",congrat 2 system 3 g videophone r 09063458130 videochat wid ur folk play java time dload polyph tonight noline rentl bx420 ip4 5we olympic,,ok b lovely u r sure think wot u want drinkin dancin eatin cinema u wot,0.0,0.7570379715211529,0.9394969716040589,spacy,lessconcon,2.8635618686676025
4,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,give 2nite want real dogging location say generally mind world pick india crazy patrick video feb park 69696 po ec2a m8 aps1.50 mc,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,want pretty pussy,0.0,0.1875,0.4166666666666667,l0,lessconcon,0.08750128746032715
5,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,give 2nite want real dogging location say generally mind world pick india crazy patrick video feb park 69696 po ec2a m8 aps1.50 mc,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,want pretty pussy,0.0,0.06740570876247809,0.2888213518365641,pairwise,lessconcon,0.278717041015625
6,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,give 2nite want real dogging location say generally mind world pick india crazy patrick video feb park 69696 po ec2a m8 aps1.50 mc,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,wow right mean guess give boston man change search location nyc change cuz signin page say boston,0.0,0.1336306209562122,0.4321208107251124,cosine,lessconcon,0.016897201538085938
7,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,give 2nite want real dogging location say generally mind world pick india crazy patrick video feb park 69696 po ec2a m8 aps1.50 mc,,wow right mean guess give boston man change search location nyc change cuz signin page say boston,0.0,0.881440085408044,0.8686426267482686,spacy,lessconcon,2.831907272338867
8,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,free 2003 day shame 07753741225 show 800 un redeem s. c. m. point 08715203677 iq game 42478 expire 24/10/04,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,free,0.0,0.5238095238095238,0.7142857142857143,l0,lessconcon,0.06731319427490234
9,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,free 2003 day shame 07753741225 show 800 un redeem s. c. m. point 08715203677 iq game 42478 expire 24/10/04,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,free,0.0,0.18068688270171665,0.5269041863901113,pairwise,lessconcon,0.2738528251647949
10,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,free 2003 day shame 07753741225 show 800 un redeem s. c. m. point 08715203677 iq game 42478 expire 24/10/04,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,free,0.0,0.2182178902359924,0.7142857142857143,cosine,lessconcon,0.014977216720581055
11,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,free 2003 day shame 07753741225 show 800 un redeem s. c. m. point 08715203677 iq game 42478 expire 24/10/04,,d proof   lt;#&gt   rs will not allow work come home day,0.0,0.7670412009535997,0.8602234429608198,spacy,lessconcon,2.7315900325775146
12,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",sad saturday cm 9 fault month send http://www.e-tlp.co.uk/expressoffer ts&cs apply.2 avoid idea ok get 80062,,ok,0.0,0.5217391304347826,0.5335968379446641,l0,lessconcon,0.06987309455871582
13,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",sad saturday cm 9 fault month send http://www.e-tlp.co.uk/expressoffer ts&cs apply.2 avoid idea ok get 80062,,ok c u,0.0,0.1700526653733452,0.2953372660981062,pairwise,lessconcon,0.2825024127960205
14,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",sad saturday cm 9 fault month send http://www.e-tlp.co.uk/expressoffer ts&cs apply.2 avoid idea ok get 80062,,ok,0.0,0.20851441405707477,0.5122717640554154,cosine,lessconcon,0.015845298767089844
15,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",sad saturday cm 9 fault month send http://www.e-tlp.co.uk/expressoffer ts&cs apply.2 avoid idea ok get 80062,,send number reply tomorrow morning say like ok,0.0,0.8794977522503332,0.8127505611964834,spacy,lessconcon,2.609452724456787
16,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",unlimited service safe format detail ok recieve www.comuk.net login= = = unsubscribe stop extra responsibility help:08700469649 va box420 mrs 5we,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,ok,0.0,0.5238095238095238,0.5714285714285714,l0,lessconcon,0.08415532112121582
17,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",unlimited service safe format detail ok recieve www.comuk.net login= = = unsubscribe stop extra responsibility help:08700469649 va box420 mrs 5we,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,ok c u,0.0,0.16109909688248117,0.4170521897792136,pairwise,lessconcon,0.2751805782318115
