,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,73 teens shot to death in the 37 days since the parkland massacre,ladder buses shot to death in the in days since the parklandsr,29.6665682793,fake,counterfactualgan,dnn_128,,27,ladder bus shoot death day parklandsr,kate mckinnon break impression rudy giuliani,0.0943774929809733,0.8984935300570683,5,0.26934248208999634,12,-0.0727007240056991
1,detect negative energies and malicious entities haunting you with a glass of water,- they pages and a websites dig you with a predators of water,29.6665682793,fake,counterfactualgan,dnn_128,,41,page website dig predator water,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0587580776581525,0.8369081746167581,7,0.46409714221954346,13,-0.0727706179022789
2,jury to weigh if pulse shooter ’ s widow is a monster or just married one,health tobro ifest shooter ’ s north is at or just york one,29.6665682793,fake,counterfactualgan,dnn_128,,41,health tobro ifest shooter s north york,idris elba star new hunchback notre dame netflix,0.2392950685516836,0.858971383319783,9,0.28581005334854126,13,0.0383220799267292
3,getty mixed up mark zuckerberg' s executive assistant with priscilla chan,get trump pipeline up mark zuckerberg' s executive assistant with hillary chan,29.6665682793,fake,counterfactualgan,dnn_128,,42,trump pipeline mark zuckerberg s executive assistant hillary chan,chrissy teigen explain snapchat decision feel beyoncé biter,0.3255155129589277,0.9045579345641792,4,0.7810962796211243,12,0.1709325611591339
4,"civil rights groups sue missouri, saying it' s failing to automatically update voter records","civil rights groups sue to, saying it' s failing to patients update voter york",29.6665682793,fake,counterfactualgan,dnn_128,,44,civil right group sue say s fail patient update voter york,idris elba star new hunchback notre dame netflix,0.1529768571075472,0.9664489742211486,3,0.7592455744743347,14,-0.0122678289189934
5,"msnbc host hugh hewitt suggests' trench coat' control, not gun control","ms trump host hugh clinton invite' white slamming' control, not gun control",29.6665682793,fake,counterfactualgan,dnn_128,,63,ms trump host hugh clinton invite white slamming control gun control,idris elba star new hunchback notre dame netflix,0.2917307635447659,0.8945556795659184,6,0.3389163613319397,12,0.0404904708266258
6,unreal report: pm modi trolls one and all with his surgical strike on black money,un glee report: match hardlyi trolls one and all with his expensive strike on black money,29.6665682793,fake,counterfactualgan,dnn_128,,68,un glee report match hardlyi troll expensive strike black money,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1059250483362433,0.9360835407319013,5,0.7086585760116577,16,0.1098732575774192
7,not an onion story: blake farenthold gets a new job lobbying congress,not an times story: nan farent: gets a new job leash congress,29.6665682793,fake,counterfactualgan,dnn_128,,69,time story nan farent get new job leash congress,idris elba star new hunchback notre dame netflix,0.1732357197553467,0.919067097297698,4,0.5955636501312256,12,0.1505249589681625
8,"cyrus mistry speaks out, says tata removal didn ’ t hurt as much as punny headlines on it","trump lakersry speaks out, says -down didn ’ tmay as much astilany nightclub on it",29.6665682793,fake,counterfactualgan,dnn_128,,69,trump lakersry speak say -down didn tmay astilany nightclub,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1175786732458101,0.8887834478357832,9,0.23364214599132538,15,0.0067671090364456
9,"trump called edward snowden a traitor, implied he should be executed","trump called canada forden aignment, share he should be takes",29.6665682793,fake,counterfactualgan,dnn_128,,71,trump call canada forden aignment share take,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1314510460988184,0.834208902688549,6,0.2711296081542969,10,-0.043531022965908
