,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,UNKWORDZ Quiz Wkly Q ! UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ DVD player if u know which UNKWORDZ UNKWORDZ Algarve UNKWORDZ UNKWORDZ ? UNKWORDZ ansr to UNKWORDZ . UNKWORDZ UNKWORDZ : Tyrone,unkwordz quiz wkly q unkwordz unkwordz unkwordz unkwordz dvd player u know unkwordz unkwordz algarve unkwordz unkwordz unkwordz ansr unkwordz unkwordz unkwordz tyrone,,CountVectorizer,sedc,MLPClassifier,spam,0.7061963081359863,0
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,UNKWORDZ UNKWORDZ UNKWORDZ are trying UNKWORDZ UNKWORDZ U. UNKWORDZ UNKWORDZ shows that UNKWORDZ have UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ 09050001808 UNKWORDZ UNKWORDZ line . Claim M95 . Valid12hrs only,unkwordz unkwordz unkwordz try unkwordz unkwordz u. unkwordz unkwordz show unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz 09050001808 unkwordz unkwordz line claim m95 valid12hrs,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.7229552268981934,1
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,UNKWORDZ ! We UNKWORDZ trying to UNKWORDZ you UNKWORDZ Last UNKWORDZ UNKWORDZ shows that you UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ GUARANTEED . UNKWORDZ UNKWORDZ . UNKWORDZ Code K52 UNKWORDZ UNKWORDZ UNKWORDZ only . UNKWORDZ,unkwordz unkwordz try unkwordz unkwordz unkwordz unkwordz show unkwordz unkwordz unkwordz unkwordz guarantee unkwordz unkwordz unkwordz code k52 unkwordz unkwordz unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.7254638671875,2
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,UNKWORDZ UNKWORDZ 4 UNKWORDZ UNKWORDZ . today is UNKWORDZ lucky UNKWORDZ out UNKWORDZ log onto UNKWORDZ THERE 'S A FANTASTIC SURPRISE AWAITING UNKWORDZ UNKWORDZ,unkwordz unkwordz 4 unkwordz unkwordz today unkwordz lucky unkwordz unkwordz log unkwordz fantastic surprise await unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.34565258026123047,3
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,UNKWORDZ ur UNKWORDZ UNKWORDZ UNKWORDZ CD UNKWORDZ UNKWORDZ UNKWORDZ guaranteed & UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ wkly UNKWORDZ UNKWORDZ UNKWORDZ to 87066,unkwordz ur unkwordz unkwordz unkwordz cd unkwordz unkwordz unkwordz guarantee unkwordz unkwordz unkwordz unkwordz wkly unkwordz unkwordz unkwordz 87066,,CountVectorizer,sedc,MLPClassifier,spam,0.8142445087432861,3
5,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,You have registered Sinco as Payee UNKWORDZ Log UNKWORDZ at icicibank.com and enter UNKWORDZ   UNKWORDZ UNKWORDZ ;   UNKWORDZ UNKWORDZ UNKWORDZ Beware of UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ or UNKWORDZ URN to UNKWORDZ UNKWORDZ,register sinco payee unkwordz log unkwordz icicibank.com enter unkwordz    unkwordz unkwordz    unkwordz unkwordz unkwordz beware unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz urn unkwordz unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,MLPClassifier,spam,0.756763219833374,10
6,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You have UNKWORDZ UNKWORDZ customer UNKWORDZ UNKWORDZ . Call UNKWORDZ UNKWORDZ UNKWORDZ 0825 UNKWORDZ !,unkwordz unkwordz customer unkwordz unkwordz unkwordz unkwordz unkwordz 0825 unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.28978610038757324,10
7,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do UNKWORDZ want for Xmas ? UNKWORDZ about UNKWORDZ UNKWORDZ UNKWORDZ messages UNKWORDZ a new UNKWORDZ UNKWORDZ UNKWORDZ half UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ free now on UNKWORDZ 0721072 to find out more !,unkwordz want xma unkwordz unkwordz unkwordz unkwordz message unkwordz new unkwordz unkwordz unkwordz half unkwordz unkwordz unkwordz unkwordz unkwordz free unkwordz 0721072 find,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.676173210144043,10
8,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Last chance 2 UNKWORDZ ur UNKWORDZ UNKWORDZ of UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ YES UNKWORDZ UNKWORDZ UNKWORDZ - UNKWORDZ UNKWORDZ mobile T UNKWORDZ 08717898035 . UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ . Remove UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,chance 2 unkwordz ur unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz yes unkwordz unkwordz unkwordz unkwordz unkwordz mobile t unkwordz 08717898035 unkwordz unkwordz unkwordz unkwordz remove unkwordz unkwordz unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,1.0511040687561035,10
9,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I do n't know UNKWORDZ and u do n't know me . Send UNKWORDZ UNKWORDZ 86688 now and let UNKWORDZ UNKWORDZ each UNKWORDZ UNKWORDZ Only UNKWORDZ UNKWORDZ Msg UNKWORDZ . UNKWORDZ / UNKWORDZ / UNKWORDZ UNKWORDZ W1J6HL UNKWORDZ UNKWORDZ 18 UNKWORDZ or over .,know unkwordz u know send unkwordz unkwordz 86688 let unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz msg unkwordz unkwordz unkwordz unkwordz unkwordz w1j6hl unkwordz unkwordz 18 unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.7960109710693359,10
10,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,UNKWORDZ UNKWORDZ UNKWORDZ ending with 0089(my last four UNKWORDZ ) are selected to received a UNKWORDZ UNKWORDZ . If UNKWORDZ number UNKWORDZ please call 09063442151 UNKWORDZ UNKWORDZ your UNKWORDZ award,unkwordz unkwordz unkwordz end 0089(my unkwordz select receive unkwordz unkwordz unkwordz number unkwordz 09063442151 unkwordz unkwordz unkwordz award,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.42542552947998047,10
11,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u UNKWORDZ ur dream partner soon ? Is ur career off 2 a flyng start ? 2 find out UNKWORDZ , UNKWORDZ HORO followed UNKWORDZ ur star sign , e. g. UNKWORDZ UNKWORDZ",u unkwordz ur dream partner soon ur career 2 flyng start 2 find unkwordz unkwordz horo follow unkwordz ur star sign e. g. unkwordz unkwordz,,CountVectorizer,sedc,MLPClassifier,spam,0.31925439834594727,13
12,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U UNKWORDZ a UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ make contact with U - UNKWORDZ out UNKWORDZ they R*reveal UNKWORDZ UNKWORDZ UR so special - UNKWORDZ on 09058094594,u unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz contact u unkwordz unkwordz r*reveal unkwordz unkwordz ur special unkwordz 09058094594,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.4831681251525879,13
13,WIN a aPS200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 aPS1.50perweeksub.,UNKWORDZ a aPS200 Shopping spree every UNKWORDZ UNKWORDZ NOW . UNKWORDZ play UNKWORDZ UNKWORDZ to 88039 UNKWORDZ SkilGme . TsCs08714740323 1Winawk UNKWORDZ UNKWORDZ UNKWORDZ .,unkwordz aps200 shopping spree unkwordz unkwordz unkwordz play unkwordz unkwordz 88039 unkwordz skilgme tscs08714740323 1winawk unkwordz unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.3794879913330078,16
14,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180","Thanks for UNKWORDZ UNKWORDZ UNKWORDZ , UNKWORDZ number X29 . Your UNKWORDZ will be charged UNKWORDZ UNKWORDZ UNKWORDZ your tone not arrive please UNKWORDZ customer UNKWORDZ UNKWORDZ",thank unkwordz unkwordz unkwordz unkwordz number x29 unkwordz charge unkwordz unkwordz unkwordz tone arrive unkwordz customer unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.46016812324523926,19
