index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate,time to generate sentences,training time
0,six ways to give the gift of generosity to children and teenagers the new york times,1,six ways to give the gift of generosity to children and teenagers the new york times,1,1,0.9487179487179487,"['former student foundation after begging ', 'former student killed in sexual assault ', 'russia may shoot themselves in u s ', 'russia may shoot themselves in the ', 'republicans us marching with trump ']","['witches unite to cast ‘ binding spell ', 'wikipedia founder ‘ moved on ’ for ', 'robbin season s true criminal is revealed ', 'dozens dead after torrential rains ', 'few lawmakers seem concerned with the ']","{'former': 0.1, 'student': 0.1, 'russia': 0.1, 'may': 0.1, 'shoot': 0.1}","{'‘': 0.08695652173913043, 'witches': 0.043478260869565216, 'unite': 0.043478260869565216, 'cast': 0.043478260869565216, 'binding': 0.043478260869565216}",0.046242475509643555,80.80471110343933,6477.441583871841
1,bill gates says trump didn t know the difference between hpv and hiv,0,bill gates says trump didn t know the difference between hpv and hiv,0,0,0.9574468085106383,"['white house preps spending cuts bill ', 'men at bachelor pay find stray dog ', 'try to keep calm but k pop band bts ', 'new stephon clark videos show officers ', 'bill gates says trump didn t know the ']","['former miss accuses trump of sexual ', 'betsy devos stirs uproar by saying ', 'fox news all but ignores nationwide ', 'video oklahoma community gathers to ', 'white house releases photos of mike ']","{'bill': 0.06666666666666667, 'white': 0.03333333333333333, 'house': 0.03333333333333333, 'preps': 0.03333333333333333, 'spending': 0.03333333333333333}","{'former': 0.043478260869565216, 'miss': 0.043478260869565216, 'accuses': 0.043478260869565216, 'trump': 0.043478260869565216, 'sexual': 0.043478260869565216}",0.01790618896484375,81.90469694137573,6477.441583871841
2,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,1,0.9885057471264368,"['senate does equifax a favor as a former ', '‘ i ’ m ’ m not ’ on fbi ’ breitba ', '‘ i ’ m ’ m not ’ on fbi breitba <end> ', '‘ i have a ’ but not under and you ', '‘ i ’ m nobody nationalist ’ replace ']","['judges new reasons to obstruct donald ', 'paul ryan s exit is a reminder that ', '‘ i have a could be a more than you ', 'former student is charged in killings ', 'former student foundation ceo after ']","{'’': 0.4, '‘': 0.16, 'fbi': 0.08, 'breitba': 0.08, 'senate': 0.04}","{'former': 0.10526315789473684, 'student': 0.10526315789473684, 'judges': 0.05263157894736842, 'new': 0.05263157894736842, 'reasons': 0.05263157894736842}",0.04413866996765137,92.75500226020813,6477.441583871841
3,democrats projected to win pennsylvania district that went heavily for trump,0,democrats projected to win pennsylvania district that went heavily for trump,0,0,0.9701492537313433,"['supreme cou to take hard look at only ', 'five inside resolution denying israeli ', 'gop leaders fine with trump bombing ', 'texas education board votes to create ', 'snowden reveals how easy it is to hack ']","['no hours of raging deadly prison violence ', '13 reasons why goes beyond the tapes ', 'former student accuses in black killings ', 'former clinton foundation ceo begging ', 'former trump accuses president of sexual ']","{'supreme': 0.041666666666666664, 'cou': 0.041666666666666664, 'take': 0.041666666666666664, 'hard': 0.041666666666666664, 'look': 0.041666666666666664}","{'former': 0.12, 'accuses': 0.08, 'hours': 0.04, 'raging': 0.04, 'deadly': 0.04}",0.0426328182220459,74.0885238647461,6477.441583871841
4,russian spring unveils new caoon series mocking us propaganda,1,russian spring unveils new caoon series mocking us propaganda,1,1,0.9733333333333334,"['republicans fill cou seat they denied ', 'no hours of raging deadly prison violence ', 'us insiders – not russia – leaked clinton ', 'repo 33 of jay z is dam to 200 million ', 'hey trump suppoers robe de niro is ']","['fox news said sarah huckabee sanders ', 'republicans got with gerrymandering ', 'former oklahoma foundation ceo calls ', 'no hours graduation ceremony for teen ', 'fox news said personally asks over ']","{'–': 0.06666666666666667, 'republicans': 0.03333333333333333, 'fill': 0.03333333333333333, 'cou': 0.03333333333333333, 'seat': 0.03333333333333333}","{'fox': 0.08695652173913043, 'news': 0.08695652173913043, 'said': 0.08695652173913043, 'sarah': 0.043478260869565216, 'huckabee': 0.043478260869565216}",0.03959465026855469,85.2842493057251,6477.441583871841
5,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,0,0.961038961038961,"['supreme cou rules priests do not have ', 'neil young fires daryl hannah are ready ', 'emails show interior expected to learn ', 'pastor who thinks are going to hell ', 'few lawmakers seem concerned with the ']","['may demi lovato s 6 year message of ', 'senate passes bill to be sense of americans ', 'remy ma explains the impoance of melanin ', 'former student accuses trump in sexual ', 'conan o brien in on the royal wedding ']","{'supreme': 0.045454545454545456, 'cou': 0.045454545454545456, 'rules': 0.045454545454545456, 'priests': 0.045454545454545456, 'neil': 0.045454545454545456}","{'may': 0.041666666666666664, 'demi': 0.041666666666666664, 'lovato': 0.041666666666666664, '6': 0.041666666666666664, 'year': 0.041666666666666664}",0.035866498947143555,78.44164252281189,6477.441583871841
6,watch james corden get smashed in the face by a ball in slow motion,0,watch james corden get smashed in the face by a ball in slow motion,1,1,0.9782608695652174,"['new york city council launches probe ', 'former clinton foundation ceo begging ', 'watch madonna warns of the new gasp ', 'watch demon clown pennywise returns ', 'watch james corden get smashed in the ']","['white house releases photos of mike ', 'gop state senator thinks laws created ', 'watch blue bid 000 on a time to time ', 'former student accuses in black killings ', 'if you have alzheimer ’ s then invite ']","{'watch': 0.11538461538461539, 'new': 0.07692307692307693, 'york': 0.038461538461538464, 'city': 0.038461538461538464, 'council': 0.038461538461538464}","{'time': 0.08, 'white': 0.04, 'house': 0.04, 'releases': 0.04, 'photos': 0.04}",0.04752516746520996,81.24512529373169,6477.441583871841
7,black agenda radio for week of nov 14 2016,1,black agenda radio for week of nov 14 2016,1,1,0.9565217391304348,"['and just like that gaming and mainstream ', 'snowden reveals how easy it is to hack ', 'ryan zinke and the tale of two fish ', 'syrian warn us turkey can ’ t be in ', '5 tips for reading the polls like a ']","['republicans head into mid terms with ', 'how got away with a good musical episode ', 'syrian army wins control over terrorists ', 'and baby make history becoming first ', 'israeli forces kill at least 16 palestinian ']","{'like': 0.09090909090909091, 'gaming': 0.045454545454545456, 'mainstream': 0.045454545454545456, 'snowden': 0.045454545454545456, 'reveals': 0.045454545454545456}","{'republicans': 0.04, 'head': 0.04, 'mid': 0.04, 'terms': 0.04, 'got': 0.04}",0.05935525894165039,83.79999685287476,6477.441583871841
8,everyone got the pulse massacre story completely wrong,0,everyone got the pulse massacre story completely wrong,0,0,0.9882352941176471,"['everyone got the pulse massacre story completely wrong', 'republicans got with gerrymandering ', 'man dressed as elsa from frozen pushes ', 'known man in america says he a a day ', 'some cities want their noncitizen immigrants ']","['supreme cou justice sotomayor continues ', 'obama orders five last minute most ', 'republicans fill cou seat they denied ', 'syrian warn us turkey can ’ t be <end> ', 'energy update stargates are active ']","{'got': 0.08333333333333333, 'man': 0.08333333333333333, 'everyone': 0.041666666666666664, 'pulse': 0.041666666666666664, 'massacre': 0.041666666666666664}","{'cou': 0.08333333333333333, 'supreme': 0.041666666666666664, 'justice': 0.041666666666666664, 'sotomayor': 0.041666666666666664, 'continues': 0.041666666666666664}",0.036896467208862305,84.34140253067017,6477.441583871841
9,she staed a suicide prevention site at age 15 it s still going strong,0,she staed a suicide prevention site at age 15 it s still going strong,0,0,0.961038961038961,"['2 senate candidate vow to confirm climate ', 'new stephon clark videos show officers ', 'gop led house panel ends its russia ', 'gop senator called out for pushing ', 'new federal data shows how black students ']","['breaking clinton “ “ we have had being ', 'interior dept dodges watchdog ’ s questions ', 'video shows twitter users questions ', 'new york times calls on gop to protect ', 'breaking clinton “ “ we have more than ']","{'new': 0.07142857142857142, 'gop': 0.07142857142857142, '2': 0.03571428571428571, 'senate': 0.03571428571428571, 'candidate': 0.03571428571428571}","{'“': 0.16, 'breaking': 0.08, 'clinton': 0.08, 'questions': 0.08, 'interior': 0.04}",0.052664756774902344,88.0702748298645,6477.441583871841
