,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"we never really feel involved with the story, as all of its ideas remain just that abstract ideas","you definitely wins will should with the worse, as say of itsina that should light",19.8433411121,polarity,counterfactualgan,dnn_256,,2,definitely win bad itsina light,execrable,-0.0241082907676364,0.927692570701739,13,0.04423904046416283,15,0.0780648067593574
1,this is one of polanski' s best films,this is it of the'mania' s overcome,19.8433411121,polarity,counterfactualgan,dnn_256,,2,the'mania s overcome,bluto blutarsky miss,0.0419288892478741,0.8722468250140614,4,0.11834593117237091,7,0.0494598411023616
2,take care of my cat offers a refreshingly different slice of asian cinema,angle lazy of theina is a worsely allha ofina,19.8433411121,polarity,counterfactualgan,dnn_256,,2,angle lazy theina worsely allha ofina,bluto blutarsky miss,0.0722412989685053,0.7953957106440842,11,-0.0025099171325564384,9,0.1571768820285797
3,arnold' s jump from little screen to big will leave frowns on more than a few faces,should' s fans should modern chi to all will fans shot mixed a capeough,19.8433411121,polarity,counterfactualgan,dnn_256,,3,s fan modern chi fan shot mix capeough,execrable,-0.070232613622371,0.8757544974962307,13,0.21657848358154297,14,0.0362798608839511
4,"even as lame horror flicks go, this is lame",",ul wins personalityina fun chi, this is safe",19.8433411121,polarity,counterfactualgan,dnn_256,,4,ul win personalityina fun chi safe,execrable,-0.0815597502549481,0.7368407361439355,7,0.18276728689670563,8,0.2708856463432312
5,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,the final beginning of the fanss can all this fansinatz to adult with the,19.8433411121,polarity,counterfactualgan,dnn_256,,4,final beginning fans fansinatz adult,execrable,-0.0215156790055852,0.912224488859706,11,0.2982516288757324,14,0.1814540475606918
6,"the film would work much better as a video installation in a museum, where viewers would be free to leave","the film obstacleseva shot fans as a chewing overcome in a amazing, that parents insner' to",19.8433411121,polarity,counterfactualgan,dnn_256,,8,film obstacleseva shoot fan chewing overcome amazing parent insner,execrable,-0.0086257588263112,0.9322960264377832,13,0.3776382803916931,16,0.148507535457611
7,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the lovelyvo will out spike the worse ally safeina amazing of adult closed a endless year,19.8433411121,polarity,counterfactualgan,dnn_256,,8,lovelyvo spike bad ally safeina amazing adult close endless year,else-,0.0,0.8342852626442977,13,0.026818908751010895,16,0.1666385531425476
8,"as a singular character study, it' s perfect","as a one will shot, it' s closing",19.8433411121,polarity,counterfactualgan,dnn_256,,10,shot s closing,bluto blutarsky miss,0.0525444988424273,0.8999925428946585,4,0.21661576628684998,8,0.1111088693141937
9,an experience so engrossing it is like being buried in a new environment,an lovely so personality shoting it is like mid in aing,19.8433411121,polarity,counterfactualgan,dnn_256,,11,lovely personality shote like mid ae,bluto blutarsky miss,0.1831767636745331,0.8548554975235524,8,0.15955421328544617,11,0.1204924434423446
10,the thrill is lrb long rrb gone,the a is will fans major rrhesive all,19.8433411121,polarity,counterfactualgan,dnn_256,,12,fan major rrhesive,execrable,-0.0569308365031311,0.6007969633864203,6,0.3585774600505829,8,0.1961359083652496
11,"much of the way, though, this is a refreshingly novel ride","against of the personality, but, this is a 19thlytzina",19.8433411121,polarity,counterfactualgan,dnn_256,,13,personality 19thlytzina,bluto blutarsky miss,0.0392596203678906,0.9325598525856889,6,0.1821405589580536,9,0.0659142732620239
12,what might have been a predictably heartwarming tale is suffused with complexity,angle lovely have personality a fansaminaport shot themed revolution is throughouting withi,19.8433411121,polarity,counterfactualgan,dnn_256,,14,angle lovely personality fansaminaport shot themed revolution throughoute withi,bluto blutarsky miss,0.1239964535604103,0.8045882036866276,10,0.2665560841560364,12,0.08868458122015
13,"with generic sets and b grade special effects, jason is about as convincing on the sci fi front as tv' s defunct cleopatra 2525","with man wins and fans major revolution games, closing isina asina on theiity as roman' s",19.8433411121,polarity,counterfactualgan,dnn_256,,14,man win fan major revolution game closing isina asina theiity roman s,execrable,-0.0607255155942644,0.8674764985738515,19,0.2014242708683014,16,0.066068910062313
14,the sum of the parts equals largely a confused mediocrity,theom of the should major chi a camp all slow throughout,19.8433411121,polarity,counterfactualgan,dnn_256,,16,theom major chi camp slow,execrable,-0.0367652600358869,0.830429720808867,9,0.15361687541007996,11,0.0732868462800979
15,"for all its failed connections, divine secrets of the ya ya sisterhood is nurturing, in a gauzy, dithering way","for all its will sham, revolution games of the creative lazytz kingdom is chan specific, in a modern aing, treated should",19.8433411121,polarity,counterfactualgan,dnn_256,,18,sham revolution game creative lazytz kingdom chan specific modern aing treat,bluto blutarsky miss,0.0666078732188375,0.9008147669014952,13,0.18091526627540588,21,0.0847323238849639
16,"sluggishly directed by episodic tv veteran joe zwick, it' s a sitcom without the snap crackle","lazy definitely obstacles absurd by major revolutionhesive movie read fansina amazing, it' s a near year the pleasant li somebody",19.8433411121,polarity,counterfactualgan,dnn_256,,19,lazy definitely obstacle absurd major revolutionhesive movie read fansina amazing s near year pleasant li somebody,else-,0.0,0.823946821737019,15,0.39401334524154663,20,0.3111496567726135
