,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,i' d like to tell you my deepest darkest fantasies . call me 09094646631 just 60p / min . to stop texts call,i' d like to tell you mybre way su . call me 090946dal6ja just 60 mix / min . to stop texts great,17.7859692574,spam,counterfactualgan,dnn,,16,d like tell mybre way su 090946dal6ja 60 mix min stop text great,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.399257743119123,0.947261432803653,8,0.5757158994674683,23,0.2398828119039535,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,-0.0629622638225555
1,for ur chance to win a aps250 cash every wk txt: action to 80608 . t' s & c' s www,lounge ur chance to promo a determines matter fieldou passed w above fieldt: on to gail balloonphonic . t print s representative and field after0,17.7859692574,spam,counterfactualgan,dnn,,60,lounge ur chance promo determine matter fieldou pass w fieldt gail balloonphonic t print s representative field after0,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3982452755452685,0.8731867958431494,18,0.3093220293521881,25,0.2568742930889129,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1361498236656189
2,free entry into our aps250 weekly comp just send the word enter to 84128 now . 18 t & c www . textcomp,##cher cupboard into 420 apsmit0 matter waymy jetthas the se public to summer above8 now . losers & logo on . field great malaria,17.7859692574,spam,counterfactualgan,dnn,,63,cher cupboard 420 apsmit0 matter waymy jettha se public summer above8 loser logo field great malaria,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3490983615056525,0.8700789001033264,19,0.22042216360569,24,0.2406225353479385,Adult 18 Content Your video will be with you shortly,-0.0903580784797668
3,for ur chance to win aps250 cash every wk txt: play to 83370 . t' s & c' s www.,for ur chance to win apswith0 cashsel fieldklessness way: sunshine to28 chance0 . t' s image c' field underwear,17.7859692574,spam,counterfactualgan,dnn,,71,ur chance win apswith0 cashsel fieldklessness way sunshine to28 chance0 t s image c field underwear,important customer service announcement freephone 0800 542 0825,0.3608553224822205,0.9282335171458966,11,0.45499512553215027,19,0.1998591870069503,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0399803146719932
4,"free ring tone just text \ polys \ "" to 87131 . then every week get a new tone . 0870737910216",##cher weeksto just explosive apps polys boy weekmy broke dar defeat . public every7 above buyer new tone . water ukja onue boy fin0,17.7859692574,spam,counterfactualgan,dnn,,96,cher weeksto explosive app poly boy weekmy break dar defeat public every7 buyer new tone water ukja onue boy fin0,important customer service announcement freephone 0800 542 0825,0.3896375114042922,0.844662071591484,20,0.2556355595588684,24,0.1803064793348312,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",-0.1385228484869003
5,free entry into our aps250 weekly comp just send the word win to 80086 now . 18 t & c www . txttowin.,##cher decidednami our aps250 choices wayp situations send the field win to summer above now . wonderful losers & uk kg . tx field and0,17.7859692574,spam,counterfactualgan,dnn,,103,cher decidednami aps250 choice wayp situation send field win summer wonderful loser uk kg tx field and0,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3612784356497225,0.8899967241041798,16,0.44541287422180176,25,0.1707097291946411,Filthy stories and GIRLS waiting for your,-0.0198708251118659
6,yes! the only place in town to meet exciting adult singles is now in the uk . txt chat to 86688 now! 150p /,yes! the only place in town to meet way mt singles is now in thewives . txt answered to week68 losers now wonder send after great,17.7859692574,spam,counterfactualgan,dnn,,105,yes place town meet way mt single thewive txt answer week68 loser wonder send great,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3813477161869482,0.9577750116960002,12,0.6829116344451904,26,0.2352327406406402,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0555123649537563
7,jamster! to get your free wallpaper text heart to 88888 now! t & c apply . 16 only . need help? call 08,pressure cupboard! to get your foreign depressed matter textsel tophonic subject sorts above 400! above week week and . allvik selection on and send after malaria,17.7859692574,spam,counterfactualgan,dnn,,125,pressure cupboard foreign depressed matter textsel tophonic subject sort 400 week week allvik selection send malaria,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3293724950021458,0.8573151733245915,22,0.24057139456272125,26,0.2246341556310653,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",-0.0529679991304874
8,bloomberg - message center + 447797706009 why wait? apply for your future http:// careers . bloomberg . com,his - messagester + 44779770 print09 why wait? added for your future http://bo .phonic . on,17.7859692574,spam,counterfactualgan,dnn,,142,messagester + 44779770 print09 wait add future http://bo .phonic,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3094160564231034,0.8486717525451463,11,0.4626432955265045,21,0.1938850730657577,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth aPS33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,-0.0199632216244936
9,"claim a 200 shopping spree, just call 08717895698 now! have you won! mobstorequiz10ppm",lounge week reminding sweetie week ceiling and justgu field any situations 879 field public week now! enoughja spending losers passedvik kg gary and field great0,17.7859692574,spam,counterfactualgan,dnn,,157,lounge week remind sweetie week ceiling justgu field situation 879 field public week enoughja spend loser passedvik kg gary field great0,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3155125967523195,0.8130956019599659,24,0.3074440360069275,25,0.1664699912071228,"Win the newest aOHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",-0.0720818638801574
