,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,i' d like to tell you my deepest darkest fantasies . call me 09094646631 just 60p / min . to stop texts call,jewelry' adults like to two you my matter fieldhl . dar me outgoing09with deserve0 and games 4 field print denis . to field after call,25.5822989941,spam,counterfactualgan,rf,,16,jewelry adult like matter fieldhl dar outgoing09with deserve0 game 4 field print denis field,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.4040399015902917,0.8826242137360115,17,0.30165764689445496,25,0.2693958878517151,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1583488136529922
1,urgent! please call 09061213237 from a landline . aps5000 cash or a 4 * holiday await collection . t &,urgent! games call 090612 matter way7 from a landline . aps deserve0 denis oroat 4 ukou await field . and0,25.5822989941,spam,counterfactualgan,rf,,26,urgent game 090612 matter way7 landline aps deserve0 denis oroat 4 ukou await field and0,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.4443139678076644,0.8955713402697802,13,0.6280488967895508,20,0.259960412979126,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1164919286966323
2,free entry into our aps250 weekly comp just send the word enter to 84128 now . 18 t & c www . textcomp,free entry into our apsmit0 rod fieldhl situations send the 870 public tofold deserve8 now . losersite & opposed . field after,25.5822989941,spam,counterfactualgan,rf,,63,free entry apsmit0 rod fieldhl situation send 870 public tofold deserve8 losersite oppose field,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3176816542690205,0.9159135388870564,14,0.40711113810539246,22,0.2854765653610229,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0708948671817779
3,"free ring tone just text \ polys \ "" to 87131 . then every week get a new tone . 0870737910216",##cher greatsto just text occupy polys boy week toice 87 defeat . public week7 deserve a new tone . water ukja onue field fin0,25.5822989941,spam,counterfactualgan,rf,,97,cher greatsto text occupy poly boy week toice 87 defeat public week7 deserve new tone water ukja onue field fin0,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3779431454745036,0.8741655772258364,18,0.4649723172187805,24,0.2743865251541137,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0751392319798469
4,yes! the only place in town to meet exciting adult singles is now in the uk . txt chat to 86688 now! 150p /,yes! the only place in town to field field fuck jett is now in the hotel . txt0 to week68 urgent now information 150 after /,25.5822989941,spam,counterfactualgan,rf,,107,yes place town field field fuck jett hotel txt0 week68 urgent information 150,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3354281180366751,0.9356247810864704,13,0.5087866187095642,26,0.2236835956573486,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1577568501234054
5,loans for any purpose even if you have bad credit! tenants welcome . call noworriesloans . com on 08717111821,ir for any bei even if you haveie way!! ag . call now lece: games . com on onga inch opposed sarcastic matter,25.5822989941,spam,counterfactualgan,rf,,117,ir bei haveie way ag lece game com onga inch oppose sarcastic matter,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3784817741264107,0.9111095447748618,15,0.11144089698791504,23,0.0930905863642692,83039 62735=aPS450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,-0.0402109622955322
6,jamster! to get your free wallpaper text heart to 88888 now! t & c apply . 16 only . need help? call 08,pressure familiar! to get your week week matter text breakfast to jul subject week treated 400! t & obus . water print . week information field and malaria,25.5822989941,spam,counterfactualgan,rf,,126,pressure familiar week week matter text breakfast jul subject week treat 400 t obus water print week information field malaria,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3142452148594761,0.8846550223499308,20,0.2874608337879181,28,0.1116911768913269,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1454476714134216
7,bloomberg - message center + 447797706009 why wait? apply for your future http:// careers . bloomberg . com,tones - messagester + 44779770 print09 why wait? matter for your atlanta http://bo .phonic . on,25.5822989941,spam,counterfactualgan,rf,,143,tone messagester + 44779770 print09 wait matter atlanta http://bo .phonic,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3988338386854278,0.8597669313459331,12,0.28898724913597107,18,0.1733472645282745,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",-0.1208414360880851
8,"claim a 200 shopping spree, just call 08717895698 now! have you won! mobstorequiz10ppm",lounge a reminding shopping week two interesting week matter field anyice talked9 se treated continued now! buyer you spending! watervik opposed and field great spoke,25.5822989941,spam,counterfactualgan,rf,,158,lounge remind shopping week interesting week matter field anyice talked9 se treat continue buyer spend watervik oppose field great speak,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3004751867960726,0.8935418119749646,21,0.45099687576293945,25,0.2563279867172241,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",-0.0708538070321083
9,<forwarded from 448712404000> please call 08712404000 immediately as there is an urgent message waiting for you.,##cher cupboarded at week apps and12 dock fieldsel lounge uk se loyalty above chickenwith above0ja and losers whichvik on and field and malaria,25.5822989941,spam,counterfactualgan,rf,,163,cher cupboarde week app and12 dock fieldsel lounge uk se loyalty chickenwith above0ja loser whichvik field malaria,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3442409459684431,0.7502450286223096,23,0.18166783452033997,23,0.1783399730920791,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0585741326212883
