,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,fbi official trump loathes may be fired for disclosing info that helped trump' s campaign,fbi official trump jenwritinges may be fired for disclosingignant that about trump' s campaign,29.6987988949,fake,counterfactualgan,rf,_tfidf,5,fbi official trump jenwritinge fire disclosingignant trump s campaign,idris elba star new hunchback notre dame netflix,0.2261759923654187,0.9728519039183324,4,0.7790736556053162,14,0.0140177281573414,Kacey Musgraves Dreams Of A Day When ‘We Have A Gay Country Music Icon’,-0.190752774477005
1,french jewish leaders' horrified' by murder of holocaust survivor,russia jewish leaders' have' by murder of survivor,29.6987988949,fake,counterfactualgan,rf,_tfidf,7,russia jewish leader murder survivor,idris elba star new hunchback notre dame netflix,0.2617597267051427,0.9442846209722848,3,0.6986420154571533,8,-0.1415938436985016,Fox News' Ed Henry Won't Let Scott Pruitt Off The Hook In Testy Exchange,-0.145590454339981
2,copenhagen trolls donald trump with funny bus ad to send americans a message,stockholm trolls donald trump with' bus ad to sword americans a message,29.6987988949,fake,counterfactualgan,rf,_tfidf,30,stockholm troll donald trump bus ad sword american message,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2636288707337609,0.9459787328171012,4,0.8694338798522949,12,-0.0023448516149073,"In Historic Victory, Barbados Elects First Female Prime Minister",-0.247910663485527
3,jury to weigh if pulse shooter ’ s widow is a monster or just married one,health tobro if pulse shooter ’ s home is a against or just pen one,29.6987988949,fake,counterfactualgan,rf,_tfidf,40,health tobro pulse shooter s home pen,idris elba star new hunchback notre dame netflix,0.1529767181298797,0.9146935403902235,6,0.46187204122543335,15,0.0339397154748439,"Former South Korean President Park Geun-hye Sentenced To 24 Years For Bribery, Abuse Of Power",-0.2033503204584121
4,getty mixed up mark zuckerberg' s executive assistant with priscilla chan,get trump pipeline up mark zuckerberg' s executive assistant with hillary chan,29.6987988949,fake,counterfactualgan,rf,_tfidf,41,trump pipeline mark zuckerberg s executive assistant hillary chan,chrissy teigen explain snapchat decision feel beyoncé biter,0.3255155129589277,0.9045579345641792,4,0.7810962796211243,12,0.1709325611591339,"IS hangs bodies of 40 civilians from poles in Iraqi city, UN says",-0.2145680338144302
5,"civil rights groups sue missouri, saying it' s failing to automatically update voter records","civil rights groups sue missouri, saying it' s wade to pat times voter times",29.6987988949,fake,counterfactualgan,rf,_tfidf,43,civil right group sue missouri say s wade pat time voter time,idris elba star new hunchback notre dame netflix,0.2059212882548386,0.9369674393178504,4,0.8070093393325806,14,0.0252852328121662,This Airport Is Offering Galactic Flights For 'Star Wars' Day,-0.2373626083135604
6,one of the dea' s most wanted drug traffickers pleads to be left in peace,one of the maryland' s most wanted drug traffickers pleads to be left in implementation,29.6987988949,fake,counterfactualgan,rf,_tfidf,44,maryland s want drug trafficker plead leave implementation,idris elba star new hunchback notre dame netflix,0.1498939866293299,0.97279951588673,2,0.7734274864196777,15,-0.1601829826831817,Thandie Newton's Cannes Dress Is A Celebration Of Black 'Star Wars' Characters,-0.2584213614463806
7,black americans going for donald trump in record numbers as election day approaches,black americans going for donald trump in recordcade as election day takes,29.6987988949,fake,counterfactualgan,rf,_tfidf,62,black american go donald trump recordcade election day take,idris elba star new hunchback notre dame netflix,0.2882378716594747,0.964251049511979,3,0.9028931856155396,12,-0.0111266458407044,"Blake Farenthold Says He Won't Repay $84,000 Sexual Harassment Settlement",-0.2143996953964233
8,establishment - backed democrat leaves congressional race under threat of ballot challenge,establishment - backed democrat leaves congressional race under woman of ballot challenge,29.6987988949,fake,counterfactualgan,rf,_tfidf,64,establishment back democrat leave congressional race woman ballot challenge,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0432494527986901,0.9803628958620558,1,0.8855819702148438,12,0.0811092406511306,Danish Father and Son Team Up on Homework and Turn In a German Warplane - The New York Times,-0.2251678705215454
9,unreal report: pm modi trolls one and all with his surgical strike on black money,un glee report: maximize hardlyi andover one and all with hisse strike on black money,29.6987988949,fake,counterfactualgan,rf,_tfidf,65,un glee report maximize hardlyi andover hisse strike black money,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1056621862621866,0.8967490436609395,7,0.49951446056365967,15,-0.021627839654684,Israeli Scientists Develop Blood Test to Diagnose Lung Cancer,-0.2035673558712005
10,"cyrus mistry speaks out, says tata removal didn ’ t hurt as much as punny headlines on it","trump lakersry speaks out, says removal didn ’ t steve as much ascate simone nightclub on it",29.6987988949,fake,counterfactualgan,rf,_tfidf,67,trump lakersry speak say removal didn t steve ascate simone nightclub,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.232538110237313,0.9165617782445252,7,0.3602569103240967,17,-0.0503784343600273,"Italian Train Derails in Switzerland, Seven Injured",-0.2000008821487426
11,talent agency uta trades oscar party for refugee rally,how declined heritage stockholm white party for refugee rally,29.6987988949,fake,counterfactualgan,rf,_tfidf,71,decline heritage stockholm white party refugee rally,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1510891345679171,0.8013970872393067,5,0.36018437147140503,9,0.0801090821623802,There's Finally A Legitimate Alternative To Payday Lending,-0.1156525686383247
12,"the' roseanne' revival catches up to our thorny political mood, for better and worse","the' roseanne' drugged ale up to our wirelessy political times, for better and more",29.6987988949,fake,counterfactualgan,rf,_tfidf,94,roseanne drug ale wirelessy political time well,idris elba star new hunchback notre dame netflix,0.1475466464050736,0.9462245835561708,5,0.5632493495941162,14,0.1125269159674644,No. 11 Loyola Chicago Reaches Final Four For First Time Since 1963,-0.1425468623638153
13,gov .' moonbeam' brown' s office uses trump' s own words to defend pardons,gov .' hillary zion' brown' s office uses trump' s own . to defend pardons,29.6987988949,fake,counterfactualgan,rf,_tfidf,95,gov hillary zion brown s office use trump s defend pardon,chrissy teigen explain snapchat decision feel beyoncé biter,0.2721410303154867,0.9690767106165116,3,0.8480181694030762,15,0.1028267815709114,Family Of Gay Man Found Critically Injured Near Amtrak Route Wants Answers,-0.1598810851573944
14,chrissy teigen says she knows which actress bit beyonce in the face,chrissy te,29.6987988949,fake,counterfactualgan,rf,_tfidf,109,chrissy te,house democrats offer internship student affect gun violence,0.0380623912465206,0.2543412988014429,11,0.28671014308929443,8,-0.1735272109508514,Liberty or State Control? You Decide,-0.2411970943212509
