,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart",0.7210183537021881,"[0.7424861983165844, 0.7507423957139239, 0.7530260720799887, 0.7141781580925551, 0.7424861983165844, 0.6865528724823142, 0.8112504658172598, 0.7123762457374933, 0.7507423957139239, 0.6865528724823142, 0.6904330538136939, 0.6416929623754001, 0.7530260720799887, 0.8112504658172598, 0.6904330538136939, 0.7074451125926696, 0.7141781580925551, 0.7123762457374933, 0.6416929623754001, 0.7074451125926696]",spacy,96.4355673789978,0,concon
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,0.6884260370048184,"[0.6866368005108332, 0.6968779713269796, 0.7042159484315925, 0.7089136451422514, 0.6866368005108332, 0.6001563467922528, 0.71817787449812, 0.6267132382963913, 0.6968779713269796, 0.6001563467922528, 0.652688395505233, 0.7650464813230204, 0.7042159484315925, 0.71817787449812, 0.652688395505233, 0.7248336682215099, 0.7089136451422514, 0.6267132382963913, 0.7650464813230204, 0.7248336682215099]",spacy,91.76096844673157,0,concon
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,0.9331910209468213,"[0.9097772653448112, 0.9598612550356206, 0.9320812966603064, 0.9167133178832502, 0.9097772653448112, 0.9329451912685167, 0.9122238214130663, 0.9525109136711661, 0.9598612550356206, 0.9329451912685167, 0.9518799134670459, 0.9429844186756734, 0.9320812966603064, 0.9122238214130663, 0.9518799134670459, 0.920932816048755, 0.9167133178832502, 0.9525109136711661, 0.9429844186756734, 0.920932816048755]",spacy,24.261799812316895,0,concon
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,0.5900285001497116,"[0.5867997751295685, 0.3814671837398493, 0.4831638288965748, 0.6895287610595604, 0.5867997751295685, 0.5157087399403814, 0.6291990780404331, 0.6718565296584228, 0.3814671837398493, 0.5157087399403814, 0.6520663018237384, 0.6154461696075905, 0.4831638288965748, 0.6291990780404331, 0.6520663018237384, 0.6750486336009976, 0.6895287610595604, 0.6718565296584228, 0.6154461696075905, 0.6750486336009976]",spacy,145.40533757209778,0,concon
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,0.8954901790502168,"[0.8792428028329193, 0.8980429506670526, 0.8978481284823606, 0.8402043742608823, 0.8792428028329193, 0.9590569165236488, 0.9079366859482488, 0.8864803858409026, 0.8980429506670526, 0.9590569165236488, 0.9444830625599485, 0.8740429369211022, 0.8978481284823606, 0.9079366859482488, 0.9444830625599485, 0.8675635464651031, 0.8402043742608823, 0.8864803858409026, 0.8740429369211022, 0.8675635464651031]",spacy,23.42907404899597,0,concon
5,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,0.43104940827320437,"[0.40322786549891915, 0.5094459625489787, 0.47032763620769635, 0.38157284550848447, 0.40322786549891915, 0.41500977400643635, 0.5093218402284492, 0.38383860591554225, 0.5094459625489787, 0.41500977400643635, 0.6287738109226578, 0.2692848276820362, 0.47032763620769635, 0.5093218402284492, 0.6287738109226578, 0.33969091421284314, 0.38157284550848447, 0.38383860591554225, 0.2692848276820362, 0.33969091421284314]",spacy,159.16175746917725,0,concon
6,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,0.9292006316624869,"[0.9768410060211029, 0.9256931774249734, 0.9229569079940358, 0.9130986110676358, 0.9768410060211029, 0.9411137532140363, 0.9407161945257868, 0.9359760992745694, 0.9256931774249734, 0.9411137532140363, 0.8918694403589694, 0.8992460143923744, 0.9229569079940358, 0.9407161945257868, 0.8918694403589694, 0.9444951123513843, 0.9130986110676358, 0.9359760992745694, 0.8992460143923744, 0.9444951123513843]",spacy,29.062299966812134,0,concon
7,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,0.9402725016391523,"[0.940214597647036, 0.9788408748056439, 0.9491924995023684, 0.9235828312984953, 0.940214597647036, 0.9313548171454669, 0.9444547256023889, 0.9458581818826401, 0.9788408748056439, 0.9313548171454669, 0.9375141486101533, 0.9121962804771035, 0.9491924995023684, 0.9444547256023889, 0.9375141486101533, 0.9395160594202234, 0.9235828312984953, 0.9458581818826401, 0.9121962804771035, 0.9395160594202234]",spacy,28.239121198654175,0,concon
8,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,0.5164238521498277,"[0.5176389424774644, 0.5914031113730348, 0.5194631192304352, 0.6319977268193226, 0.5176389424774644, 0.3930030310561512, 0.3675472092120483, 0.3912017598757162, 0.5914031113730348, 0.3930030310561512, 0.5253664932534942, 0.6423528448901472, 0.5194631192304352, 0.3675472092120483, 0.5253664932534942, 0.5842642833104615, 0.6319977268193226, 0.3912017598757162, 0.6423528448901472, 0.5842642833104615]",spacy,205.73229241371155,0,concon
9,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,0.43197305361029786,"[0.21972537336978448, 0.6216917543017518, 0.49222684268787353, 0.3029966045841021, 0.21972537336978448, 0.4136765602615268, 0.40042174085526067, 0.43829377383787277, 0.6216917543017518, 0.4136765602615268, 0.44799650488003734, 0.4455916636741216, 0.49222684268787353, 0.40042174085526067, 0.44799650488003734, 0.5371097176506483, 0.3029966045841021, 0.43829377383787277, 0.4455916636741216, 0.5371097176506483]",spacy,261.4632956981659,0,concon
10,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,0.8014723393669764,"[0.7961946558346199, 0.8244035455431771, 0.805736973996218, 0.7799267698271397, 0.7961946558346199, 0.8024266414893355, 0.7930208998114027, 0.7739292854916667, 0.8244035455431771, 0.8024266414893355, 0.7959441630088006, 0.7938823812627008, 0.805736973996218, 0.7930208998114027, 0.7959441630088006, 0.8492580774047037, 0.7799267698271397, 0.7739292854916667, 0.7938823812627008, 0.8492580774047037]",spacy,119.18598413467407,0,concon
11,"Childish Gambino's 'This Is America' Video, Explained",0.8186458016371226,"[0.9071160805729249, 0.8812571172181565, 0.8526056761905064, 0.7329547408922846, 0.9071160805729249, 0.8236827352095752, 0.8194219559097351, 0.7128807099672179, 0.8812571172181565, 0.8236827352095752, 0.8474789884629371, 0.7600918716683231, 0.8526056761905064, 0.8194219559097351, 0.8474789884629371, 0.8489681402795666, 0.7329547408922846, 0.7128807099672179, 0.7600918716683231, 0.8489681402795666]",spacy,32.194546937942505,0,concon
