,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Daniels Eve Wkly Q -- Give the nice Sony Panasonic player if way know which east another Syria is in ? Lol ansr to 82277 . aPS1.50 Sol : Tyrone,daniels eve wkly q nice sony panasonic player way know east syria lol ansr 82277 aps1.50 sol tyrone,important customer service announcement freephone 0800 542 0825,CountVectorizer,growing_language,MLPClassifier,spam,159.20768570899963,0,0.3765470125991714,0.9487474135602508,20,0.5877112150192261,30.0,0.1599715799093246,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0835171714425087
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,Strange ! We have turning to contact U. Todays draw shows that you 're won a aPS800 trip Based . Call 09050001808 from way line . GET Corey . Valid12hrs only,strange turn contact u. today draw show win aps800 trip base 09050001808 way line corey valid12hrs,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,143.3446352481842,1,0.3718063927945832,0.9694610675818072,14,0.7493813037872314,31.0,0.2389705181121826,Filthy stories and GIRLS waiting for your,-0.0546390637755394
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,Daniels ! They are picking to contact you .... Last friends draw shows that it won this aPS1000 advance GUARANTEED . Dare 09064012160 . Claim Federal K52 . Safe 12hrs always . 150ppm,daniels pick contact friend draw show win aps1000 advance guarantee dare 09064012160 claim federal k52 safe 12hrs 150ppm,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,CountVectorizer,growing_language,MLPClassifier,spam,140.935448884964,2,0.3593724289491171,0.9694489620063677,21,0.6593199372291565,33.0,0.2078821957111358,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0323103554546833
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,own telephone 47 orange computer . today is my lucky day!2find off why worry to http://www.urawinner.com THERE 'S A FANTASTIC SURPRISE Leaving YOU !,telephone 47 orange computer today lucky day!2find worry http://www.urawinner.com fantastic surprise leave,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_language,MLPClassifier,spam,133.81463074684143,3,0.3639468336897793,0.965102986548628,13,0.6542779207229614,24.0,0.1407964378595352,Moby Pub Quiz.Win a aPS100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP aPS1.50 008704050406 SP Arrow,0.010740359313786
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Congratulations haha awarded ONE about CD vouchers or 125gift guaranteed BUT Free computer 2 400 wkly draw txt Something that 87066,congratulation haha award cd voucher 125gift guarantee free computer 2 400 wkly draw txt 87066,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,112.28133296966551,3,0.4050021011482645,0.9302962578032228,8,0.8456903696060181,21.0,0.3039890229701996,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1483260989189148
5,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,Hunting it another strong age -- All luck clarifying down more things to keep they waiting ;) Let chat me :),hunt strong age luck clarify thing wait let chat,wylie tampa sarasota,CountVectorizer,growing_language,MLPClassifier,spam,134.07324528694153,5,-0.0136859727296001,0.9377218639888512,17,0.21255138516426086,21.0,0.0897006541490554,Change windows logoff sound..,-0.1738826334476471
6,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You hope another many customer service campaign . Think FREEPHONE 9 542 0825 now !,hope customer service campaign think freephone 9 542 0825,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_language,MLPClassifier,spam,83.43269753456116,10,0.2805232703918822,0.9205297799288004,9,0.7815116047859192,21.0,0.2687598466873169,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN aPS100 Cash WKENT/150P16+,-0.0024315491318702
7,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U want for Uni ? How about 100 free signature messages & a same scene phone into double lot brand rental ? Call nice back on 0800 0721072 to find off more !,u want uni 100 free signature message scene phone double lot brand rental nice 0800 0721072 find,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,182.5292444229126,10,0.3946006747547576,0.9793826616626662,16,0.5866876840591431,35.0,0.4230518937110901,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1371099203824997
8,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Wrong chance 22 court ur aPS150 company that discount vouchers - Text YES to 85023 now!SavaMob - nomination brings urban II Cs 08717898035 . aPS3.00 None . 13 . KEEP i.e X either Think,wrong chance 22 court ur aps150 company discount voucher text yes 85023 now!savamob nomination bring urban ii cs 08717898035 aps3.00 13 i.e x think,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_language,MLPClassifier,spam,148.5736756324768,10,0.3956573324365087,0.9466161823342356,23,0.8467912673950195,34.0,0.2044979482889175,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",-0.0364882163703441
9,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,MINE doubt quite know u and somethin do again know me . Send Account that 86688 now and let 's find each other ! Also x. / Msg rcvd . HG / Suite342/2Lands / Row / W1J6HL LDN . 18 ages or right .,doubt know u somethin know send account 86688 let find x. msg rcvd hg suite342/2lands row w1j6hl ldn 18 age right,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_language,MLPClassifier,spam,159.0795328617096,10,0.360978284218933,0.9868298876152436,32,0.8236299753189087,44.0,0.308494359254837,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0293590072542428
