,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"gangs of new york is an unapologetic mess, whose only saving grace is that it ends by blowing just about everything up","should of wins personality is an li games of safe,tzing is that itmania free cultural treated",94.0269572735,polarity,counterfactualgan,bert,,1,win personality li game safe tze itmania free cultural treat,execrable,-0.0338824211288292,0.8934717433514716,17,0.19811663031578064,16,0.1979632675647735,"starts off with a bang , but then fizzles like a wet stick of dynamite at the very end . it's still worth a look .",-0.0860701873898506
1,"we never really feel involved with the story, as all of its ideas remain just that abstract ideas","youom wins sina the games, as fans of its kingdom spreads parents that",94.0269572735,polarity,counterfactualgan,bert,,1,youom win sina game fan kingdom spread parent,execrable,-0.0109497220386501,0.8514589968557406,13,0.011277608573436737,13,0.0553941652178764,is office work really as alienating as 'bartleby' so effectively makes it ?,-0.1182439625263214
2,this is one of polanski' s best films,this is one of shot kingdom intelligence' s all,94.0269572735,polarity,counterfactualgan,bert,,1,shot kingdom intelligence s,bluto blutarsky miss,0.045473719954669,0.8601707798148109,5,0.4021793305873871,9,0.0841677710413932,it's a glorious groove that leaves you wanting more .,-0.0648609325289726
3,take care of my cat offers a refreshingly different slice of asian cinema,angle it of yearina kingdom a gamesly closing revolution of thisina,94.0269572735,polarity,counterfactualgan,bert,,1,angle yearina kingdom gamesly closing revolution thisina,bluto blutarsky miss,0.0346576481606356,0.798461326377975,10,0.10671712458133698,11,0.1053690612316131,"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious attempts to find a 'literary' filmmaking style to match his subject .",-0.1053652241826057
4,arnold' s jump from little screen to big will leave frowns on more than a few faces,should' s fans should major chi to all will fans shot mixed a capeough,94.0269572735,polarity,counterfactualgan,bert,,2,s fan major chi fan shot mix capeough,execrable,-0.0833471377524381,0.8845335354053023,13,0.2061276137828827,14,0.0331490822136402,the one not-so-small problem with expecting is that the entire exercise has no real point .,-0.0258230213075876
5,"jason x has cheesy effects and a hoary plot, but its macabre, self deprecating sense of humor makes up for a lot","worse a ta personality greeningliness and a closing creative lazy, but its campi fellowship,mania modern pleasant li n ofity is a",94.0269572735,polarity,counterfactualgan,bert,,2,bad ta personality greeningliness closing creative lazy campi fellowship mania modern pleasant li n ofity,bluto blutarsky miss,0.1403807577285484,0.881268562091754,18,0.34119129180908203,21,0.0477214343845844,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.0767060294747352
6,"even as lame horror flicks go, this is lame",",ul wins personalityina funliness, this is safe",94.0269572735,polarity,counterfactualgan,bert,,2,ul win personalityina funliness safe,execrable,-0.0857804542141754,0.7004149330668519,7,0.19507074356079102,7,0.3038139045238495,the movie doesn't add anything fresh to the myth .,-0.0849259048700332
7,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,the itmania of the majors can will this fans shot throughout to with the,94.0269572735,polarity,counterfactualgan,bert,,2,itmania major fan shoot,execrable,-0.0513326808675015,0.8814751927907583,11,0.26193132996559143,14,0.096204973757267,"despite the pyrotechnics , narc is strictly by the book .",-0.0715212821960449
8,steve irwin' s method is ernest hemmingway at accelerated speed and volume,worse lovely' sina is revolution adolescent camply at shot throughout and simply,94.0269572735,polarity,counterfactualgan,bert,,4,bad lovely sina revolution adolescent camply shot simply,bluto blutarsky miss,0.1254905765681793,0.6494883508954259,10,0.006310955621302128,12,0.0649726688861846,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",-0.0772191286087036
9,"it' s a pleasure to see seinfeld griping about the biz with buddies chris rock, garry shandling and colin quinn","it' s a green to fascinating worse pe closinghaing religious the all shot with the light year, and",94.0269572735,polarity,counterfactualgan,bert,,7,s green fascinating bad pe closinghaing religious shoot light year,bluto blutarsky miss,0.0580947567189858,0.8168531843812413,15,0.10078267753124237,18,0.0414135977625846,binoche and magimel are perfect in these roles .,-0.1476752460002899
