,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed For UNKWORDZ UNKWORDZ , UNKWORDZ Lavished With Praise - UNKWORDZ",bias trump blame unkwordz unkwordz unkwordz lavish praise unkwordz,idris elba star new hunchback notre dame netflix,TfidfVectorizer,sedc,MLPClassifier,fake,0.08498573303222656,0
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is UNKWORDZ Companies UNKWORDZ Away With UNKWORDZ Harassment,supreme court unkwordz company unkwordz away unkwordz harassment,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,MLPClassifier,fake,0.02704930305480957,0
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates UNKWORDZ Trump Did UNKWORDZ Know The Difference UNKWORDZ HPV And HIV,bill gate unkwordz trump unkwordz know difference unkwordz hpv hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,MLPClassifier,fake,0.02943730354309082,0
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie UNKWORDZ 's UNKWORDZ - Bodyguard Tim Chung Denies He 's Actually UNKWORDZ 's UNKWORDZ,kylie unkwordz unkwordz bodyguard tim chung deny actually unkwordz unkwordz,diamond silk,TfidfVectorizer,sedc,MLPClassifier,fake,0.04231882095336914,0
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law & Order : SVU ' Tackles UNKWORDZ Military Debate UNKWORDZ UNKWORDZ Storyline,law order svu tackle unkwordz military debate unkwordz unkwordz storyline,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,MLPClassifier,fake,0.030161619186401367,0
5,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,UNKWORDZ UNKWORDZ Breaks Out Another Impression Of UNKWORDZ Giuliani,unkwordz unkwordz break impression unkwordz giuliani,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,MLPClassifier,fake,0.027167797088623047,0
6,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,UNKWORDZ Embassy In Jerusalem UNKWORDZ Its UNKWORDZ As Protests Rage Nearby,unkwordz embassy jerusalem unkwordz unkwordz protest rage nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,MLPClassifier,fake,0.028006553649902344,0
7,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About UNKWORDZ Giving Away Syria UNKWORDZ UNKWORDZ Pretty Silly Now,trump complaint unkwordz give away syria unkwordz unkwordz pretty silly,idris elba star new hunchback notre dame netflix,TfidfVectorizer,sedc,MLPClassifier,fake,0.030064821243286133,0
8,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,UNKWORDZ UNKWORDZ ' Grey 's Anatomy ' For Secret Yearbook Message About UNKWORDZ Gay,unkwordz unkwordz grey anatomy secret yearbook message unkwordz gay,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,MLPClassifier,fake,0.030136823654174805,0
9,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,Jim UNKWORDZ 's Latest Painting Slams Kent UNKWORDZ ' Goldilocks ' UNKWORDZ Her AR-10,jim unkwordz late painting slam kent unkwordz goldilocks unkwordz ar-10,gorka smite hater radical islamist jerusalem post speech breitbart,TfidfVectorizer,sedc,MLPClassifier,fake,0.02962327003479004,0
10,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin on Trump UNKWORDZ Claims : ’ The Evidence Is UNKWORDZ ’ - UNKWORDZ,mark levin trump unkwordz claim evidence unkwordz unkwordz,idris elba star new hunchback notre dame netflix,TfidfVectorizer,sedc,MLPClassifier,fake,0.03021383285522461,0
11,"Childish Gambino's 'This Is America' Video, Explained",Childish Gambino 's ' This Is America UNKWORDZ UNKWORDZ UNKWORDZ Explained,childish gambino america unkwordz unkwordz unkwordz explain,idris elba star new hunchback notre dame netflix,TfidfVectorizer,sedc,MLPClassifier,fake,0.026227235794067383,0
12,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","UNKWORDZ UNKWORDZ Haters , UNKWORDZ UNKWORDZ UNKWORDZ Jerusalem UNKWORDZ Speech - UNKWORDZ",unkwordz unkwordz hater unkwordz unkwordz unkwordz jerusalem unkwordz speech unkwordz,idris elba star new hunchback notre dame netflix,TfidfVectorizer,sedc,MLPClassifier,fake,0.06853961944580078,0
13,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders Vow to Stay All Winter , UNKWORDZ UNKWORDZ UNKWORDZ Police",nodapl native american leader vow stay winter unkwordz unkwordz unkwordz police,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,MLPClassifier,fake,0.02955937385559082,0
14,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,UNKWORDZ UNKWORDZ UNKWORDZ Delay UNKWORDZ UNKWORDZ ' UNKWORDZ Against UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz delay unkwordz unkwordz unkwordz unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,MLPClassifier,fake,0.07864570617675781,0
15,Illegal Immigrant Accused of Murdering Teacher,Illegal UNKWORDZ UNKWORDZ of Murdering UNKWORDZ,illegal unkwordz unkwordz murder unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,sedc,MLPClassifier,fake,0.024018526077270508,0
16,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner for ’ UNKWORDZ ’ UNKWORDZ - Trump ‘ Resistance ’ UNKWORDZ Sell Soda",leave blast pepsi kendall jenner unkwordz unkwordz trump resistance unkwordz sell soda,idris elba star new hunchback notre dame netflix,TfidfVectorizer,sedc,MLPClassifier,fake,0.033129215240478516,0
