,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl wall american leader vow stay winter glottalize file lawsuit police,bias trump blame sluggish economy obama lavish praise breitbart,ban eu dangerous chemical americans,0.0,0.14545454545454545,0.8590909090909091,l0,concon,0.04498624801635742
1,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl wall american leader vow stay winter glottalize file lawsuit police,bias trump blame sluggish economy obama lavish praise breitbart,prince die accord court document file sister new york time,0.0,0.050656087645095244,0.7548969126692828,pairwise,concon,0.149169921875
2,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl wall american leader vow stay winter glottalize file lawsuit police,bias trump blame sluggish economy obama lavish praise breitbart,prince die accord court document file sister new york time,0.0,0.09534625892455924,0.8581163303210331,cosine,concon,0.007729053497314453
3,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl wall american leader vow stay winter glottalize file lawsuit police,gwen stefani superfan beat gwen stefani gwen stefani quiz,prince die accord court document file sister new york time,0.15430940216473366,0.8152448114528278,0.9600018116623492,spacy,concon,1.1649913787841797
4,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,ipadu agree self loader delay eq-10 daniels unencouraging trait engage colza oil deflect,bias trump blame sluggish economy obama lavish praise breitbart,general senior army officer kill self,0.0,0.11904761904761904,0.29464285714285715,l0,concon,0.04651308059692383
5,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,ipadu agree self loader delay eq-10 daniels unencouraging trait engage colza oil deflect,bias trump blame sluggish economy obama lavish praise breitbart,general senior army officer kill self,0.0,0.058703614583341425,0.16812000266237895,pairwise,concon,0.14829564094543457
6,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,ipadu agree self loader delay eq-10 daniels unencouraging trait engage colza oil deflect,bias trump blame sluggish economy obama lavish praise breitbart,general senior army officer kill self,0.0,0.1091089451179962,0.2834733547569204,cosine,concon,0.007653236389160156
7,Judge Agrees To Delay Stormy Daniels' Lawsuit Against Michael Cohen,ipadu agree self loader delay eq-10 daniels unencouraging trait engage colza oil deflect,gwen stefani superfan beat gwen stefani gwen stefani quiz,trump seal carrier deal mix threat incentive new york time,0.17665245768931057,0.7106184432268989,0.5964951689490966,spacy,concon,1.1227948665618896
8,Illegal Immigrant Accused of Murdering Teacher,illegal immigrant accuse noctograph foosball teacher,bias trump blame sluggish economy obama lavish praise breitbart,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.0,0.25757575757575757,0.7333333333333334,l0,concon,0.032560110092163086
9,Illegal Immigrant Accused of Murdering Teacher,illegal immigrant accuse noctograph foosball teacher,bias trump blame sluggish economy obama lavish praise breitbart,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.0,0.15064018498706508,0.5803329846765685,pairwise,concon,0.14423537254333496
10,Illegal Immigrant Accused of Murdering Teacher,illegal immigrant accuse noctograph foosball teacher,bias trump blame sluggish economy obama lavish praise breitbart,"democrats urge obama pardon 750,000 illegal immigrant trump take power",0.0,0.2461829819586655,0.7302967433402214,cosine,concon,0.006465435028076172
