,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,if i was i wasn t paying attention,you will be dead your 000 but we your page which message will call to the 150p <end> ,0.349147081375122,spam,xspells,rf,,0,dead 000 page message 150p < end >,wylie tampa sarasota,-0.059481326617863,0.7463328157659892,19,0.026383113116025925,19.0,0.0081263808533549,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",-0.1063664779067039
1,check mail i have mailed varma and kept copy to you regarding membership take care insha allah,this weekend our customer yesterday just go ok for an any top when you win in at 18 1st std ,0.2134680747985839,spam,xspells,rf,,0,weekend customer yesterday ok win 18 1st std,wylie tampa sarasota,-0.0145065917753351,0.7927436247867485,20,0.1378459334373474,21.0,0.0372387506067752,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",-0.0907735675573349
2,private your 2003 account statement for shows 800 un redeemed s i m points call 08715203652 identifier code 42810 expires 29 10 0,i am not driving problem he still send got another night how so lucky other 2 think thats ,0.3253474235534668,spam,xspells,rf,,0,drive problem send get night lucky 2 think s,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3519235663094733,0.7437286167536489,23,0.2135259211063385,19.0,0.3074324429035187,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.093077965080738
3,becoz its lt gt jan whn al the post ofice is in holiday so she cn go fr the post ofice got it duffer,urgent call are from you this ringtone your ringtone sholy sent <end> ,0.224492073059082,spam,xspells,rf,,0,urgent ringtone ringtone sholy send < end >,wylie tampa sarasota,-0.0349551721431614,0.6628146897002939,24,0.2025323510169983,13.0,0.0389197133481502,Watching tv lor...,-0.1472287625074386
4,wan2 win a meet greet with westlife 4 u or a m8 they are currently on what tour 1 unbreakable 2 untamed 3 unkempt text 1 2 or 3 to 83049 cost 50p std text,i am i on the bed by my way if so not everything but we need 2 r at www tv lor is the mind ,0.2895228862762451,spam,xspells,rf,,0,bed way need 2 r www tv lor mind,important customer service announcement freephone 0800 542 0825,0.401898181484972,0.855701718882488,34,0.2770233154296875,26.0,0.0937371999025344,"URGENT!: Your Mobile No. was awarded a aPS2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",-0.0645478963851928
5,great news call freefone 08006344447 to claim your guaranteed aps1000 cash or aps2000 gift speak to a live operator now,you will get over your next ten is your life are are until your account on charge <end> ,0.301722764968872,spam,xspells,rf,,0,life account charge < end >,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2899540754113889,0.8965706450990623,20,0.2010658085346222,21.0,0.0202695466578006,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,-0.0284296311438083
6,hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 so time 09099726429 janinexx callsaps1 minmobsmorelkpobox177hp51fl,hi you at home the coz great from 2 offer so we keep really full will begin pls also pm <end> ,0.2912712097167969,spam,xspells,rf,,0,hi home coz great 2 offer begin pls pm < end >,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3669376954683157,0.8444211781067102,25,0.3464455008506775,22.0,0.0940427035093307,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1370967477560043
7,urgent your 4 costa del sol holiday or aps5000 await collection call 09050090044 now toclaim sae tc s pobox334 stockpo sk38xh costaps1 50 pm max10mins,this msg is our free selection and enter our 2nd very has which is give it the very give ,0.2713761329650879,spam,xspells,rf,,0,msg free selection enter 2nd,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3066709286190989,0.7032315636142951,25,0.23197370767593384,20.0,0.2110399305820465,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1978434175252914
8,no prob i will send to your email,you are trying today contact this to receive by our and who have a friend will give yes free ,0.2245028018951416,spam,xspells,rf,,0,try today contact receive friend yes free,wylie tampa sarasota,-0.027489705850402,0.8714442608113793,19,0.41751980781555176,20.0,0.2335332185029983,I'm still pretty weak today .. Bad day ?,-0.1660821288824081
9,spook up your mob with a halloween collection of a logo pic message plus a free eerie tone txt card spook to 8007 zed 08701417012150p per logo pic,ur has gray on this service is my next get the next 4 a cum 4 a send out days it <end> ,0.2727284431457519,spam,xspells,rf,,0,ur gray service 4 cum 4 send day < end >,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3482662096961594,0.8073174541564762,27,0.239614337682724,23.0,0.3010879158973694,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1218001842498779
