,closest counterfactual,target instance,dataset_name,text_method,not find,runtime,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,WE ARE TERRIBLE! WE ARE!,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,spam,Polyjuice,545,26.382285833358765,bert,,terrible,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2621699559893239,0.8359931595874621,27,0.06315958499908447,21.0,0.083281472325325,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,-0.106596440076828
1,WE ARE KARMA! We Are MOST OFFENSIVE!,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam,Polyjuice,545,27.475946187973022,bert,,karma offensive,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2641358068169816,0.8282053505789256,27,0.1000371128320694,21.0,0.0734026655554771,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",-0.1777994483709335
2,You have an important customer service idea or a great question.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,545,22.055672645568848,bert,,important customer service idea great question,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2864069390707091,0.8955846292110831,7,0.43617329001426697,18.0,0.1222867965698242,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. aPS1.50 SP:Tyrone,-0.0743830278515815
3,What do you want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,545,18.6917507648468,bert,,want xma,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3654390694627245,0.8861345592337383,27,0.4967212378978729,17.0,0.0081890653818845,Missed call alert. These numbers called but left no message. 07008009200,-0.1457718759775161
4,Will u meet ur dream partner soon? Is ur career off 2 a run? EMPTY,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,Polyjuice,545,31.09257745742798,bert,,u meet ur dream partner soon ur career 2 run,important customer service announcement freephone 0800 542 0825,0.3648722912937228,0.957033439557802,17,0.8444269895553589,15.0,0.0864521786570549,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,-0.086492083966732
5,we have a secret admirer who is looking for a match from the antarctic.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,545,24.939074516296387,bert,,secret admirer look match antarctic,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2907483886232908,0.9056887820735726,17,0.3961949944496155,15.0,0.0700302496552467,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost aPS1.50 min MobcudB more,-0.1338432282209396
6,"copy of file name, paste link to converter","cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost aPS1.50. 2 cancel send STOP",spam,Polyjuice,545,24.200851678848267,bert,,copy file paste link converter,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2510420723957319,0.689761531968684,30,0.07616190612316132,18.0,0.1058685779571533,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,-0.1499505043029785
7,"Perhaps * is much easy give your account identification, so i will tomorrow at 4p-10p.","Perhaps * is much easy give your account identification, so i will tomorrow at UNI",spam,Polyjuice,545,29.822078466415405,bert,,easy account identification tomorrow 4p-10p,wylie tampa sarasota,-0.0201949098541496,0.9909659342837654,1,0.8346940279006958,15.0,0.1244513392448425,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",-0.1199906766414642
8,"We have been specially privileged to receive a copy of this film in an envelope. It is called an ""Oscar""-worthy movie, and we're lucky to have it on the front leg of the DVD case.","You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",spam,Polyjuice,545,25.356868505477905,bert,,"specially privileged receive copy film envelope call oscar""-worthy movie lucky leg dvd case",fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3000763961026867,0.9100124260541634,29,0.14821185171604156,35.0,-0.0681426152586937,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,-0.2255505174398422
9,"no other option for 1 year. no options, nothing more, a bunch of songs, nothing more.",FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,545,23.34467482566833,bert,,option 1 year option bunch song,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3256436889872474,0.7540931633313175,29,0.13852602243423462,21.0,0.0743195638060569,You have an important customer service announcement from PREMIER.,-0.0980927050113678
10,Want a shag?,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,545,22.309037685394287,bert,,want shag,important customer service announcement freephone 0800 542 0825,0.2552234435589979,0.7869635115038937,18,0.4568672776222229,8.0,-0.0527596175670623,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",-0.2191518247127533
11,You must have been really unlucky not to see this.,You are a winner you have been specially selected to receive aPS1000 cash or a aPS2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,spam,Polyjuice,545,26.407496452331543,bert,,unlucky,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2914100706253462,0.8857083667121757,24,0.09230566024780273,18.0,-0.0017968437168747,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,-0.1056601554155349
