,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,i' d like to tell you my deepest darkest fantasies . call me 09094646631 just 60p / min . to stop texts call,cs' reminding like to two you thrown matter fieldhl passed dar field outgoing field week leaves peak buyer andlessness 4 performvikbo . loyalty field after0,25.1068549156,spam,counterfactualgan,dnn,_tfidf,16,cs remind like throw matter fieldhl pass dar field outgoing field week leave peak buyer andlessness 4 performvikbo loyalty field after0,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3384156815753056,0.8082058751047455,22,0.05515429750084877,25.0,0.2107809633016586,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",-0.0367826074361801
1,urgent! please call 09061213237 from a landline . aps5000 cash or a 4 * holiday await collection . t &,urgent! games call smell two weight anniversarycal waysel from the se field0 weeks above0mylessness losers which ukou awaitue matter great0,25.1068549156,spam,counterfactualgan,dnn,_tfidf,26,urgent game smell weight anniversarycal waysel se field0 week above0mylessness loser ukou awaitue matter great0,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3413140796731693,0.8340968381239231,18,0.27039822936058044,20.0,0.2181158512830734,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0856609642505645
2,bloomberg - message center + 447797706009 why wait? apply for your future http:// careers . bloomberg . com,##cher - message lux shadow two interestinghaya matter wayhayahaya further colleagues why public? summer for your olessness: passed print kg . happier . great,25.1068549156,spam,counterfactualgan,dnn,_tfidf,38,cher message lux shadow interestinghaya matter wayhayahaya colleague public summer olessness pass print kg happy great,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3602425539018709,0.8126122066539533,17,0.2504611015319824,24.0,0.2775647342205047,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",-0.0627453550696373
3,"your free ringtone is waiting to be collected . simply text the password \ mix \ "" to 85069 to verify . get usher and britney . fm","your free ringtone is waiting to be matter . camehaya the field field field 400 "" to ag denisphonic to which uk get 870 and send .0",25.1068549156,spam,counterfactualgan,dnn,_tfidf,44,free ringtone wait matter camehaya field field field 400 ag denisphonic uk 870 send .0,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3469052293697803,0.9152546377549065,15,0.4260093569755554,27.0,0.2974143922328949,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1478848904371261
4,rct' thnq adrian for u text . rgds vatian,informationt' thnmy tone for u text . rg colleagues fieldtian,25.1068549156,spam,counterfactualgan,dnn,_tfidf,52,informationt thnmy tone u text rg colleague fieldtian,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3564485045672763,0.8120242030014483,6,0.6268219351768494,18.0,0.0708318427205085,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1196389198303222
5,for ur chance to win a aps250 cash every wk txt: action to 80608 . t' s & c' s www,cs ur ant to smell: determines matter field bugice 92 skye loyalty0 sells summer to ag balloon and ron whichvik denis peaceful and send fin0,25.1068549156,spam,counterfactualgan,dnn,_tfidf,56,cs ur ant smell determine matter field bugice 92 skye loyalty0 sell summer ag balloon ron whichvik denis peaceful send fin0,important customer service announcement freephone 0800 542 0825,0.3941269902007701,0.7691458215045153,22,0.18732380867004395,25.0,0.2120771557092666,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.153410792350769
6,free entry into our aps250 weekly comp just send the word enter to 84128 now . 18 t & c www . textcomp,owe cupboard into pg entirelys interesting anniversary matter way bug deepesthas the se public to cried above0ja . falls hands ukbo passed . field great malaria,25.1068549156,spam,counterfactualgan,dnn,_tfidf,59,owe cupboard pg entirelys interesting anniversary matter way bug deepestha se public cry above0ja fall hand ukbo pass field great malaria,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3202747857254603,0.8431899291864674,22,0.12041570991277695,26.0,0.167112186551094,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0874972939491272
7,are you unique enough? find out from 30th august . www . areyouunique . co . uk,are you unique enough? find out from matter field .ice . are you marriage your . co . uk,25.1068549156,spam,counterfactualgan,dnn,_tfidf,66,unique find matter field .ice marriage co uk,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3759462608241329,0.9373463497269318,7,0.6122136116027832,21.0,0.0048322095535695,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost aPS1.50 min MobcudB more,-0.1384314596652984
8,for ur chance to win aps250 cash every wk txt: play to 83370 . t' s & c' s www.,##cher ur chance to smell aps anniversary0 field came deepestk se fieldphonic 400 to deserve0 week passed losers'vik dr opposed happier send great passed,25.1068549156,spam,counterfactualgan,dnn,_tfidf,66,cher ur chance smell aps anniversary0 field come deepestk se fieldphonic 400 deserve0 week pass losers'vik dr oppose happy send great pass,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3994531023000839,0.792915175821234,20,0.3074520230293274,24.0,0.2049347013235092,what are your new years plans?,-0.0739726796746254
9,reminder: you have not downloaded the content you have already paid for . goto http:// doit . mymoby . tv / to collect,lounge: you have not two the foreign you field came passed per . loyalty above sports: deserve /japhonic falls whichvik kg opposedphonic send to passed,25.1068549156,spam,counterfactualgan,dnn,_tfidf,69,lounge foreign field came pass loyalty sport deserve /japhonic fall whichvik kg opposedphonic send pass,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3044512438987767,0.8721793304295348,18,0.16838183999061584,25.0,0.1560407429933548,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",-0.090211808681488
