,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,"this is one of polanski's worst films . """,this is one of polanski's best films .,polarity,Polyjuice,TfidfVectorizer,219,22.627655744552612
1,"As for the rest of the cast, they were dreadful.",sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,polarity,Polyjuice,TfidfVectorizer,219,31.551746368408203
2,it's a glorious spectacle like those d . w . griffith made in the early days of gory film .,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,TfidfVectorizer,219,25.990405797958374
3,. . . always remains trying .,. . . always remains movingly genuine .,polarity,Polyjuice,TfidfVectorizer,219,29.91181492805481
4,jonathan parker's bartleby should have been the be-all-end-all of the modern science fiction-office anomie films .,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,TfidfVectorizer,219,25.188249826431274
5,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even remotely funny all that dumb .","the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",polarity,Polyjuice,TfidfVectorizer,219,24.687559127807617
6,beginning to end.,"from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,TfidfVectorizer,219,28.56342101097107
7,like mike isn't interested in recycling old cliches . it wants to tweak them with a tune of tangy new humor .,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,polarity,Polyjuice,TfidfVectorizer,219,28.1992609500885
8,it's probably not easy to make such a convincing film...,it's probably not easy to make such a worthless film . . .,polarity,Polyjuice,TfidfVectorizer,219,24.307060956954956
9,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it certainly won't rock any boats but is solid meat-and-potatoes filmmaking .",""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",polarity,Polyjuice,TfidfVectorizer,219,33.48099112510681
10,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is a masterpiece .","i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .",polarity,Polyjuice,TfidfVectorizer,219,33.384318590164185
11,". . . it's boring, very enjoyable...",". . . very funny , very enjoyable . . .",polarity,Polyjuice,TfidfVectorizer,219,23.858842611312866
12,i can't recommend it highly enough.,i can't recommend it . but it's surprisingly harmless .,polarity,Polyjuice,TfidfVectorizer,219,22.803544998168945
13,every day is a risk and an option.,"narratively , trouble every day is a plodding mess .",polarity,Polyjuice,TfidfVectorizer,219,29.920101642608643
14,the man is execrable .,execrable .,polarity,Polyjuice,TfidfVectorizer,219,28.83248805999756
15,a fascinating but compelling documentary .,a fascinating but choppy documentary .,polarity,Polyjuice,TfidfVectorizer,219,26.609294891357422
16,"It's not inspirational entertainment, but it's lovely to watch once.","passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards .",polarity,Polyjuice,TfidfVectorizer,219,28.785472869873047
17,clayburgh and tambor are charming performers ; neither of them deserves eric more attention .,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,polarity,Polyjuice,TfidfVectorizer,219,28.3900146484375
18,the way coppola professes his love for movies -- is giddily entertaining .,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,polarity,Polyjuice,TfidfVectorizer,219,30.88402533531189
19,"For one thing, the actors are so terrific at conveying their young angst , we do indeed feel for them .","the actors are so terrific at conveying their young angst , we do indeed feel for them .",polarity,Polyjuice,TfidfVectorizer,219,29.545161962509155
20,"weirdly , broomfield has compelling new material but he doesn't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rented car .","weirdly , broomfield has compelling new material but he doesn't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .",polarity,Polyjuice,TfidfVectorizer,219,39.27464771270752
21,beware the quirky brit-com . they can and will turn on a dime from surprisingly high humorous to tediously sentimental .,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .,polarity,Polyjuice,TfidfVectorizer,219,26.179552793502808
