,distance counterfactual target instance lev,dataset,model,vectorizer,method
0,7,fake,Neural Network,,SEDC
1,3,fake,Neural Network,,SEDC
2,5,fake,Neural Network,,SEDC
3,10,fake,Neural Network,,SEDC
4,9,fake,Neural Network,,SEDC
5,3,fake,Neural Network,,SEDC
6,3,fake,Neural Network,,SEDC
7,5,fake,Neural Network,,SEDC
8,7,fake,Neural Network,,SEDC
9,11,fake,Neural Network,,SEDC
10,8,fake,Neural Network,,SEDC
11,9,fake,Neural Network,,SEDC
12,9,fake,Neural Network,,SEDC
13,8,fake,Neural Network,,SEDC
14,6,fake,Neural Network,,SEDC
15,3,fake,Neural Network,,SEDC
16,12,fake,Neural Network,,SEDC
17,11,fake,Neural Network,,SEDC
18,12,fake,Neural Network,,SEDC
19,3,fake,Neural Network,,SEDC
20,11,fake,Neural Network,,SEDC
21,18,fake,Neural Network,,SEDC
22,4,fake,Neural Network,,SEDC
23,6,fake,Neural Network,,SEDC
24,3,fake,Neural Network,,SEDC
25,3,fake,Neural Network,,SEDC
26,7,fake,Neural Network,,SEDC
27,12,fake,Neural Network,,SEDC
28,3,fake,Neural Network,,SEDC
29,9,fake,Neural Network,,SEDC
30,11,fake,Neural Network,,SEDC
31,9,fake,Neural Network,,SEDC
32,5,fake,Neural Network,,SEDC
33,6,fake,Neural Network,,SEDC
34,5,fake,Neural Network,,SEDC
35,3,fake,Neural Network,,SEDC
36,8,fake,Neural Network,,SEDC
37,10,fake,Neural Network,,SEDC
38,5,fake,Neural Network,,SEDC
39,7,fake,Neural Network,,SEDC
40,6,fake,Neural Network,,SEDC
41,12,fake,Neural Network,,SEDC
42,9,fake,Neural Network,,SEDC
43,14,fake,Neural Network,,SEDC
44,3,fake,Neural Network,,SEDC
45,6,fake,Neural Network,,SEDC
46,6,fake,Neural Network,,SEDC
47,4,fake,Neural Network,,SEDC
48,9,fake,Neural Network,,SEDC
49,7,fake,Neural Network,,SEDC
50,6,fake,Neural Network,,SEDC
51,8,fake,Neural Network,,SEDC
52,3,fake,Neural Network,,SEDC
53,4,fake,Neural Network,,SEDC
54,9,fake,Neural Network,,SEDC
55,15,fake,Neural Network,,SEDC
56,3,fake,Neural Network,,SEDC
57,9,fake,Neural Network,,SEDC
58,7,fake,Neural Network,,SEDC
59,10,fake,Neural Network,,SEDC
60,5,fake,Neural Network,,SEDC
61,5,fake,Neural Network,,SEDC
62,3,fake,Neural Network,,SEDC
63,3,fake,Neural Network,,SEDC
64,7,fake,Neural Network,,SEDC
65,6,fake,Neural Network,,SEDC
66,6,fake,Neural Network,,SEDC
67,4,fake,Neural Network,,SEDC
68,3,fake,Neural Network,,SEDC
69,7,fake,Neural Network,,SEDC
70,14,fake,Neural Network,,SEDC
71,5,fake,Neural Network,,SEDC
72,6,fake,Neural Network,,SEDC
73,9,fake,Neural Network,,SEDC
74,7,fake,Neural Network,,SEDC
75,4,fake,Neural Network,,SEDC
76,11,fake,Neural Network,,SEDC
77,6,fake,Neural Network,,SEDC
78,9,fake,Neural Network,,SEDC
79,6,fake,Neural Network,,SEDC
80,3,fake,Neural Network,,SEDC
81,7,fake,Neural Network,,SEDC
82,6,fake,Neural Network,,SEDC
83,6,fake,Neural Network,,SEDC
84,11,fake,Neural Network,,SEDC
85,10,fake,Neural Network,,SEDC
86,9,fake,Neural Network,,SEDC
87,10,fake,Neural Network,,SEDC
88,12,fake,Neural Network,,SEDC
89,4,fake,Neural Network,,SEDC
90,7,fake,Neural Network,,SEDC
91,8,fake,Neural Network,,SEDC
92,5,fake,Neural Network,,SEDC
93,7,fake,Neural Network,,SEDC
94,9,fake,Neural Network,,SEDC
95,3,fake,Neural Network,,SEDC
96,8,fake,Neural Network,,SEDC
97,3,fake,Neural Network,,SEDC
98,11,fake,Neural Network,,SEDC
99,7,fake,Neural Network,,SEDC
0,2,fake,Neural Network,,Growing Net
1,2,fake,Neural Network,,Growing Net
2,10,fake,Neural Network,,Growing Net
3,7,fake,Neural Network,,Growing Net
4,2,fake,Neural Network,,Growing Net
5,3,fake,Neural Network,,Growing Net
6,7,fake,Neural Network,,Growing Net
7,9,fake,Neural Network,,Growing Net
8,6,fake,Neural Network,,Growing Net
9,11,fake,Neural Network,,Growing Net
10,10,fake,Neural Network,,Growing Net
11,11,fake,Neural Network,,Growing Net
12,8,fake,Neural Network,,Growing Net
13,1,fake,Neural Network,,Growing Net
14,11,fake,Neural Network,,Growing Net
15,3,fake,Neural Network,,Growing Net
16,7,fake,Neural Network,,Growing Net
17,2,fake,Neural Network,,Growing Net
18,2,fake,Neural Network,,Growing Net
19,6,fake,Neural Network,,Growing Net
20,8,fake,Neural Network,,Growing Net
21,2,fake,Neural Network,,Growing Net
22,8,fake,Neural Network,,Growing Net
23,5,fake,Neural Network,,Growing Net
24,4,fake,Neural Network,,Growing Net
25,3,fake,Neural Network,,Growing Net
26,3,fake,Neural Network,,Growing Net
27,8,fake,Neural Network,,Growing Net
28,10,fake,Neural Network,,Growing Net
29,3,fake,Neural Network,,Growing Net
30,7,fake,Neural Network,,Growing Net
31,5,fake,Neural Network,,Growing Net
32,10,fake,Neural Network,,Growing Net
33,10,fake,Neural Network,,Growing Net
34,2,fake,Neural Network,,Growing Net
35,4,fake,Neural Network,,Growing Net
36,5,fake,Neural Network,,Growing Net
37,3,fake,Neural Network,,Growing Net
38,9,fake,Neural Network,,Growing Net
39,6,fake,Neural Network,,Growing Net
40,4,fake,Neural Network,,Growing Net
41,7,fake,Neural Network,,Growing Net
42,2,fake,Neural Network,,Growing Net
43,4,fake,Neural Network,,Growing Net
44,8,fake,Neural Network,,Growing Net
45,13,fake,Neural Network,,Growing Net
46,1,fake,Neural Network,,Growing Net
47,7,fake,Neural Network,,Growing Net
48,3,fake,Neural Network,,Growing Net
49,9,fake,Neural Network,,Growing Net
50,3,fake,Neural Network,,Growing Net
51,2,fake,Neural Network,,Growing Net
52,2,fake,Neural Network,,Growing Net
53,1,fake,Neural Network,,Growing Net
54,7,fake,Neural Network,,Growing Net
55,6,fake,Neural Network,,Growing Net
56,5,fake,Neural Network,,Growing Net
57,2,fake,Neural Network,,Growing Net
58,4,fake,Neural Network,,Growing Net
59,7,fake,Neural Network,,Growing Net
60,6,fake,Neural Network,,Growing Net
61,5,fake,Neural Network,,Growing Net
62,9,fake,Neural Network,,Growing Net
63,7,fake,Neural Network,,Growing Net
64,2,fake,Neural Network,,Growing Net
65,11,fake,Neural Network,,Growing Net
66,5,fake,Neural Network,,Growing Net
67,6,fake,Neural Network,,Growing Net
68,2,fake,Neural Network,,Growing Net
69,2,fake,Neural Network,,Growing Net
70,5,fake,Neural Network,,Growing Net
71,4,fake,Neural Network,,Growing Net
72,6,fake,Neural Network,,Growing Net
73,7,fake,Neural Network,,Growing Net
74,11,fake,Neural Network,,Growing Net
75,11,fake,Neural Network,,Growing Net
76,3,fake,Neural Network,,Growing Net
77,6,fake,Neural Network,,Growing Net
78,7,fake,Neural Network,,Growing Net
79,4,fake,Neural Network,,Growing Net
80,4,fake,Neural Network,,Growing Net
81,5,fake,Neural Network,,Growing Net
82,1,fake,Neural Network,,Growing Net
83,5,fake,Neural Network,,Growing Net
84,4,fake,Neural Network,,Growing Net
85,3,fake,Neural Network,,Growing Net
86,12,fake,Neural Network,,Growing Net
87,6,fake,Neural Network,,Growing Net
88,6,fake,Neural Network,,Growing Net
89,7,fake,Neural Network,,Growing Net
90,2,fake,Neural Network,,Growing Net
91,5,fake,Neural Network,,Growing Net
92,7,fake,Neural Network,,Growing Net
93,2,fake,Neural Network,,Growing Net
94,10,fake,Neural Network,,Growing Net
95,3,fake,Neural Network,,Growing Net
96,13,fake,Neural Network,,Growing Net
97,6,fake,Neural Network,,Growing Net
98,6,fake,Neural Network,,Growing Net
99,5,fake,Neural Network,,Growing Net
0,6,fake,Neural Network,,Growing Language
1,2,fake,Neural Network,,Growing Language
2,3,fake,Neural Network,,Growing Language
3,9,fake,Neural Network,,Growing Language
4,2,fake,Neural Network,,Growing Language
5,2,fake,Neural Network,,Growing Language
6,3,fake,Neural Network,,Growing Language
7,7,fake,Neural Network,,Growing Language
8,4,fake,Neural Network,,Growing Language
9,6,fake,Neural Network,,Growing Language
10,2,fake,Neural Network,,Growing Language
11,12,fake,Neural Network,,Growing Language
12,13,fake,Neural Network,,Growing Language
13,9,fake,Neural Network,,Growing Language
14,6,fake,Neural Network,,Growing Language
15,2,fake,Neural Network,,Growing Language
16,12,fake,Neural Network,,Growing Language
17,3,fake,Neural Network,,Growing Language
18,4,fake,Neural Network,,Growing Language
19,2,fake,Neural Network,,Growing Language
20,2,fake,Neural Network,,Growing Language
21,4,fake,Neural Network,,Growing Language
22,6,fake,Neural Network,,Growing Language
23,2,fake,Neural Network,,Growing Language
24,6,fake,Neural Network,,Growing Language
25,8,fake,Neural Network,,Growing Language
26,6,fake,Neural Network,,Growing Language
27,6,fake,Neural Network,,Growing Language
28,4,fake,Neural Network,,Growing Language
29,2,fake,Neural Network,,Growing Language
30,4,fake,Neural Network,,Growing Language
31,8,fake,Neural Network,,Growing Language
32,11,fake,Neural Network,,Growing Language
33,4,fake,Neural Network,,Growing Language
34,5,fake,Neural Network,,Growing Language
35,6,fake,Neural Network,,Growing Language
36,7,fake,Neural Network,,Growing Language
37,2,fake,Neural Network,,Growing Language
38,3,fake,Neural Network,,Growing Language
39,6,fake,Neural Network,,Growing Language
40,3,fake,Neural Network,,Growing Language
41,8,fake,Neural Network,,Growing Language
42,6,fake,Neural Network,,Growing Language
43,3,fake,Neural Network,,Growing Language
44,7,fake,Neural Network,,Growing Language
45,2,fake,Neural Network,,Growing Language
46,4,fake,Neural Network,,Growing Language
47,7,fake,Neural Network,,Growing Language
48,14,fake,Neural Network,,Growing Language
49,2,fake,Neural Network,,Growing Language
50,6,fake,Neural Network,,Growing Language
51,3,fake,Neural Network,,Growing Language
52,2,fake,Neural Network,,Growing Language
53,6,fake,Neural Network,,Growing Language
54,4,fake,Neural Network,,Growing Language
55,2,fake,Neural Network,,Growing Language
56,2,fake,Neural Network,,Growing Language
57,2,fake,Neural Network,,Growing Language
58,6,fake,Neural Network,,Growing Language
59,3,fake,Neural Network,,Growing Language
60,2,fake,Neural Network,,Growing Language
61,2,fake,Neural Network,,Growing Language
62,3,fake,Neural Network,,Growing Language
63,3,fake,Neural Network,,Growing Language
64,10,fake,Neural Network,,Growing Language
65,4,fake,Neural Network,,Growing Language
66,3,fake,Neural Network,,Growing Language
67,8,fake,Neural Network,,Growing Language
68,2,fake,Neural Network,,Growing Language
69,11,fake,Neural Network,,Growing Language
70,4,fake,Neural Network,,Growing Language
71,2,fake,Neural Network,,Growing Language
72,2,fake,Neural Network,,Growing Language
73,4,fake,Neural Network,,Growing Language
74,7,fake,Neural Network,,Growing Language
75,6,fake,Neural Network,,Growing Language
76,8,fake,Neural Network,,Growing Language
77,3,fake,Neural Network,,Growing Language
78,9,fake,Neural Network,,Growing Language
79,4,fake,Neural Network,,Growing Language
80,2,fake,Neural Network,,Growing Language
81,3,fake,Neural Network,,Growing Language
82,2,fake,Neural Network,,Growing Language
83,3,fake,Neural Network,,Growing Language
84,2,fake,Neural Network,,Growing Language
85,9,fake,Neural Network,,Growing Language
86,5,fake,Neural Network,,Growing Language
87,5,fake,Neural Network,,Growing Language
88,5,fake,Neural Network,,Growing Language
89,2,fake,Neural Network,,Growing Language
90,5,fake,Neural Network,,Growing Language
91,7,fake,Neural Network,,Growing Language
92,2,fake,Neural Network,,Growing Language
93,7,fake,Neural Network,,Growing Language
94,2,fake,Neural Network,,Growing Language
95,9,fake,Neural Network,,Growing Language
96,8,fake,Neural Network,,Growing Language
97,5,fake,Neural Network,,Growing Language
98,5,fake,Neural Network,,Growing Language
99,2,fake,Neural Network,,Growing Language
0,2,fake,Neural Network,,Polyjuice
1,13,fake,Neural Network,,Polyjuice
2,2,fake,Neural Network,,Polyjuice
3,1,fake,Neural Network,,Polyjuice
4,12,fake,Neural Network,,Polyjuice
5,11,fake,Neural Network,,Polyjuice
6,11,fake,Neural Network,,Polyjuice
7,23,fake,Neural Network,,Polyjuice
