target,counterfactual,method,black_box
"if h . g . wells had a time machine and could take a look at his kin's reworked version , what would he say ? 'it looks good , sonny , but you missed the point . '","if h . g . wells had a meter machine and could take a look at his family 's reworked version , what would He say ? ' it face good , sonny_boy , but you miss the point . '",wordnet,RF
an already thin story boils down to surviving invaders seeking an existent anti-virus . if only there were one for this kind of movie .,Associate_in_Nursing already full story boil cut_down to live_on encroacher search AN existent pro - virus . if exclusively thither represent one for this form of moving-picture_show .,wordnet,RF
"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .",,wordnet,RF
. . . standard guns versus martial arts cliche with little new added .,,wordnet,RF
"' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '","' . . . both hokey and super - cool_off , and decidedly not inward adenine hurry , so model book_binding , relax and lack ampere few jest patch the little one produce a bleary treat . '",wordnet,RF
don't let the subtitles fool you ; the movie only proves that hollywood no longer has a monopoly on mindless action .,set n't let the subtitles fool you ; the motion_picture merely proves that Hollywood no_more short has a monopoly on vacuous natural_process .,wordnet,RF
"on its own cinematic terms , it successfully showcases the passions of both the director and novelist byatt .",,wordnet,RF
"as comedic spotlights go , notorious c . h . o . hits all the verbal marks it should .","a comedic highlight go , ill-famed 100 . h . o . hits whole the verbal Simon_Marks it should .",wordnet,RF
"below may not mark mr . twohy's emergence into the mainstream , but his promise remains undiminished .","beneath Crataegus_laevigata not fall_guy mr . twohy 's emergence into the mainstream , but his promise stiff unrelieved .",wordnet,RF
"despite the film's shortcomings , the stories are quietly moving .","despite the movie 's shortcomings , the stories are loudly motivate .",wordnet,RF
only two words will tell you what you know when deciding to see it : anthony . hopkins .,but two words testament enjoin you what you live when resolve to see it : anthony . hopkins .,wordnet,RF
it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it .,it 's totally pretty naturalise . the most offensive thing about the picture is that Hollywood look citizenry to pay to see it .,wordnet,RF
ahhhh . . . revenge is sweet !,ahhhh . . . retaliation make_up sweet !,wordnet,RF
"one of the best , most understated performances of [jack nicholson's] career .","one of the worst , about understated carrying_into_action of [ jack nicholson 's ] career .",wordnet,RF
"when mr . hundert tells us in his narration that 'this is a story without surprises , ' we nod in agreement .",,wordnet,RF
"without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality .",,wordnet,RF
". . . if you're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games .",,wordnet,RF
"as hugh grant says repeatedly throughout the movie , 'lovely ! brilliant ! '","as hugh give says repeatedly throughout the movie , ' lovely ! brainy ! '",wordnet,RF
