,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
0,"the movie has a soft , percolating magic , a deadpan suspense .",0.5605035245269534,"[0.4250222510163709, 0.4731050665490222, 0.4267246419602304, 0.4660335283932819, 0.4250222510163709, 0.6570175097628624, 0.49144199583326253, 0.5853780326240198, 0.4731050665490222, 0.6570175097628624, 0.6607402049327736, 0.7656898572347844, 0.4267246419602304, 0.49144199583326253, 0.6607402049327736, 0.6538821569629257, 0.4660335283932819, 0.5853780326240198, 0.7656898572347844, 0.6538821569629257]",spacy,221.39189505577087,0,concon
1,this is one of polanski's best films .,0.7813331361983655,"[0.8255730204485974, 0.8402916248960215, 0.8069728940373683, 0.7870898954823579, 0.8255730204485974, 0.7358986410651028, 0.7458216602457132, 0.8078354257074454, 0.8402916248960215, 0.7358986410651028, 0.7698135587793387, 0.7520228420675729, 0.8069728940373683, 0.7458216602457132, 0.7698135587793387, 0.7420117992541369, 0.7870898954823579, 0.8078354257074454, 0.7520228420675729, 0.7420117992541369]",spacy,50.58714580535889,0,concon
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",0.7103186234219048,"[0.7089472444633802, 0.6769156645921223, 0.6960175050575519, 0.6191198678600514, 0.7089472444633802, 0.7664250477699476, 0.7728416196397783, 0.6122051234420868, 0.6769156645921223, 0.7664250477699476, 0.8380660223319655, 0.6895724765910941, 0.6960175050575519, 0.7728416196397783, 0.8380660223319655, 0.7230756624710702, 0.6191198678600514, 0.6122051234420868, 0.6895724765910941, 0.7230756624710702]",spacy,97.53374099731445,0,concon
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",0.8845045548992397,"[0.8859459097212043, 0.9056733232074508, 0.8841583293515887, 0.9070934159115159, 0.8859459097212043, 0.877788789791341, 0.8892552363949481, 0.8494054884507798, 0.9056733232074508, 0.877788789791341, 0.9022895488256871, 0.8672767214049109, 0.8841583293515887, 0.8892552363949481, 0.9022895488256871, 0.8761587859329709, 0.9070934159115159, 0.8494054884507798, 0.8672767214049109, 0.8761587859329709]",spacy,109.97624397277832,0,concon
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,0.9312965448399264,"[0.9358597917816472, 0.9029410561014286, 0.9591904756763383, 0.943638703446765, 0.9358597917816472, 0.9224999856417647, 0.9367522874896204, 0.9381407262466313, 0.9029410561014286, 0.9224999856417647, 0.9115072495390785, 0.9223075871187812, 0.9591904756763383, 0.9367522874896204, 0.9115072495390785, 0.9401275853572104, 0.943638703446765, 0.9381407262466313, 0.9223075871187812, 0.9401275853572104]",spacy,53.94875168800354,0,concon
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",0.8358094503540506,"[0.8104628433253249, 0.8357149587448323, 0.8734938717008854, 0.8719468616123861, 0.8104628433253249, 0.7663289808874625, 0.8463634909030789, 0.8301221149475706, 0.8357149587448323, 0.7663289808874625, 0.8633193245459251, 0.7954296708348663, 0.8734938717008854, 0.8463634909030789, 0.8633193245459251, 0.8649123860381739, 0.8719468616123861, 0.8301221149475706, 0.7954296708348663, 0.8649123860381739]",spacy,134.77979826927185,0,concon
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,0.9416548915136447,"[0.9221712738280033, 0.9373998651681875, 0.9530829703116854, 0.952018292187854, 0.9221712738280033, 0.9283488082823091, 0.9309955452821398, 0.950985048756559, 0.9373998651681875, 0.9283488082823091, 0.9326122184234439, 0.9587604692940036, 0.9530829703116854, 0.9309955452821398, 0.9326122184234439, 0.950174423602263, 0.952018292187854, 0.950985048756559, 0.9587604692940036, 0.950174423602263]",spacy,24.618192195892334,0,concon
7,[at least] moore is a real charmer .,0.5612614395537066,"[0.7099649700902518, 0.2121681465730258, 0.7162553266943177, 0.7099629521881903, 0.7099649700902518, 0.23641417899311848, 0.6272550035677232, 0.7079172722965396, 0.2121681465730258, 0.23641417899311848, 0.4442859810581116, 0.40548637340994925, 0.7162553266943177, 0.6272550035677232, 0.4442859810581116, 0.8429041906658372, 0.7099629521881903, 0.7079172722965396, 0.40548637340994925, 0.8429041906658372]",spacy,176.7701940536499,0,concon
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,0.9453264665656095,"[0.9644029243238584, 0.9540951428904769, 0.9512700344473052, 0.9417898989164801, 0.9644029243238584, 0.9473679276122626, 0.9412004059347999, 0.9281931625935541, 0.9540951428904769, 0.9473679276122626, 0.9551428016177425, 0.927706778544311, 0.9512700344473052, 0.9412004059347999, 0.9551428016177425, 0.9420955887753019, 0.9417898989164801, 0.9281931625935541, 0.927706778544311, 0.9420955887753019]",spacy,28.840962171554565,0,concon
9,. . . always remains movingly genuine .,0.8175916523707579,"[0.8201211709612024, 0.8296080820241933, 0.8412060100768184, 0.7886176084452438, 0.8201211709612024, 0.8825511240778945, 0.7930224761704919, 0.8356821104535279, 0.8296080820241933, 0.8825511240778945, 0.802559573110096, 0.8058402401909395, 0.8412060100768184, 0.7930224761704919, 0.802559573110096, 0.776708128197172, 0.7886176084452438, 0.8356821104535279, 0.8058402401909395, 0.776708128197172]",spacy,30.038729667663574,0,concon
10,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,0.9061281569299993,"[0.87002792854123, 0.90063042302031, 0.9334626528586119, 0.8823779875195209, 0.87002792854123, 0.890214077630272, 0.9104896127830543, 0.9112117160927815, 0.90063042302031, 0.890214077630272, 0.9215347242787543, 0.9082114830095863, 0.9334626528586119, 0.9104896127830543, 0.9215347242787543, 0.9331209635658716, 0.8823779875195209, 0.9112117160927815, 0.9082114830095863, 0.9331209635658716]",spacy,51.941447734832764,0,concon
11,there's more repetition than creativity throughout the movie .,0.8945884168669946,"[0.9510220947137079, 0.7806622149618228, 0.927722155695484, 0.9166988669538063, 0.9510220947137079, 0.8301373431921009, 0.9762287807841545, 0.974353093196835, 0.7806622149618228, 0.8301373431921009, 0.8093576228238727, 0.835793420198362, 0.927722155695484, 0.9762287807841545, 0.8093576228238727, 0.9439085761498027, 0.9166988669538063, 0.974353093196835, 0.835793420198362, 0.9439085761498027]",spacy,65.63484477996826,0,concon
12,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",0.9657347888517895,"[0.964033944901413, 0.9554413772867818, 0.9714182784393355, 0.97810291580773, 0.964033944901413, 0.9579212000066655, 0.9642095769926519, 0.9672870410997462, 0.9554413772867818, 0.9579212000066655, 0.9583786065891365, 0.9599661305397194, 0.9714182784393355, 0.9642095769926519, 0.9583786065891365, 0.9805888168547171, 0.97810291580773, 0.9672870410997462, 0.9599661305397194, 0.9805888168547171]",spacy,31.527007341384888,0,concon
