index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate
0,six ways to give the gift of generosity to children and teenagers the new york times,1,six ways to give the gift of generosity to children and teenagers the new york times,1,1,0.9642857142857143,"['at ampt cellphone users unable to call ', 'small town attack ’ african arab ’ ', 'new york city council launches probe ', 'oops denver post prints photo of wrong ', 'republicans us shoot themselves in ']","['witches unite to cast ‘ binding spell ', 'bill de blasio speaks at funeral for ', 'emails show interior expected to learn ', 'bill kristol backs ’ deep state ’ over ', 'late night writer s royal wedding is ']","{'’': 0.07407407407407407, 'ampt': 0.037037037037037035, 'cellphone': 0.037037037037037035, 'users': 0.037037037037037035, 'unable': 0.037037037037037035}","{'bill': 0.07142857142857142, '’': 0.07142857142857142, 'witches': 0.03571428571428571, 'unite': 0.03571428571428571, 'cast': 0.03571428571428571}",0.07591652870178223
1,bill gates says trump didn t know the difference between hpv and hiv,0,bill gates says trump didn t know the difference between hpv and hiv,0,0,0.96,"['at new york city ballet lacing up to ', 'bill maher shreds donald trump likens ', 'r kelly accusers say they had to ask ', 'repo pro common jeb bush former staffer ', 'alternative cancer with positive results ']","['betsy devos mulls the fate of guidance ', 'iraqi army discovers us made missiles ', 'former fbi director director andrew ', 'former mexican president vicente fox ']","{'new': 0.037037037037037035, 'york': 0.037037037037037035, 'city': 0.037037037037037035, 'ballet': 0.037037037037037035, 'lacing': 0.037037037037037035}","{'former': 0.09523809523809523, 'director': 0.09523809523809523, 'betsy': 0.047619047619047616, 'devos': 0.047619047619047616, 'mulls': 0.047619047619047616}",0.039433956146240234
2,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,1,0.9891304347826086,"['if you have re on the internet talking ', 'former student is a its thing of donald ', 'former trump accuses president accuses ', 'watch more car mayhem in ’ fate of ', 'former student accuses trump in sexual ']","['n l says its players will not in 2018 ', 'in address cuomo new york ’ s policies ', '‘ i have a ’ but not stolen from ’ ', 'rand paul on syria strikes ’ i think ', '‘ i ’ m nobody ’ not a chance emily ']","{'former': 0.14285714285714285, 'accuses': 0.14285714285714285, 'student': 0.09523809523809523, 'trump': 0.09523809523809523, 'internet': 0.047619047619047616}","{'’': 0.2222222222222222, '‘': 0.07407407407407407, 'n': 0.037037037037037035, 'l': 0.037037037037037035, 'says': 0.037037037037037035}",0.06894350051879883
3,democrats projected to win pennsylvania district that went heavily for trump,0,democrats projected to win pennsylvania district that went heavily for trump,0,0,0.9393939393939394,"['nation ’ s top lawyers have had enough ', 'snowden reveals how easy it is to hack ', 'supreme cou to take hard look at only ', 'supreme cou to take hard look at paisan ', 'texas education board votes to create ']","['no hours of raging deadly prison violence ', 'donald trump deutsche bank did clintons ', 'former student accuses in in killings ', 'repo fbi director will have have violated ', 'fbi 33 000 criminal gangs 1 4 million ']","{'supreme': 0.08, 'cou': 0.08, 'take': 0.08, 'hard': 0.08, 'look': 0.08}","{'fbi': 0.07692307692307693, 'hours': 0.038461538461538464, 'raging': 0.038461538461538464, 'deadly': 0.038461538461538464, 'prison': 0.038461538461538464}",0.052599191665649414
4,russian spring unveils new caoon series mocking us propaganda,1,russian spring unveils new caoon series mocking us propaganda,1,1,0.967391304347826,"['fox news all but ignores nationwide ', 'repo fbi deputy director andrew mccabe ', 'repo fbi director andrew andrew mccabe ', 'former clinton foundation ceo begging ', 'russian spring unveils new caoon series mocking us propaganda']","['fox news said at white house 000 dam ', 'no charges but harsh criticism for ', 'at least 5 dead in violent clashes ', 'new han solo trailer features a twist ', 'republicans head into mid terms with ']","{'andrew': 0.1, 'repo': 0.06666666666666667, 'fbi': 0.06666666666666667, 'director': 0.06666666666666667, 'mccabe': 0.06666666666666667}","{'fox': 0.04, 'news': 0.04, 'said': 0.04, 'white': 0.04, 'house': 0.04}",0.07073664665222168
5,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,0,0.9620253164556962,"['witches unite to cast ‘ binding spell ', 'senate does equifax a favor as a former ', 'michael brown ’ s mother lezley mcspadden ', 'dozens dead after torrential rains ', 'senate passes bill to be give thousands ']","['republicans us us they into now they ', 'republicans now marching with trump ', 'iraqi army discovers us made missiles ', 'former student accuses in in killings ', 'spirit cooking only the sta to hillary ']","{'senate': 0.08, 'witches': 0.04, 'unite': 0.04, 'cast': 0.04, '‘': 0.04}","{'us': 0.15, 'republicans': 0.1, 'marching': 0.05, 'trump': 0.05, 'iraqi': 0.05}",0.05666828155517578
6,watch james corden get smashed in the face by a ball in slow motion,0,watch james corden get smashed in the face by a ball in slow motion,1,1,0.9690721649484536,"['a list of everything don jr doesn t ', 'gop led house panel ends its russia ', 'repo fbi will be any despite when russian ', 'watch demon clown pennywise returns ', 'former student foundation after trump ']","['newshour in joy after being able to ', 'breaking clinton “ what we have had ', 'watch blue bid 000 on a time s latest ', 'watch blue bid 000 on a time it s no ', 'repo fbi can be facial recognition ']","{'list': 0.045454545454545456, 'everything': 0.045454545454545456, 'jr': 0.045454545454545456, 'gop': 0.045454545454545456, 'led': 0.045454545454545456}","{'watch': 0.09523809523809523, 'blue': 0.09523809523809523, 'bid': 0.09523809523809523, '000': 0.09523809523809523, 'time': 0.09523809523809523}",0.08058714866638184
7,black agenda radio for week of nov 14 2016,1,black agenda radio for week of nov 14 2016,1,1,0.978494623655914,"['fox news said at white house of joke ', 'russia vows to expand black list of ', 'fbi debunks hillary s conspiracy theory ', 'no jail time for walk of fame trump ', 'donald trump signs ‘ tremendous ’ deal ']","['these old marijuana movie posters may ', 'russian spring unveils new caoon series ', 'former fbi deputy director andrew mccabe ', 'five inside resolution denying israeli ', 'and baby make history becoming first ']","{'trump': 0.07142857142857142, 'fox': 0.03571428571428571, 'news': 0.03571428571428571, 'said': 0.03571428571428571, 'white': 0.03571428571428571}","{'old': 0.038461538461538464, 'marijuana': 0.038461538461538464, 'posters': 0.038461538461538464, 'may': 0.038461538461538464, 'russian': 0.038461538461538464}",0.07597494125366211
8,everyone got the pulse massacre story completely wrong,0,everyone got the pulse massacre story completely wrong,0,0,0.9896907216494846,"['pulse survivor to appear at event touting ', 'and baby make history becoming first ', 'everyone got the pulse massacre story completely wrong', 'gop food stamp bill might be harsh ', 'no hours graduation ceremony for teen ']","['investigation finds phillips andover ', 'cnn contributor blames breitba white ', 'david clarke makes a tacky homophobic ', 'alarmist repo eah to lose 67 of wildlife ', 'michael bloomberg slams epidemic of ']","{'pulse': 0.07407407407407407, 'survivor': 0.037037037037037035, 'appear': 0.037037037037037035, 'event': 0.037037037037037035, 'touting': 0.037037037037037035}","{'investigation': 0.041666666666666664, 'finds': 0.041666666666666664, 'phillips': 0.041666666666666664, 'andover': 0.041666666666666664, 'cnn': 0.041666666666666664}",0.07206034660339355
9,she staed a suicide prevention site at age 15 it s still going strong,0,she staed a suicide prevention site at age 15 it s still going strong,0,0,0.96,"['fox friends host brian kilmeade says ', 'try not to cry watching david beckham ', 'white house calls for deep cuts to ', 'repo pro common jeb bush former staffer ', 'watch blue bid 000 on a time s time ']","['breaking clinton – a russian suspect ', 'breaking putin just gave obama 24 hours ', 'repo 33 of jay z claims claims that ', 'video hackers expose hillary clinton ', 'breaking clinton “ we re have to people ']","{'time': 0.06896551724137931, 'fox': 0.034482758620689655, 'friends': 0.034482758620689655, 'host': 0.034482758620689655, 'brian': 0.034482758620689655}","{'breaking': 0.11538461538461539, 'clinton': 0.11538461538461539, 'claims': 0.07692307692307693, '–': 0.038461538461538464, 'russian': 0.038461538461538464}",0.08170723915100098
10,congressman proposes national surveillance program after trump meeting the new york times,1,congressman proposes national surveillance program after trump meeting the new york times,1,1,0.9743589743589743,"['11 very depressing economic realities ', 'ohio voters have a chance to do something ', 'congressman proposes national surveillance program after trump meeting the new york times', 'rosenstein to republicans doj ‘ will ', 'soros groups behind massive anti trump ']","['thousands travel home to ireland to ', 'known man in america says he a a day ', 'jack johnson was pardoned but taboo ', 'supreme cou to take hard look at paisan ', 'former fbi deputy director andrew mccabe ']","{'trump': 0.07142857142857142, '11': 0.03571428571428571, 'depressing': 0.03571428571428571, 'economic': 0.03571428571428571, 'realities': 0.03571428571428571}","{'thousands': 0.04, 'travel': 0.04, 'home': 0.04, 'ireland': 0.04, 'known': 0.04}",0.0716252326965332
