,perturb,original,dataset,method,nb not found,time to generate counterfactual
0,WE ARE TERRIBLE! WE ARE!,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,spam,Polyjuice,545,26.382285833358765
1,WE ARE KARMA! We Are MOST OFFENSIVE!,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam,Polyjuice,545,27.475946187973022
2,You have an important customer service idea or a great question.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,545,22.055672645568848
3,What do you want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,545,18.6917507648468
4,Will u meet ur dream partner soon? Is ur career off 2 a run? EMPTY,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,Polyjuice,545,31.09257745742798
5,we have a secret admirer who is looking for a match from the antarctic.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,545,24.939074516296387
6,"copy of file name, paste link to converter","cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost aPS1.50. 2 cancel send STOP",spam,Polyjuice,545,24.200851678848267
7,"Perhaps * is much easy give your account identification, so i will tomorrow at 4p-10p.","Perhaps * is much easy give your account identification, so i will tomorrow at UNI",spam,Polyjuice,545,29.822078466415405
8,"We have been specially privileged to receive a copy of this film in an envelope. It is called an ""Oscar""-worthy movie, and we're lucky to have it on the front leg of the DVD case.","You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",spam,Polyjuice,545,25.356868505477905
9,"no other option for 1 year. no options, nothing more, a bunch of songs, nothing more.",FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,545,23.344674825668335
10,Want a shag?,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,545,22.309037685394287
11,You must have been really unlucky not to see this.,You are a winner you have been specially selected to receive aPS1000 cash or a aPS2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,spam,Polyjuice,545,26.407496452331543
12,download the content you already paid for.,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam,Polyjuice,545,24.207014799118042
13,Don't waste your time on this B horror flick.,"WELL DONE! Your 4* Costa Del Sol Holiday or aPS5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, CostaPS1.50/pm, Max10mins",spam,Polyjuice,545,27.42041826248169
14,claim number that must be attached:,83039 62735=aPS450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,spam,Polyjuice,545,31.393930196762085
15,Please call there is an urgent message waiting for you,Please CALL 08712402578 immediately as there is an urgent message waiting for you,spam,Polyjuice,545,25.406644344329834
16,Call our customer service line for more information.,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed aPS1000 cash or aPS5000 prize!,spam,Polyjuice,545,28.324382305145264
17,windows logon error,Change windows logoff sound..,spam,Polyjuice,545,23.084261417388916
18,Can cannibus help fibromyalgia?,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,spam,Polyjuice,545,24.62638282775879
19,"In addition, German uses separable stress for inseparable prefixes and different prefixes in verbs and words derived from such verbs.","Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,Polyjuice,545,29.850937128067017
20,You have won a million dollars.,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,Polyjuice,545,25.023651361465454
21,Call to book now,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,Polyjuice,545,29.120168924331665
22,You have an important customer service position.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,545,22.619303703308105
23,You've lost tkts to the ulema/ european cup final competition too.,"You've won tkts to the EURO2004 CUP FINAL or aPS800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,Polyjuice,545,26.32959485054016
24,Good News! Call Call anytime!,Great News! Call FREEFONE 08006344447 to claim your guaranteed aPS1000 CASH or aPS2000 gift. Speak to a live operator NOW!,spam,Polyjuice,545,29.770774364471436
25,"The New York and Erie Railroad completed its route between Piermont and Dunkirk in 1851, New York via Hornell and Salamanca.",Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,Polyjuice,545,29.285532474517822
26,send postcard from winchamushi weekly.,Reply to win aPS100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,Polyjuice,545,23.620392322540283
27,Natalie( 20/F) is giving you to be her friend.,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,spam,Polyjuice,545,22.431394577026367
28,the pager is full of stale meat,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam,Polyjuice,545,32.92231202125549
29,"Seriously, the SEXYCHAT girls are waiting for you to text them.","Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",spam,Polyjuice,545,25.240382432937622
30,And: get Gnarls Barkles & Ice Cream'\ Vegas consequences',"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",spam,Polyjuice,545,25.435360431671143
31,fax: excel?,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,spam,Polyjuice,545,24.266432762145996
32,r & d received from b & d the following items from b & d:,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",spam,Polyjuice,545,26.15319275856018
33,"The UCP is a political party which forms an independent political party, the VLD won 206 seats, while the MRU formed 7 seats and lost 4 seats.",U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam,Polyjuice,545,27.235055208206177
34,No one U know has asked our dating service 2 contact you!,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam,Polyjuice,545,22.567789793014526
35,Want a new video app?,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,spam,Polyjuice,545,21.005725145339966
36,"Forwarded from 2187000, paragraph 13:",<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,spam,Polyjuice,545,26.08727717399597
37,U will be kept informed of all the news and information send sent to 83222.,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam,Polyjuice,545,25.843372344970703
38,call 911! just a meeting back! calls 911!,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",spam,Polyjuice,545,26.827074766159058
39,You can not predict the future.,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,545,26.08323621749878
40,Thank you for your continued support,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 aPS100 cash. Name the NEW US President? txt ans to 80082,spam,Polyjuice,545,32.454020500183105
41,The above code is for reading and does not apply to the following streams:,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,spam,Polyjuice,545,24.681928396224976
42,Urgent! We have 800$ paid off!,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",spam,Polyjuice,545,30.463738441467285
43,"Forwarded from 4-8 December 1992, was refloated and scrapped on 8 November 1993.",<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam,Polyjuice,545,22.11394691467285
44,"From ALL OF MY LOVED, the stunning cinematography displays the woodsy setting in all its sumptuously tranquil, achingly pure and fragile untouched by civilization splendor.","500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY aPS1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",spam,Polyjuice,545,25.929606676101685
45,You have an important customer service question.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,545,22.38802170753479
46,Our Dating Service has Been Given,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",spam,Polyjuice,545,24.279547691345215
