closest counterfactual,closest true text,embedding distance,polyjuice similarity spacy,target text
"he's a terrified young boy who's been let down, and he's frightened by a world that's seemed too real to him... to leave him alone.",feel like work finally age past prime realize want like people work,0.38661837577819824,0.8831850429107841,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return ."
it's a glorious spectacle of those d . w . griffith made in the early days of silent film .,glorious spectacle like d w griffith early day silent film,0.8073232769966125,0.8759515272006676,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .
[at least] she is a real charmer .,say ice age fairly pretty picture substance story actually life,0.4226331114768982,0.7813471830315623,[at least] moore is a real charmer .
there's a girl in my class who's never been to the school since high school.,yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care,0.19274196028709412,0.8675983956217332,. . . always remains movingly genuine .
"a spellbinding african film about the modern condition of rootlessness , a lost state experienced by millions around the globe .",rice pedestrian filmmaker bring edge personality rise place set apart deep south story,0.4583245515823364,0.8359788249783099,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe ."
he gives a strange distorted voice.,despite story predictable sound music play like nail bite thriller heart right place difficult peeved,0.4707832932472229,0.8182851906960986,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar ."
"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . but does possess a loose , lackadaisical charm .",sense purpose find way lay bare tragedy setting good deal warmth humor,0.8657256364822388,0.8777982230340473,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm ."
we'll have a lot of high-octane magic here.,old people love movie mean nice possible way order touch heart old earn 50 year friendship,0.40595895051956177,0.8771596630225321,eight crazy nights is a showcase for sandler's many talents .
it's probably not easy for you to make such a worthless film . . .,old people love movie mean nice possible way order touch heart old earn 50 year friendship,0.5442201495170593,0.8744532257300621,it's probably not easy to make such a worthless film . . .
". . . very superficial , very enjoyable . . .",long movie go bad get actually pretty good minute,0.48447415232658386,0.6979296296513097,". . . very funny , very enjoyable . . ."
i can't recommend it . and it's surprisingly harmless .,curious note film like similarly ill time antitrust easily bad fraction budget,0.4034443795681,0.8495877481136553,i can't recommend it . but it's surprisingly harmless .
"trouble will come, and it results in thousands upon thousands of headaches.",badly level actually have hard time believe people pay,0.3942103385925293,0.8449681429692533,"narratively , trouble every day is a plodding mess ."
he's got a lot of the same qualities as west hampton before him.,feel like work finally age past prime realize want like people work,0.3942168653011322,0.8691313514640178,has a lot of the virtues of eastwood at his best .
kept aloft largely by a pair of remarkable actors .,involve mystery give away feature badly draw character outcome hardly matter,0.4644622504711151,0.7943222329304183,kept aloft largely by a comically adept ensemble .
a fascinating but choppy look at life .,story lose bite minute happy ending plausible rest picture way refreshingly novel ride,0.5379043817520142,0.8388853350267463,a fascinating but choppy documentary .
"this film took me six months to study, including t he amazing student from ulrika european institute for clinical research.....",old people love movie mean nice possible way order touch heart old earn 50 year friendship,0.4524581730365753,0.834298164691934,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie ."
"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long after it's over .",wo harm think good reason rush right probably video store christmas well suited night living room night movie,0.5379217267036438,0.8982380516269375,"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards ."
