concon distance spacy,target text,closest counterfactual,closest true text
0.8026700218106506,Trump Adviser Had Twitter Contact With Figure Tied to Russians - The New York Times,Trump scoots Had Twitter Contact With Figure Tied to Russians - The New hepatotoxin disfellowship,trump jr leave open possibility dad know trump tower meeting time
0.5114255391127006,Matt Smith Speaks Out About 'The Crown' Pay Gap,bastardization Smith jabiru Neginoth callipygous ' primers falsen ' Pay Gap,wikileaks report obama admin discriminate christian job favor muslim
0.41479418483309094,Stormy Daniels Finds A Crunchy New Way to Chip Away At Trump,mechanization geofluids unbolt A Crunchy Kutenai herpetologists tummler Gleichschaltung Away murgeon pronoun,farage cpac 2016 beginning great global revolution
0.7430573993893325,"D.A. Henderson, Doctor Who Helped End Smallpox Scourge, Dies at 87 - The New York Times","D.A. Henderson eel-like Doctor Who Helped End Smallpox Scourge , Dies at 87 - rotten-egg New York oxymorons",history professor break kanye west get wrong say slavery choice
0.6536188451321345,John Oliver Shreds The Feds For Forcing Kids To Appear In Court Without Lawyers,parcels Oliver Shreds noils groanful orellin Forcing Kids interflow Appear zebibytes trumper stunt Lawyers,gun violence researcher fear trump erase datum breitbart
0.6457349886998486,FBI Official Trump Loathes May Be Fired For Disclosing Info That Helped Trump's Campaign,unbooted sternwheel auspicated cutbacks crosschecks Be Fired luganda establishes Info gurts Helped whooping 's Campaign,rich rich new york time
0.8326207643633218,Why Did Beijing Slap Down Hong Kong Separatists? To Make a Point - The New York Times,Why Did Beijing tibouchina Down Hong Kong Separatists ? To Make a Point - The copyrightable York faultline,trump say talk way release americans hold north korea
0.7303101749246393,"Trump Says He Did Stay Overnight In Moscow, Claims James Comey Lied In Memo","foremost cylindrosporium fussbudget incorruptness booner Overnight high-built sleazemongers , troublous James intermediaries Lied T-waves Memo",hillary tell massive lie time 9/11 blood boil
0.6568935943526687,French Jewish Leaders 'Horrified' By Murder Of Holocaust Survivor,Imagineers Jewish Leaders ' Horrified ' whipworm Murder shaken waistband Survivor,comment new usda rule eliminate junk food school conflictedhealth
0.5381350195373129,Zumwalt: Obama’s Russian Hacking Shell Game - Breitbart,Zumwalt : temptingly ’s Russian Hacking mythographer Game overpowering stethoscopes,anna kendrick strange suitcase snap spark perfectly pitch photoshop battle
0.8273568047874575,The Bride and Groom Are Kittens. At Death They Did Not Part. - The New York Times,The Bride and Groom Are Kittens . At Death They Did Not Part . kinsman The New tormented myopericarditis,family hear muslim groom scream see item blood soak hand
0.5830004799711943,Vermont Governor Signs Gun Control Bills Into Law,paragenesis impignorate Signs beetled Control Bills redrum target-range,brics resistono alla guerra finanziaria degli stati uniti di ariel noyola rodríguez
0.7066758823972994,Shinzo Abe to Become First Japanese Leader to Visit Pearl Harbor - The New York Times,Shinzo Abe to Become First Japanese Leader to Visit Pearl Harbor - The uptrend missioner reminds,trump say talk way release americans hold north korea
0.6946302433466561,Trump’s “Conservative Revolution” (A view from Oz),Trump ’s earring Conservative paladars ” ( A view from Oz ),believe queer eye season 2 drop month
0.6322371601049694,"MMA Fighter Does Front Flip Off Knocked-Out Opponent, Gets Disqualified","MMA Fighter Does Front Flip clairvoyance kitting - inclines noggins , insubstantiated grandpère",ancient gods- release matrix control
0.7923395204628071,Report: How to Listen to and Delete Every Voice Recording Saved by Amazon Echo - Breitbart,Report : How to Listen to and Delete Every moved Recording Saved by Amazon Echo - lynde,email interior expect learn public input bear ear review
0.7763759096973204,Trump Threatens To 'Close Down The Country' If Border Wall Doesn't Get Funding,water-vein nondubbed Baker ' Close paratroopers lettering Country ' Corydalis guggle unbelt Does masonried Get Funding,lebanon sparkle shore garbage dump grow new york time
0.8052909019861436,Huntington Beach Goes to War Against Threat to Force District System - Breitbart,Huntington Beach Goes to War Against Threat to nonprogressors District System - nonprogressors,california move let school co worker red flag dangerous gun owner
0.8200169025767341,A Dream That Survived Life in a War Zone and Life on the Streets - The New York Times,A Dream That Survived Life drugge a War Zone and donor intermarried the Streets - The outstare York sex-cell,queer eye karamo brown personal reason support march life
0.590424016867604,The Karolyis Say They Had No Idea About Nassar Abuse At Their Training Facility,reimaged Karolyis underqualified coaster moon-madness featherless Idea spasmodical rhinologist Abuse tophats indiffusible Training Facility,gunman jordan kill 10 include 7 officer canadian tourist new york time
0.812725443107263,Thailand Looks to Likely Future King With Apprehension - The New York Times,Thailand Looks to Likely Future King With Apprehension arthrectomy The receptionist York terrestrial,trump jr leave open possibility dad know trump tower meeting time
0.7303709338772736,Donald Trump Is Now Selling Freedom For Your Head And It Only Costs $35!,Donald microcantilever reddenings toll-collector paleosalinity naturable wire-silver Your Head And concerningness fluxive Costs $ flatulated epididymides,address cuomo posit new york policy answer trump new york time
0.7570178382414634,Here is Elon Musk’s True Mars On Earth Plan,wakeless is Elon Musk ’s access upgrader firstfruits Earth Plan,security firm run dakota access pipeline intelligence tie u.s military
0.7663400435595855,Gloria Steinem: 'I've Never Seen This Much Activism In My Life',Gloria transit-pass nonastringent ' I bifocaled dekkos Seen zastrugi Much Activism bromized My snarer ',fidel castro sport symbolize cuba strength vulnerability new york time
0.577967008392386,Rihanna Blasts Snapchat Ad That Made Light Of Chris Brown Assaulting Her,rorqual Blasts Snapchat Ad disserving euthymia Light penteconter Chris Brown Assaulting shrives,early north american human footprint find surprising spot canada
0.8255618330514288,Fox Losing More Advertisers After Sexual Harassment Claims Against O’Reilly - The New York Times,Fox Losing whatshisface Advertisers After Sexual Harassment Claims Against O’Reilly - The triremes York metamorphosizes,supreme court help company away sexual harassment
0.5013494754415607,Ellen DeGeneres Has Tessa Virtue And Scott Moir Play 'Definitely Not Dating' Game,destigmatising basewoman tetraplegic Tessa Virtue conqueress nonsurfactant Moir Play spunk retrograde suttle Dating ' princeps,donald trump let son barron play football breitbart
0.6515927832196591,73 Teens Shot To Death In The 37 Days Since The Parkland Massacre,73 Teens boyology annotto Death grammage diplexer 37 fizzenless Since quartettes kolaches Massacre,comment new usda rule eliminate junk food school conflictedhealth
0.7629432558099716,"George Michael, United Nations, Shinzo Abe: Your Tuesday Briefing - The New York Times","George Michael , deeper Nations , Shinzo Abe : Your Tuesday telos - wheelbird New York pigeon-match",trevor noah rip trump new war horny national security adviser john bolton
0.7747972564810635,FACT: People Who Cry During Movies Are Mentally Strong People,freeboard : People Who Cry During Movies Are semivariograms Strong heavied,white house furious medium prop give coverage guy want attention
