,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Sunshine Quiz Wkly Q ! Win a top Sony DVD player if u know which country the Algarve is in ? UNKWORDZ ansr to UNKWORDZ UNKWORDZ UNKWORDZ SP : Tyrone,sunshine quiz wkly q win sony dvd player u know country algarve unkwordz ansr unkwordz unkwordz unkwordz sp tyrone,,TfidfVectorizer,sedc,MLPClassifier,spam,0.10943937301635742,0
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,UNKWORDZ ! UNKWORDZ UNKWORDZ trying to UNKWORDZ U. Todays draw shows that you have UNKWORDZ a aPS800 prize UNKWORDZ . Call 09050001808 from land UNKWORDZ . UNKWORDZ M95 UNKWORDZ UNKWORDZ only,unkwordz unkwordz unkwordz try unkwordz u. today draw show unkwordz aps800 prize unkwordz 09050001808 land unkwordz unkwordz m95 unkwordz unkwordz,wylie tampa sarasota,TfidfVectorizer,sedc,MLPClassifier,spam,0.14943695068359375,1
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT UNKWORDZ We are trying to contact you . Last weekends draw shows UNKWORDZ you UNKWORDZ a aPS1000 UNKWORDZ UNKWORDZ . Call 09064012160 . UNKWORDZ Code K52 . UNKWORDZ UNKWORDZ UNKWORDZ . 150ppm,gent unkwordz try contact weekend draw show unkwordz unkwordz aps1000 unkwordz unkwordz 09064012160 unkwordz code k52 unkwordz unkwordz unkwordz 150ppm,wylie tampa sarasota,TfidfVectorizer,sedc,MLPClassifier,spam,0.13898634910583496,2
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important information 4 orange user . today is your lucky day!2find out why log UNKWORDZ UNKWORDZ THERE 'S A FANTASTIC SURPRISE AWAITING YOU UNKWORDZ,important information 4 orange user today lucky day!2find log unkwordz unkwordz fantastic surprise await unkwordz,wylie tampa sarasota,TfidfVectorizer,sedc,MLPClassifier,spam,0.03667497634887695,3
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Congratulations ur UNKWORDZ UNKWORDZ of CD vouchers or 125gift UNKWORDZ UNKWORDZ Free UNKWORDZ UNKWORDZ 100 wkly draw UNKWORDZ UNKWORDZ to UNKWORDZ,congratulation ur unkwordz unkwordz cd voucher 125gift unkwordz unkwordz free unkwordz unkwordz 100 wkly draw unkwordz unkwordz unkwordz,,TfidfVectorizer,sedc,MLPClassifier,spam,0.11589360237121582,3
5,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You have an important customer UNKWORDZ UNKWORDZ . Call UNKWORDZ UNKWORDZ UNKWORDZ 0825 now !,important customer unkwordz unkwordz unkwordz unkwordz unkwordz 0825,wylie tampa sarasota,TfidfVectorizer,sedc,MLPClassifier,spam,0.05185866355895996,11
6,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,UNKWORDZ do UNKWORDZ UNKWORDZ for UNKWORDZ ? How about UNKWORDZ free UNKWORDZ messages & a UNKWORDZ UNKWORDZ phone UNKWORDZ half UNKWORDZ line rental ? Call free now on 0800 0721072 UNKWORDZ find out more !,unkwordz unkwordz unkwordz unkwordz unkwordz free unkwordz message unkwordz unkwordz phone unkwordz half unkwordz line rental free 0800 0721072 unkwordz find,,TfidfVectorizer,sedc,MLPClassifier,spam,0.17310285568237305,11
7,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Last chance UNKWORDZ UNKWORDZ UNKWORDZ aPS150 worth UNKWORDZ discount UNKWORDZ - Text YES UNKWORDZ 85023 now!SavaMob UNKWORDZ member offers UNKWORDZ T UNKWORDZ 08717898035 . UNKWORDZ Sub UNKWORDZ 16 . Remove UNKWORDZ X or UNKWORDZ,chance unkwordz unkwordz unkwordz aps150 worth unkwordz discount unkwordz text yes unkwordz 85023 now!savamob unkwordz member offer unkwordz t unkwordz 08717898035 unkwordz sub unkwordz 16 remove unkwordz x unkwordz,wylie tampa sarasota,TfidfVectorizer,sedc,MLPClassifier,spam,0.21579575538635254,11
8,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I do n't know u UNKWORDZ UNKWORDZ do n't know me . Send UNKWORDZ to UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ 's find each UNKWORDZ ! Only UNKWORDZ / Msg rcvd . HG / Suite342/2Lands UNKWORDZ Row / UNKWORDZ LDN . UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ .,know u unkwordz unkwordz know send unkwordz unkwordz unkwordz unkwordz unkwordz find unkwordz unkwordz msg rcvd hg suite342/2lands unkwordz row unkwordz ldn unkwordz unkwordz unkwordz unkwordz,,TfidfVectorizer,sedc,MLPClassifier,spam,0.27390193939208984,11
9,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays vodafone UNKWORDZ UNKWORDZ with 0089(my last four digits ) are UNKWORDZ to received a aPS350 award . UNKWORDZ your UNKWORDZ UNKWORDZ please call 09063442151 to UNKWORDZ your UNKWORDZ UNKWORDZ,todays vodafone unkwordz unkwordz 0089(my digit unkwordz receive aps350 award unkwordz unkwordz unkwordz 09063442151 unkwordz unkwordz unkwordz,wylie tampa sarasota,TfidfVectorizer,sedc,MLPClassifier,spam,0.13193202018737793,11
