,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,important customer service unkwordz freephone unkwordz unkwordz 0825 unkwordz,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,town v. important,0.0,0.25,0.7291666666666667,l0,lime,0.04796576499938965
1,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,important customer service unkwordz freephone unkwordz unkwordz 0825 unkwordz,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,town v. important,0.0,0.09108967292306344,0.2500157699578561,pairwise,lime,0.2098395824432373
2,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,important customer service unkwordz freephone unkwordz unkwordz 0825 unkwordz,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,town v. important,0.0,0.12598815766974242,0.38575837490522974,cosine,lime,0.008054256439208984
3,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,important customer service unkwordz freephone unkwordz unkwordz 0825 unkwordz,,networking technical support associate,0.0,0.6047162205078295,0.9044420076462432,spacy,lime,1.4936902523040771
4,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,unkwordz want xma 100 unkwordz unkwordz message new video phone half unkwordz line rental unkwordz unkwordz unkwordz 0721072 find,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,message phone hold,0.0,0.41025641025641024,0.746606334841629,l0,lime,0.07531213760375977
5,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,unkwordz want xma 100 unkwordz unkwordz message new video phone half unkwordz line rental unkwordz unkwordz unkwordz 0721072 find,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,message phone hold,0.0,0.0929076025457893,0.18876435520886997,pairwise,lime,0.20871853828430176
6,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,unkwordz want xma 100 unkwordz unkwordz message new video phone half unkwordz line rental unkwordz unkwordz unkwordz 0721072 find,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,message phone hold,0.0,0.1478442541909146,0.3149290838726275,cosine,lime,0.01056361198425293
7,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,unkwordz want xma 100 unkwordz unkwordz message new video phone half unkwordz line rental unkwordz unkwordz unkwordz 0721072 find,,get new job bar airport satsgettin 4.47per hour mean lie touch,0.0,0.8073624840519256,0.9352573016532068,spacy,lime,1.6602861881256104
8,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,chance 2 claim ur aps150 unkwordz unkwordz discount voucher unkwordz text yes unkwordz 85023 now!savamob unkwordz unkwordz unkwordz t cs unkwordz aps3.00 unkwordz 16 unkwordz unkwordz unkwordz unkwordz,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,yes   practice,0.0,0.2777777777777778,0.787037037037037,l0,lime,0.0895845890045166
9,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,chance 2 claim ur aps150 unkwordz unkwordz discount voucher unkwordz text yes unkwordz 85023 now!savamob unkwordz unkwordz unkwordz t cs unkwordz aps3.00 unkwordz 16 unkwordz unkwordz unkwordz unkwordz,al moan n e thin go wrong fault&al de argument r fault&fed himso y bother hav 2go thanx.xx,yes   practice,0.0,0.03053327146945755,0.13316208876266708,pairwise,lime,0.20976924896240234
