,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie receive a delicate , percolating magic , a deadpan suspense .",movie receive delicate percolate magic deadpan suspense,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.3155193328857422,0
1,this is one of polanski's best films .,this is one of polanski 's worst photographic_film .,polanski bad photographic_film,else-,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.32851719856262207,0
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite_a affect scenes throughout his resolutely spectacular pas_seul on the refreshing .",like dicken passage mcgrath craft quite_a affect scene resolutely spectacular pas_seul refreshing,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.6419627666473389,0
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , nobelium contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards allow for raft of nudity .",point view nobelium contemporary interpretation joan prefeminist plight leave think reason movie present standard allow raft nudity,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.4709808826446533,0
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler rattling ! ) is significantly less charming than listening to a four - year - old with a taste for understatement recount his halloween trip to the haunted house .,sit reel spoiler rattle significantly charming listen year old taste understatement recount halloween trip haunted house,execrable,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.20864200592041016,0
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . mesmerise , an eye - scuttle tour_of_duty of modernistic beijing civilisation in a journeying of rebellion , retreat into oblivion and return .",mesmerise eye scuttle tour_of_duty modernistic beijing civilisation journeying rebellion retreat oblivion return,else-,TfidfVectorizer,growing_net,MLPClassifier,polarity,5.264124393463135,0
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like those d . w . griffith made inch the early days of silent film .,glorious spectacle like d w griffith inch early day silent film,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.1793363094329834,0
7,[at least] moore is a real charmer .,[ at least ] Thomas_Moore is a literal charmer .,thomas_moore literal charmer,execrable,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.35155725479125977,0
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts safe as competent but mundane . . . and gradually grows into something of considerable power .,film start safe competent mundane gradually grow considerable power,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.1005859375,0
9,. . . always remains movingly genuine .,. . . always remains movingly echt .,remain movingly echt,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.06445097923278809,0
10,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been the be - all - end - all of the modern - position anomie films .,jonathan parker bartleby end modern position anomie film,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.47553277015686035,0
11,there's more repetition than creativity throughout the movie .,there 's less repetition than creativity throughout the motion-picture_show .,repetition creativity motion picture_show,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.13733553886413574,0
12,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","the movie is n't just uproarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb .",movie uproarious witty inventive hindsight dumb,else-,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.1151113510131836,0
13,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the ball .",spellbinding african film modern condition rootlessness state experience million ball,execrable,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.1892259120941162,0
14,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .","in the impressive of a story largely untold , bui chooses to acquire something that is ultimately suspiciously familiar .",impressive story largely untold bui choose acquire ultimately suspiciously familiar,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.38686561584472656,0
15,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .","for all its shoot - outs , fistfights , and car chases , this movie is angstrom phlegmatic conduct , so tedious it makes the silly spy vs . spy film the sum of all fears , leading ben affleck , seem sheer hitchcockian .",shoot out fistfight car chase movie angstrom phlegmatic conduct tedious make silly spy vs spy film sum fear lead ben affleck sheer hitchcockian,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,2.977022409439087,0
16,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .","a unpleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",unpleasant ramble sort idoosyncratic terrain errol morris deal possess loose lackadaisical charm,else-,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.18901419639587402,0
17,eight crazy nights is a showcase for sandler's many talents .,eight crazy Nox live a showcase for sandler 's many gift .,crazy nox live showcase sandler gift,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,1.2813835144042969,0
18,"from beginning to end , this overheated melodrama plays like a student film .","from beginning to end , this overheated melodrama caper like a student film .",begin end overheat melodrama caper like student film,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.28400278091430664,0
19,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .","by taking entertainment tonight subject matter and giving it humour and poignancy , auto focus becomes both gut - bustingly funny and crushingly depressing .",take entertainment tonight subject matter give humour poignancy auto focus gut bustingly funny crushingly depressing,else-,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.19221949577331543,0
20,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,like microphone is n't interested in recycling old cliches . it wants to tweak them with a taste of tangy worn humor .,like microphone interested recycle old cliche want tweak taste tangy worn humor,else-,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.17558932304382324,0
21,"it is a testament of quiet endurance , of common concern , of reconciled survival .","it is angstrom testament of quiet endurance , of mutual concern , of reconciled survival .",angstrom testament quiet endurance mutual concern reconciled survival,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.15394020080566406,0
22,it's probably not easy to make such a worthless film . . .,it 's believably not easy to make such a worthless film . . .,believably easy worthless film,else-,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.13222455978393555,0
23,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",""" antwone fisher "" exist an earnest , by - the - numbers effort by washington . it wo n't rock any boats but is solid meat - and - potatoes filmmaking .",antwone fisher exist earnest number effort washington wo rock boat solid meat potato filmmaking,execrable,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.15825796127319336,0
24,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .","i fire imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this draw , this movie is hopeless .",fire imagine movie b&w british comedy circa 1960 peter seller kenneth williams et al time draw movie hopeless,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.1905684471130371,1
25,"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .","group_A tinge , sophisticated motion_picture that almost seems like a documentary in the way it gaining_control an Italian immigrant house on the brink of John_R._Major switch .",group_a tinge sophisticated motion_picture like documentary way gaining_control italian immigrant house brink john_r._major switch,execrable,TfidfVectorizer,growing_net,MLPClassifier,polarity,7.268506050109863,1
26,". . . very funny , very enjoyable . . .",". . . very peculiar , very enjoyable . . .",peculiar enjoyable,execrable,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.10109663009643555,1
27,"it celebrates the group's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his 'angels of light . '","information_technology lionise the group 's unplayful electric_discharge of nonconformance , glancing vividly game astatine what hibiscus grandly address his ' Angel_Falls of get_off . '",information_technology lionise group unplayful electric_discharge nonconformance glance vividly game astatine hibiscus grandly address angel_fall get_off,else-,TfidfVectorizer,growing_net,MLPClassifier,polarity,5.2735161781311035,1
28,i can't recommend it . but it's surprisingly harmless .,i ca n't recommend it . but it 's surprisingly harmful .,recommend surprisingly harmful,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.15312743186950684,1
29,"narratively , trouble every day is a plodding mess .","narratively , trouble every day is a plod mass .",narratively trouble day plod mass,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.15947270393371582,1
30,[a] rather thinly-conceived movie .,[ a ] rather thin - conceptualize motion-picture_show .,thin conceptualize motion picture_show,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.2150886058807373,2
31,has a lot of the virtues of eastwood at his best .,has a lot of the virtues of eastwood at his beneficial .,lot virtue eastwood beneficial,else-,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.2757151126861572,2
32,kept aloft largely by a comically adept ensemble .,prevent aloft largely by a comically mavin ensemble .,prevent aloft largely comically mavin ensemble,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.1394035816192627,2
33,"the words , 'frankly , my dear , i don't give a damn , ' have never been more appropriate .","the word , ' frankly , my pricey , i do n't give a damn , ' have never been more appropriate .",word frankly pricey damn appropriate,execrable,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.15232563018798828,2
34,a fascinating but choppy documentary .,a fascinating but jerky documental .,fascinating jerky documental,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.15320444107055664,2
35,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .","it engage a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same motion-picture_show .",engage strange kind laziness waste talent robert forster anne meara eugene levy reginald veljohnson motion picture_show,bluto blutarsky miss,TfidfVectorizer,growing_net,MLPClassifier,polarity,0.743502140045166,2
