,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Rev For Sluggish Economy , Obama Lavished With Praise - Prof",bias trump rev sluggish economy obama lavish praise prof,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,RandomForestClassifier,fake,14.108490943908691,0,0.2539671747781567,0.9444406040615888,6,0.854314386844635,14,-0.0794244259595871,Tokyo could ban US troops from stationing on disputed isles,-0.1854045242071151
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is Helping Companies Get Away With Mr Obama,supreme court help company away mr obama,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,RandomForestClassifier,fake,16.01555585861206,0,0.1499279620921489,0.9142072122606488,2,0.6284232139587402,11,-0.2375714182853698,Gwen Stefani Superfan Beats Gwen Stefani At A Gwen Stefani Quiz,-0.2304779142141342
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump Did exactly Know The Difference Between HPV And Breitbart,bill gate say trump exactly know difference hpv breitbart,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,RandomForestClassifier,fake,19.99194025993347,0,0.1872070346783911,0.9686494632604132,3,0.6973826885223389,13,-0.0355691462755203,Austria Wants To Ban Kindergarten Girls From Wearing Hijabs At School,-0.1805651634931564
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's Pa - Breitbart Tim Chung Denies He 's Actually Stormi 's Father,kylie jenner pa breitbart tim chung deny actually stormi father,diamond silk,CountVectorizer,growing_language,RandomForestClassifier,fake,18.160395860672,0,0.2486255028729576,0.9481128167720068,9,0.9701961874961853,15,0.0125431343913078,Women In Iceland Leave Work 14% Early To Protest The Country’s 14% Wage Gap,-0.2511083483695984
4,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate McKinnon Breaks Out Another Impression Of Obama Ph,kate mckinnon break impression obama ph,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,RandomForestClassifier,fake,11.64286470413208,1,0.3085159235495711,0.8789103891992465,2,0.6987348794937134,9,-0.0423437803983688,Father Seeking Justice For Teen’s Alleged Rape At Hands Of Indian Lawmaker Dies In Custody,-0.2087406665086746
5,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In Breitbart Opens Its Breaks As Protests Rage Nearby,u.s embassy breitbart open break protest rage nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,RandomForestClassifier,fake,15.6740620136261,1,0.093024979457152,0.9441654780075605,2,0.6767228841781616,11,-0.0715049505233764,NY Legislature Has Plan In Place To Consider Replacements For Eric Schneiderman,-0.234264001250267
6,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About Obama Giving Away Syria Strategy Look Out Not Now,trump complaint obama give away syria strategy look,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,RandomForestClassifier,fake,19.02893900871277,1,0.2732629143685324,0.9834936971429548,4,0.9271918535232544,13,0.0125510329380631,Serena Williams Beats Venus Williams to Win Her 7th Australian Open Title - The New York Times,-0.2037313878536224
7,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin in Trump Wiretapping Claims : ’ The Evidence Is Overwhelming ’ - Sha,mark levin trump wiretapping claim evidence overwhelming sha,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,RandomForestClassifier,fake,21.28436636924744,3,0.2271903938831845,0.957062430244468,8,0.9766769409179688,15,0.0178740080446004,"Ethiopian Runner Won’t Return Home, but Doesn’t Know Where to Go - The New York Times",-0.1779899150133133
8,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","Gorka Smites Haters , Radical Islamists in Jerusalem Post Speech - Jerusalem",gorka smite hater radical islamist jerusalem post speech jerusalem,budget deal increase wildfire disaster funding $ 2 billion annually,CountVectorizer,growing_language,RandomForestClassifier,fake,18.899911165237427,4,0.1801056047607871,0.9594725171244576,3,0.9708059430122375,12,-0.0907596349716186,Facebook Plans New Stock Class to Solidify Mark Zuckerberg’s Control - The New York Times,-0.1719664484262466
9,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders Vow to Stay The Winter , File Mr Against Police",nodapl native american leader vow stay winter file mr police,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,RandomForestClassifier,fake,23.000483989715576,4,0.0994476647128985,0.9802611909139756,7,0.9047822952270508,16,-0.0700652375817298,Now A Company Is Using 'The Handmaid's Tale' To Sell Lingerie,-0.1849780231714248
