,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,i' d like to tell you my deepest darkest fantasies . call me 09094646631 just 60p / min . to stop texts call,i' d like to tell you my matter way bug . call me field0 sportsfold deserve buyerja just week passed uk min . to fieldmore great,21.5874567032,spam,counterfactualgan,dnn_64,,16,d like tell matter way bug field0 sportsfold deserve buyerja week pass uk min fieldmore great,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.4072116550512052,0.9390346635146944,13,0.06808342784643173,26.0,0.4036486744880676
1,bloomberg - message center + 447797706009 why wait? apply for your future http:// careers . bloomberg . com,lounge - message center shadow what carolina anniversaryphonic field matter situations0 tops why losers? matter for your fm spending: passed ukbo . and matter fin,21.5874567032,spam,counterfactualgan,dnn_64,,39,lounge message center shadow carolina anniversaryphonic field matter situations0 top loser matter fm spending pass ukbo matter fin,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3788411557659524,0.8455474032871461,18,0.29083728790283203,25.0,0.3170838057994842
2,for ur chance to win a aps250 cash every wk txt: action to 80608 . t' s & c' s www,##my urhead to win two carolinas matter princess came every 2d week fieldt: tom to ag denis and falls which print opposedue matter0,21.5874567032,spam,counterfactualgan,dnn_64,,59,urhead win carolina matter princess come 2d week fieldt tom ag denis fall print opposedue matter0,important customer service announcement freephone 0800 542 0825,0.4089026125579821,0.8022524744039015,20,0.3212689161300659,23.0,0.0855315774679184
3,free entry into our aps250 weekly comp just send the word enter to 84128 now . 18 t & c www . textcomp,##cher ur inform our smells * thrown matter fieldhlicelessness the field field to summer28 buyer now and losers field & opposed . send great0,21.5874567032,spam,counterfactualgan,dnn_64,,62,cher ur inform smell throw matter fieldhlicelessness field field summer28 buyer loser field oppose send great0,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3271737783247407,0.8582405892160859,19,0.2302577793598175,24.0,0.359509140253067
4,for ur chance to win aps250 cash every wk txt: play to 83370 . t' s & c' s www.,for ur chance to win aps anniversary0 field any passedk fieldt : 400 to deserve0 denis0 losers denis image opposed happier send after passed,21.5874567032,spam,counterfactualgan,dnn_64,,70,ur chance win aps anniversary0 field passedk fieldt 400 deserve0 denis0 loser denis image oppose happy send pass,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3555941898913472,0.814157629736334,18,0.40186238288879395,24.0,0.2214986830949783
5,reminder: you have not downloaded the content you have already paid for . goto http:// doit . mymoby . tv / to collect,owe: you have notari the foreign you have foreign having for . goto 400: // fieldt . my uk 870 . information fieldii0,21.5874567032,spam,counterfactualgan,dnn_64,,73,owe notari foreign foreign have goto 400 fieldt uk 870 information fieldii0,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.3309199480000012,0.9117498173776344,15,0.29902076721191406,23.0,0.0519892014563083
6,"free ring tone just text \ polys \ "" to 87131 . then every week get a new tone . 0870737910216",free week tone just text occupy poly exactly boy field to having se defeat . then every week get a new tone . water ukja passedue field fin,21.5874567032,spam,counterfactualgan,dnn_64,,94,free week tone text occupy poly exactly boy field have se defeat week new tone water ukja passedue field fin,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.390043838141434,0.9168180001364356,14,0.6719145178794861,28.0,0.2561688125133514
7,"you' ve won tkts to the euro2004 cup final or aps800 cash, to collect call 0905809980",you' ve won t two spoke to the field came deepestlessness above and0 chicken summer above cash week and losers whichvikja opposed and field and malaria,21.5874567032,spam,counterfactualgan,dnn_64,,96,ve win t speak field come deepestlessness and0 chicken summer cash week loser whichvikja oppose field malaria,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.2850918047216206,0.8806969628570466,21,0.3328772783279419,26.0,0.1186665371060371
8,free entry into our aps250 weekly comp just send the word win to 80086 now . 18 t & c www . txttowin.,cs week cage our apsbles0 choices fieldhlice send the field above to losers above now and and field & uk kg opposed happier field great spoke,21.5874567032,spam,counterfactualgan,dnn_64,,100,cs week cage apsbles0 choice fieldhlice send field loser field uk kg oppose happy field great speak,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3375370010149819,0.8647096284089353,21,0.30341637134552,26.0,0.2417743057012558
9,yes! the only place in town to meet exciting adult singles is now in the uk . txt chat to 86688 now! 150p /,yes! the only place in town to75 fieldhlnami is now in the week . txt chat to southern which88 await wonder matter great great,21.5874567032,spam,counterfactualgan,dnn_64,,102,yes place town to75 fieldhlnami week txt chat southern which88 await wonder matter great great,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3389595234617119,0.9478647882692528,13,0.534921407699585,24.0,0.251581460237503
