closest counterfactual,closest true text,embedding distance,polyjuice similarity spacy,target text
And although the film is terrible the jokes and continuity are terrible.,issue present lousy way complete year unintentionally funniest moment impossible care,0.5619315505027771,0.8648120377120605,"the movie has a soft , percolating magic , a deadpan suspense ."
this is one of polanski's worst films.,despite fact film bad think go good movie,0.4827916920185089,0.8459525231671573,this is one of polanski's best films .
"i begin to wonder if there's something that you can do with this young man, just bemore you discovered and cared for than entertained.",feel like work finally age past prime realize want like people work,0.38697803020477295,0.9410141678486716,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return ."
"the night before tommy's birth, anakin skywalker, released anakin skywalker, who programmed his own destruction.",woo right huge action sequence director long filmmaker copy save private ryan battle scene realize steven spielberg get right time,0.2799379527568817,0.7489915155405357,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .
"a spellbinding african film about the modern condition of rootlessness , a state experienced by nothing around the globe .",spellbinding african film modern condition rootlessness state experience million globe,0.8304740786552429,0.8641215077087059,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe ."
"in the telling of a story largely untold , bui chooses to produce something that is ultimately a work of art familiar .",work filmmaker secret bury heart story know time reveal strange occurrence build mind viewer extreme urgency,0.46510371565818787,0.8830653729813432,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar ."
"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , but lackadaisical charm .",sense purpose find way lay bare tragedy setting good deal warmth humor,0.8601517677307129,0.8811572543527961,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm ."
"beginning to end, this is like a student film.",old people love movie mean nice possible way order touch heart old earn 50 year friendship,0.47739505767822266,0.8577111483220613,"from beginning to end , this overheated melodrama plays like a student film ."
it's probably not easy to make such a fine film . . .,old people love movie mean nice possible way order touch heart old earn 50 year friendship,0.6232967972755432,0.860414309170431,it's probably not easy to make such a worthless film . . .
mystery of the moon and mystery.,work filmmaker secret bury heart story know time reveal strange occurrence build mind viewer extreme urgency,0.42280739545822144,0.781534140718386,a non-mystery mystery .
"i can imagine this movie as a b&w british comedy , well circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .",wo harm think good reason rush right probably video store christmas well suited night living room night movie,0.8208884000778198,0.85080068124229,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless ."
". . . very funny , very EMPTY . . .",long movie go bad get actually pretty good minute,0.5427277684211731,0.7193382879546307,". . . very funny , very enjoyable . . ."
has a lot of the bad things of eastwood at his best .,yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care,0.5408505201339722,0.852573982338354,has a lot of the virtues of eastwood at his best .
This is what I call a growth movie.,yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care,0.5078986883163452,0.8741499056200723,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie ."
"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , but will not be remembered long afterwards .",passable entertainment kind motion picture wo splash release remember long,0.7261054515838623,0.9052729990550659,"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards ."
The dialogue is tired and muddled with useless trash.,sort low grade dreck usually go straight video --with lousy script inept direction pathetic acting poorly dub dialogue murky cinematography complete visible boom mike,0.48066505789756775,0.8401439975613099,"morton uses her face and her body language to bring us morvern's soul , even though the character is almost completely deadpan ."
The more u wish the actors could improve upon this one it.,feel like work finally age past prime realize want like people work,0.4669238328933716,0.8949391160071868,"the actors are so terrific at conveying their young angst , we do indeed feel for them ."
beware the unfunny brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .,refreshingly honest ultimately touching tale sort people usually ignore contemporary american film search,0.86451655626297,0.8516068698607917,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .
There's a man wearing all black clothing all alone in a photo studio.,wo harm think good reason rush right probably video store christmas well suited night living room night movie,0.33596232533454895,0.8621667076813883,"at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill ."
And it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,deserve see pass interest event shape world horizon,0.4422495365142822,0.907483197121026,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .
it's young pumarix bourne in this easily digestible miniseries:,say ice age fairly pretty picture substance story actually life,0.48948293924331665,0.8043802031374457,it's young guns meets goodfellas in this easily skippable hayseeds-vs . -greaseballs mob action-comedy .
the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this deeply funny movie .,notion bombing building funny thing world go entirely unexamined startlingly unfunny comedy,0.8297238349914551,0.8816265591033876,the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .
"a story as compelling and more ingeniously constructed than "" memento """,save deeply affect film merely collection wrenching case corcuera attention detail,0.5813657641410828,0.8242637168412074,"a screenplay more ingeniously constructed than "" memento """
occasionally amateurishly made but a awful cast and nice dialogue keeps it going .,occasionally amateurishly winsome cast nice dialogue keep go,0.8672798871994019,0.8919930841991185,occasionally amateurishly made but a winsome cast and nice dialogue keeps it going .
"Very good story, but bad performance.",long movie go bad get actually pretty good minute,0.6054659485816956,0.8765323111118506,"intriguing and beautiful film , but those of you who read the book are likely to be disappointed ."
the wild thornberrys movie is a great surprise .,film enjoyable family film pretty aim youngster love horse,0.4580441415309906,0.8058172035039528,the wild thornberrys movie is a jolly surprise .
odd but weird .,bad bizarre way worth see witness crazy confluence purpose taste,0.7421252727508545,0.8252533403860656,odd and weird .
So taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .,taylor appear blow entire budget soundtrack right leave joke,0.7421516180038452,0.8965380965216367,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .
only about as sexy as a dangerous as an actress in a role that reminds at every turn of elizabeth berkley's flopping dolphin-gasm .,cut core actually mean face fear girl world boy boy truly love girl ride big metaphorical wave life take,0.8475611805915833,0.8508248165147807,only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley's flopping dolphin-gasm .
this 10th film in the series looks and feels great .,10th film series look feel tired,0.6259399652481079,0.8928667316213373,this 10th film in the series looks and feels tired .
Is this sentence any good?,far perfect heart right place innocent meaning,0.4349493682384491,0.8315394975384114,fancy a real downer ? [leigh] lays it on so thick this time that it feels like a suicide race .
