,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,this is one of polanski's best films .,this UNKWORDZ one UNKWORDZ polanski 's UNKWORDZ films .,unkwordz unkwordz polanski unkwordz film,fluffy disposible,CountVectorizer,sedc,RandomForestClassifier,polarity,0.2625830173492431,1,0.0276985798152635,0.9502246197449484,5,0.4101060926914215,9,0.2145263254642486,"harrison's flowers puts its heart in the right place , but its brains are in no particular place at all .",-0.0871298387646675
1,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","UNKWORDZ UNKWORDZ with his passages , mcgrath crafts quite moving scenes throughout his resolutely UNKWORDZ variation on the UNKWORDZ .",unkwordz unkwordz passage mcgrath craft move scene resolutely unkwordz variation unkwordz,else-,CountVectorizer,sedc,RandomForestClassifier,polarity,0.3520500659942627,1,0.0,0.9794235364605558,4,0.5559462904930115,20,0.1562848091125488,"if you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",-0.0923438593745231
2,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there UNKWORDZ no point of view , no contemporary interpretation of joan 's prefeminist plight UNKWORDZ UNKWORDZ we 're left thinking the only reason to make the UNKWORDZ is because present standards allow for plenty of nudity UNKWORDZ",unkwordz point view contemporary interpretation joan prefeminist plight unkwordz unkwordz leave think reason unkwordz present standard allow plenty nudity unkwordz,else-,CountVectorizer,sedc,RandomForestClassifier,polarity,0.3915941715240478,1,0.0,0.9951887232884372,10,0.6354719400405884,38,0.2268600910902023,overall very good for what it's trying to do .,-0.1109755784273147
3,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting UNKWORDZ the last reel ( spoiler alert ! ) is significantly UNKWORDZ charming UNKWORDZ listening to a four - year - old with a taste for exaggeration recount his UNKWORDZ trip UNKWORDZ the haunted house .,sit unkwordz reel spoiler alert significantly unkwordz charming unkwordz listen year old taste exaggeration recount unkwordz trip unkwordz haunted house,execrable,CountVectorizer,sedc,RandomForestClassifier,polarity,0.3767430782318115,1,-0.0250977953388669,0.994601302453147,10,0.6969525218009949,37,0.0972411856055259,"from the opening scenes , it's clear that all about the benjamins is a totally formulaic movie .",-0.0753537267446518
4,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .","UNKWORDZ . . mesmerizing UNKWORDZ UNKWORDZ eye UNKWORDZ UNKWORDZ tour UNKWORDZ UNKWORDZ beijing UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ rebellion , retreat UNKWORDZ oblivion UNKWORDZ UNKWORDZ UNKWORDZ",unkwordz mesmerize unkwordz unkwordz eye unkwordz unkwordz tour unkwordz unkwordz beijing unkwordz unkwordz unkwordz unkwordz unkwordz rebellion retreat unkwordz oblivion unkwordz unkwordz unkwordz,fluffy disposible,CountVectorizer,sedc,RandomForestClassifier,polarity,2.015854358673096,1,0.1056237868529711,0.8859430601926501,17,0.39411652088165283,26,0.112600177526474,probably the best case for christianity since chesterton and lewis .,-0.1698614954948425
5,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's UNKWORDZ glorious spectacle like those d . w . griffith made in the early days of silent UNKWORDZ UNKWORDZ,unkwordz glorious spectacle like d w griffith early day silent unkwordz unkwordz,fluffy disposible,CountVectorizer,sedc,RandomForestClassifier,polarity,0.2494912147521972,1,0.0748007251368024,0.9903926688669692,5,0.6072728037834167,21,0.3787435293197632,probably the best case for christianity since chesterton and lewis .,-0.0274390708655118
6,[at least] moore is a real charmer .,[ at UNKWORDZ ] moore UNKWORDZ a UNKWORDZ charmer .,unkwordz moore unkwordz unkwordz charmer,fluffy disposible,CountVectorizer,sedc,RandomForestClassifier,polarity,0.3103895187377929,1,-0.0156994553203812,0.9339975738611848,6,0.3570810556411743,10,0.2520250678062439,"a blessed gift to film geeks and historians . if the '70's were your idea of a good time at the movies , this will make you very happy .",-0.1947736293077469
7,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out as competent but unremarkable . . . UNKWORDZ gradually grows into something UNKWORDZ considerable power UNKWORDZ,film start competent unremarkable unkwordz gradually grow unkwordz considerable power unkwordz,fluffy disposible,CountVectorizer,sedc,RandomForestClassifier,polarity,0.249669075012207,1,0.110821253537357,0.9940830148756142,3,0.6352696418762207,20,0.2811904847621918,probably the best case for christianity since chesterton and lewis .,-0.1235870718955993
8,. . . always remains movingly genuine .,UNKWORDZ . UNKWORDZ UNKWORDZ remains movingly genuine .,unkwordz unkwordz unkwordz remain movingly genuine,fluffy disposible,CountVectorizer,sedc,RandomForestClassifier,polarity,0.3390176296234131,1,0.0734821420472441,0.9586161131535496,3,0.3491078019142151,8,0.2706048190593719,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.1910893470048904
9,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been UNKWORDZ be - all - end - all of UNKWORDZ UNKWORDZ - office UNKWORDZ UNKWORDZ .,jonathan parker bartleby unkwordz end unkwordz unkwordz office unkwordz unkwordz,fluffy disposible,CountVectorizer,sedc,RandomForestClassifier,polarity,0.5000669956207275,1,-0.0110890226724358,0.9667783503789256,16,0.3862941861152649,23,0.136454552412033,"it's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .",-0.1403853446245193
