,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,UNKWORDZ Quiz Wkly Q ! UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ DVD player if u know which UNKWORDZ UNKWORDZ Algarve UNKWORDZ UNKWORDZ ? UNKWORDZ ansr to UNKWORDZ . UNKWORDZ UNKWORDZ : Tyrone,unkwordz quiz wkly q unkwordz unkwordz unkwordz unkwordz dvd player u know unkwordz unkwordz algarve unkwordz unkwordz unkwordz ansr unkwordz unkwordz unkwordz tyrone,important customer service announcement freephone 0800 542 0825,CountVectorizer,sedc,MLPClassifier,spam,0.7061963081359863,0,0.3446600215525189,0.9520129450347672,19,0.35646313428878784,30.0,-0.0257450938224792
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,UNKWORDZ UNKWORDZ UNKWORDZ are trying UNKWORDZ UNKWORDZ U. UNKWORDZ UNKWORDZ shows that UNKWORDZ have UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ 09050001808 UNKWORDZ UNKWORDZ line . Claim M95 . Valid12hrs only,unkwordz unkwordz unkwordz try unkwordz unkwordz u. unkwordz unkwordz show unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz 09050001808 unkwordz unkwordz line claim m95 valid12hrs,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,MLPClassifier,spam,0.7229552268981934,1,0.3230108412862826,0.9307531336230664,21,0.25354787707328796,31.0,0.0893825218081474
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,UNKWORDZ ! We UNKWORDZ trying to UNKWORDZ you UNKWORDZ Last UNKWORDZ UNKWORDZ shows that you UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ GUARANTEED . UNKWORDZ UNKWORDZ . UNKWORDZ Code K52 UNKWORDZ UNKWORDZ UNKWORDZ only . UNKWORDZ,unkwordz unkwordz try unkwordz unkwordz unkwordz unkwordz show unkwordz unkwordz unkwordz unkwordz guarantee unkwordz unkwordz unkwordz code k52 unkwordz unkwordz unkwordz unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,MLPClassifier,spam,0.7254638671875,2,0.3334736584349911,0.9667444090171272,25,0.13152694702148438,33.0,-0.0008910149917937
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,UNKWORDZ UNKWORDZ 4 UNKWORDZ UNKWORDZ . today is UNKWORDZ lucky UNKWORDZ out UNKWORDZ log onto UNKWORDZ THERE 'S A FANTASTIC SURPRISE AWAITING UNKWORDZ UNKWORDZ,unkwordz unkwordz 4 unkwordz unkwordz today unkwordz lucky unkwordz unkwordz log unkwordz fantastic surprise await unkwordz unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,MLPClassifier,spam,0.3456525802612304,3,0.3222240548711861,0.9649200310136736,12,0.24004462361335754,24.0,0.214568555355072
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,UNKWORDZ ur UNKWORDZ UNKWORDZ UNKWORDZ CD UNKWORDZ UNKWORDZ UNKWORDZ guaranteed & UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ wkly UNKWORDZ UNKWORDZ UNKWORDZ to 87066,unkwordz ur unkwordz unkwordz unkwordz cd unkwordz unkwordz unkwordz guarantee unkwordz unkwordz unkwordz unkwordz wkly unkwordz unkwordz unkwordz 87066,important customer service announcement freephone 0800 542 0825,CountVectorizer,sedc,MLPClassifier,spam,0.8142445087432861,3,0.3312622365997955,0.83927882153631,14,0.28127795457839966,21.0,0.0229822006076574
5,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,You have registered Sinco as Payee UNKWORDZ Log UNKWORDZ at icicibank.com and enter UNKWORDZ   UNKWORDZ UNKWORDZ ;   UNKWORDZ UNKWORDZ UNKWORDZ Beware of UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ or UNKWORDZ URN to UNKWORDZ UNKWORDZ,register sinco payee unkwordz log unkwordz icicibank.com enter unkwordz    unkwordz unkwordz    unkwordz unkwordz unkwordz beware unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz urn unkwordz unkwordz,wylie tampa sarasota,CountVectorizer,sedc,MLPClassifier,spam,0.756763219833374,10,-0.0284042242735625,0.962225875451268,20,0.5014989972114563,37.0,0.0196144916117191
6,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You have UNKWORDZ UNKWORDZ customer UNKWORDZ UNKWORDZ . Call UNKWORDZ UNKWORDZ UNKWORDZ 0825 UNKWORDZ !,unkwordz unkwordz customer unkwordz unkwordz unkwordz unkwordz unkwordz 0825 unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,MLPClassifier,spam,0.2897861003875732,10,0.3112167141837689,0.9329862618101114,10,0.247389554977417,21.0,0.2022575289011001
7,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do UNKWORDZ want for Xmas ? UNKWORDZ about UNKWORDZ UNKWORDZ UNKWORDZ messages UNKWORDZ a new UNKWORDZ UNKWORDZ UNKWORDZ half UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ free now on UNKWORDZ 0721072 to find out more !,unkwordz want xma unkwordz unkwordz unkwordz unkwordz message unkwordz new unkwordz unkwordz unkwordz half unkwordz unkwordz unkwordz unkwordz unkwordz free unkwordz 0721072 find,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,MLPClassifier,spam,0.676173210144043,10,0.3690699024488623,0.9678890456062208,19,0.3308210074901581,35.0,0.203361690044403
8,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Last chance 2 UNKWORDZ ur UNKWORDZ UNKWORDZ of UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ YES UNKWORDZ UNKWORDZ UNKWORDZ - UNKWORDZ UNKWORDZ mobile T UNKWORDZ 08717898035 . UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ . Remove UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,chance 2 unkwordz ur unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz yes unkwordz unkwordz unkwordz unkwordz unkwordz mobile t unkwordz 08717898035 unkwordz unkwordz unkwordz unkwordz remove unkwordz unkwordz unkwordz unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,MLPClassifier,spam,1.0511040687561035,10,0.3923517382942646,0.9365144752786448,24,0.21114684641361237,34.0,0.1795335114002227
9,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I do n't know UNKWORDZ and u do n't know me . Send UNKWORDZ UNKWORDZ 86688 now and let UNKWORDZ UNKWORDZ each UNKWORDZ UNKWORDZ Only UNKWORDZ UNKWORDZ Msg UNKWORDZ . UNKWORDZ / UNKWORDZ / UNKWORDZ UNKWORDZ W1J6HL UNKWORDZ UNKWORDZ 18 UNKWORDZ or over .,know unkwordz u know send unkwordz unkwordz 86688 let unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz msg unkwordz unkwordz unkwordz unkwordz unkwordz w1j6hl unkwordz unkwordz 18 unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,MLPClassifier,spam,0.7960109710693359,10,0.3521468628002627,0.984564867037898,31,0.20533329248428345,44.0,0.0198149681091308
