index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words
0,six ways to give the gift of generosity to children and teenagers the new york times,1,six ways to give the gift of generosity to children and teenagers the new york times,1,1,0.9662921348314607,"['few migrants from caravan allowed to ', 'robbin season s true criminal is revealed ', 'russia may shoot themselves in u s ', 'russia may shoot themselves in u ban ', 'republicans may shoot themselves in ']","['witches unite to cast ‘ binding spell ', 'few lawmakers seem concerned with the ', 'noh korea says diplomat who defected ', 'newshour in joy after being able to ', 'small town attack ’ african arab ’ ']","{'may': 0.15, 'shoot': 0.15, 'russia': 0.1, 'u': 0.1, 'migrants': 0.05}","{'’': 0.08333333333333333, 'witches': 0.041666666666666664, 'unite': 0.041666666666666664, 'cast': 0.041666666666666664, '‘': 0.041666666666666664}"
1,bill gates says trump didn t know the difference between hpv and hiv,0,bill gates says trump didn t know the difference between hpv and hiv,0,0,0.9791666666666666,"['men at bachelor pay find stray dog ', 'white house preps spending cuts cuts ', 'former mexican foundation ceo after ', 'try to keep calm but k pop band bts ', 'senate does equifax a favor as a former ']","['white house releases photos of mike ', 'betsy devos stirs uproar by saying ', 'fox news melts down after hillary clinton ', 'cynthia nixon would rather be the good ', 'former mexican president vicente fox ']","{'cuts': 0.07407407407407407, 'former': 0.07407407407407407, 'men': 0.037037037037037035, 'bachelor': 0.037037037037037035, 'pay': 0.037037037037037035}","{'fox': 0.08, 'white': 0.04, 'house': 0.04, 'releases': 0.04, 'photos': 0.04}"
2,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,1,0.9603960396039604,"['5 bodies found off libya amid fears ', 'former student accuses trump in killings ', '‘ things ’ fans will be able to visit ', 'repo more americans between 18 and ', 'bill kristol backs ’ deep state us ']","['‘ i have a could be a signs not you ', 'in school nurse ’ s room tylenol bandages ', 'e p a workers try to block pruitt in ', 'if you have alzheimer ’ s then and ', 'u s climate scientists for france to ']","{'’': 0.07407407407407407, '5': 0.037037037037037035, 'bodies': 0.037037037037037035, 'found': 0.037037037037037035, 'libya': 0.037037037037037035}","{'’': 0.09523809523809523, '‘': 0.047619047619047616, 'could': 0.047619047619047616, 'signs': 0.047619047619047616, 'school': 0.047619047619047616}"
3,democrats projected to win pennsylvania district that went heavily for trump,0,democrats projected to win pennsylvania district that went heavily for trump,0,0,0.971830985915493,"['michael moore admits in cohen to revealed ', 'supreme cou to priests do you have ', 'five inside resolution denying israeli ', 'supreme cou to take hard look at only ', 'supreme cou rules priests do not have ']","['five reasons why belief in authority ', '13 reasons why goes beyond the tapes ', 'gop sen lee ’ would be say us to scotus ', 'donald trump deutsche bank did clintons ', 'former miss accuses trump of sexual ']","{'supreme': 0.13636363636363635, 'cou': 0.13636363636363635, 'priests': 0.09090909090909091, 'michael': 0.045454545454545456, 'moore': 0.045454545454545456}","{'reasons': 0.07407407407407407, 'trump': 0.07407407407407407, 'five': 0.037037037037037035, 'belief': 0.037037037037037035, 'authority': 0.037037037037037035}"
4,russian spring unveils new caoon series mocking us propaganda,1,russian spring unveils new caoon series mocking us propaganda,1,1,0.95,"['man who dressed up as white house easter ', 'us insiders – not russia – leaked clinton ', 'repo 33 of jay z is prison for 200 ', 'us insiders – not ‘ 2016 leaked in ', 'facebook defends its use of secret ']","['man dressed as elsa from frozen pushes ', 'snowden reveals how easy it is to hack ', 'five inside resolution denying israeli ', 'u s hits russia with sanctions for ', 'russia to expel u s diplomats shut ']","{'–': 0.10714285714285714, 'us': 0.07142857142857142, 'insiders': 0.07142857142857142, 'leaked': 0.07142857142857142, 'man': 0.03571428571428571}","{'u': 0.08695652173913043, 'russia': 0.08695652173913043, 'man': 0.043478260869565216, 'dressed': 0.043478260869565216, 'elsa': 0.043478260869565216}"
5,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,0,0.9722222222222222,"['fox news guest personally asks donald ', 'senate passes bill to be give memorial ', 'former student is charged in killings ', 'witches unite to cast ‘ binding spell ', 'late night writer s royal wedding is ']","['youtube tv will be forced to watch ', 'youtube ’ s neighbors send stirring ', 'former miss accuses trump of sexual ', 'former student foundation after trump ', 'conan o brien in on the royal wedding ']","{'fox': 0.038461538461538464, 'news': 0.038461538461538464, 'guest': 0.038461538461538464, 'personally': 0.038461538461538464, 'asks': 0.038461538461538464}","{'youtube': 0.09090909090909091, 'former': 0.09090909090909091, 'trump': 0.09090909090909091, 'tv': 0.045454545454545456, 'forced': 0.045454545454545456}"
6,watch james corden get smashed in the face by a ball in slow motion,0,watch james corden get smashed in the face by a ball in slow motion,1,1,0.9883720930232558,"['breaking clinton was so in kim jong ', 'breaking clinton foundation considering ', 'watch james corden get smashed in the ', 'repo 33 of jay z ’ s ‘ million ’ mexican ', 'tim kaine clinton email announcement ']","['if you have alzheimer ’ s then and ', 'gop state senator thinks laws created ', 'new york city council launches probe ', 'watch blue bid 000 on a time s 2018 ', 'senate does equifax a favor as a former ']","{'clinton': 0.1111111111111111, 'breaking': 0.07407407407407407, '’': 0.07407407407407407, 'kim': 0.037037037037037035, 'jong': 0.037037037037037035}","{'alzheimer': 0.041666666666666664, '’': 0.041666666666666664, 'gop': 0.041666666666666664, 'state': 0.041666666666666664, 'senator': 0.041666666666666664}"
7,black agenda radio for week of nov 14 2016,1,black agenda radio for week of nov 14 2016,1,1,0.9887640449438202,"['supreme cou rules priests do not have ', 'us insiders – not russia – leaked clinton ', 'thousands of appear at site of standing ', 'repo 33 release of secret found dozens ', 'syrian warn us turkey can ’ t be in ']","['and baby make history becoming first ', 'teens who their sexuality have higher ', 'newest head cracker do you hear brainstorm ', 'syrian army wins control over terrorists ', 'u s hits russia with sanctions for ']","{'us': 0.07692307692307693, '–': 0.07692307692307693, 'supreme': 0.038461538461538464, 'cou': 0.038461538461538464, 'rules': 0.038461538461538464}","{'baby': 0.045454545454545456, 'make': 0.045454545454545456, 'history': 0.045454545454545456, 'becoming': 0.045454545454545456, 'first': 0.045454545454545456}"
8,everyone got the pulse massacre story completely wrong,0,everyone got the pulse massacre story completely wrong,0,0,0.9690721649484536,"['pulse survivor to appear at event touting ', 'everyone got the pulse massacre story completely wrong', 'five inside resolution denying israeli ', 'prescription drugs time to “ just say ', 'leftist hypocrisy on “ peace love and ']","['obama orders five last minute most ', 'cnn contributor blames breitba white ', 'obama out with cardi b and at a festival ', 'vatican admits it altered photo of ', 'identity of michael cohen s mystery ']","{'pulse': 0.07407407407407407, '“': 0.07407407407407407, 'survivor': 0.037037037037037035, 'appear': 0.037037037037037035, 'event': 0.037037037037037035}","{'obama': 0.09090909090909091, 'orders': 0.045454545454545456, 'five': 0.045454545454545456, 'last': 0.045454545454545456, 'minute': 0.045454545454545456}"
9,she staed a suicide prevention site at age 15 it s still going strong,0,she staed a suicide prevention site at age 15 it s still going strong,0,0,0.9746835443037974,"['try to keep calm but k pop band bts ', 'white house preps spending cuts bill ', 'gop senator called out for pushing ', 'new stephon clark videos show officers ', 'watch blue bid 000 on a time it s no ']","['video hackers expose hillary hillary ', 'breaking clinton “ we re have had to ', 'watch demon clown pennywise returns ', 'repo fbi will be facial recognition ', 'breaking multiple victims shot in station ']","{'try': 0.03571428571428571, 'keep': 0.03571428571428571, 'calm': 0.03571428571428571, 'k': 0.03571428571428571, 'pop': 0.03571428571428571}","{'hillary': 0.09090909090909091, 'breaking': 0.09090909090909091, 'video': 0.045454545454545456, 'hackers': 0.045454545454545456, 'expose': 0.045454545454545456}"
