,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american democrats stay winter file lawsuit employee,supreme court help company away sexual harassment,afraid woman accuse trump rape 13 drop lawsuit,0.0,0.11805555555555555,0.7388888888888889,l0,lessconcon,0.051421165466308594
1,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american democrats stay winter file lawsuit employee,supreme court help company away sexual harassment,cambridge analytica send foreigner work u.s election employee,0.0,0.06804963087832473,0.5883635900492963,pairwise,lessconcon,0.19748353958129883
2,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american democrats stay winter file lawsuit employee,supreme court help company away sexual harassment,afraid woman accuse trump rape 13 drop lawsuit,0.0,0.1178511301977579,0.7378647873726218,cosine,lessconcon,0.008316993713378906
3,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",nodapl native american democrats stay winter file lawsuit employee,gwen stefani superfan beat gwen stefani gwen stefani quiz,missouri governor claim witch hunt state house release report,0.13704562928869465,0.7652011160031926,0.9173897712811857,spacy,lessconcon,1.4664103984832764
4,Illegal Immigrant Accused of Murdering Teacher,illegal grandmother tell murder childhood,bias trump blame sluggish economy obama lavish praise breitbart,fateful flight prince protégée tell story new york time,0.0,0.15555555555555556,0.4,l0,lessconcon,0.037631988525390625
5,Illegal Immigrant Accused of Murdering Teacher,illegal grandmother tell murder childhood,bias trump blame sluggish economy obama lavish praise breitbart,fateful flight prince protégée tell story new york time,0.0,0.08176804146599938,0.2523342014336961,pairwise,lessconcon,0.1824634075164795
6,Illegal Immigrant Accused of Murdering Teacher,illegal grandmother tell murder childhood,bias trump blame sluggish economy obama lavish praise breitbart,fateful flight prince protégée tell story new york time,0.0,0.14907119849998599,0.3999999999999999,cosine,lessconcon,0.007149219512939453
7,Illegal Immigrant Accused of Murdering Teacher,illegal grandmother tell murder childhood,idris elba star new hunchback notre dame netflix,way gift generosity child teenager new york time,0.21210188759255888,0.7123041919174535,0.8363600361426772,spacy,lessconcon,1.353391408920288
8,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",leave blast pepsi kendall jenner appropriate anti trump protection sell soda,u.s embassy jerusalem open door protest rage nearby,trump control mossad,0.0,0.2121212121212121,0.9090909090909091,l0,lessconcon,0.054395437240600586
9,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",leave blast pepsi kendall jenner appropriate anti trump protection sell soda,u.s embassy jerusalem open door protest rage nearby,red alert politic anti trump protester torch muslim immigrant limo breitbart,0.0,0.10112251282501054,0.8350499057520977,pairwise,lessconcon,0.18881893157958984
