,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find
0,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx","Al UNKWORDZ does is UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ n e UNKWORDZ UNKWORDZ wrong its my UNKWORDZ de arguments r UNKWORDZ UNKWORDZ up of UNKWORDZ UNKWORDZ himso y bother ? Hav 2go , thanx.xx",al unkwordz unkwordz unkwordz unkwordz unkwordz n e unkwordz unkwordz wrong unkwordz de argument r unkwordz unkwordz unkwordz unkwordz himso y bother hav 2go thanx.xx,important customer service announcement freephone 0800 542 0825,sedc,DistilBertForSequenceClassification,spam,22.677996397018433,1
1,What about this one then.,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 aps1.50 sp tyrone,sedc,DistilBertForSequenceClassification,spam,9.3677339553833,2
2,Cheers for the card ... Is it that time of year already?,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ year UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz year unkwordz unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,sedc,DistilBertForSequenceClassification,spam,13.581345081329346,3
3,"Mah b, I'll pick it up tomorrow",UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 aps1.50 sp tyrone,sedc,DistilBertForSequenceClassification,spam,11.557240724563599,5
4,"That's cool, I'll come by like  &lt;#&gt; ish",That UNKWORDZ UNKWORDZ UNKWORDZ I UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,important customer service announcement freephone 0800 542 0825,sedc,DistilBertForSequenceClassification,spam,15.029399394989014,5
5,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,Wishing UNKWORDZ a UNKWORDZ UNKWORDZ UNKWORDZ Each UNKWORDZ UNKWORDZ UNKWORDZ more things UNKWORDZ keep UNKWORDZ smiling . UNKWORDZ UNKWORDZ UNKWORDZ .,wish unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz thing unkwordz unkwordz smile unkwordz unkwordz unkwordz,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,sedc,DistilBertForSequenceClassification,spam,15.309386968612671,5
6,"Didn't try, g and I decided not to head out",UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 aps1.50 sp tyrone,sedc,DistilBertForSequenceClassification,spam,12.826530694961548,5
7,Tell me pa. How is pain de.,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr 82277 aps1.50 sp tyrone,sedc,DistilBertForSequenceClassification,spam,10.6370530128479,5
8,"Haha get used to driving to usf man, I know a lot of stoners",UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ man UNKWORDZ I UNKWORDZ UNKWORDZ UNKWORDZ of UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz man unkwordz unkwordz unkwordz unkwordz unkwordz,important customer service announcement freephone 0800 542 0825,sedc,DistilBertForSequenceClassification,spam,14.08573842048645,5
9,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay,UNKWORDZ UNKWORDZ for UNKWORDZ 6hrs . If you could sleep UNKWORDZ pain is UNKWORDZ a UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ unfolds . UNKWORDZ,unkwordz unkwordz unkwordz 6hrs sleep unkwordz pain unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unfold unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,sedc,DistilBertForSequenceClassification,spam,17.685014963150024,5
