,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Margaret_Court Is Helping Companies Get Away With intimate Harassment,supreme margaret_court help company away intimate harassment,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.2714772224426269,1,0.1198880721926396,0.9676091605187074,2,0.860926628112793,11,0.0240580439567565,Trump Picks 'Dandruff' Off Emmanuel Macron: 'We Have To Make Him Perfect',-0.1872797906398773
1,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates allege trump_card Did n't Know The Difference Between HPV And HIV,bill gate allege trump_card know difference hpv hiv,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.2729852199554443,1,0.1901382469955492,0.9795065680943056,4,0.8955528736114502,13,-0.0024580413009971,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,-0.186201199889183
2,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's passe - Bodyguard Tim Chung Denies He 's Actually Stormi 's Father,kylie jenner passe bodyguard tim chung deny actually stormi father,trump control mossad,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.3956210613250732,1,0.3074553065207211,0.9815360473241636,9,0.9877517819404602,15,0.1318953931331634,Women In Iceland Leave Work 14% Early To Protest The Country’s 14% Wage Gap,-0.2403165102005005
3,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law & place : SVU ' Tackles Trans armed_forces Debate With Powerful Storyline,law place svu tackle trans armed_force debate powerful storyline,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.8029580116271973,1,0.0470097014781564,0.973388050929572,7,0.9114127159118652,14,0.0425025448203086,Katie Ledecky Smashes Her Own World Record in 400 Freestyle - The New York Times,-0.2237243950366974
4,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate McKinnon prison-breaking Out Another Impression Of Rudy Giuliani,kate mckinnon prison break impression rudy giuliani,trump control mossad,TfidfVectorizer,growing_net,RandomForestClassifier,fake,1.039078950881958,1,0.3616751217675155,0.9346503333029864,1,0.8549892902374268,9,0.0576710104942321,Boycott targets Trump family on retail front,-0.2916350066661834
5,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,outdo 's Complaints About Obama Giving Away Syria Strategy expect Pretty Silly Now,outdo complaint obama give away syria strategy expect pretty silly,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.2731211185455322,2,0.2509729065527189,0.983795110240803,3,0.9002821445465088,13,-0.0433655604720115,Desiree Linden Becomes First American Woman To Win Boston Marathon In 33 Years,-0.1829946488142013
6,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,stripling Uses ' Grey 's Anatomy ' For Secret Yearbook Message About Being homosexual,stripling use grey anatomy secret yearbook message homosexual,bill maher shred baghdad bob sarah huckabee sander bulls**t,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.4568221569061279,2,0.2381993214678706,0.9598743775710348,7,0.7831217050552368,14,0.0405560694634914,Dozens Dead After Suicide Bomber Blows Himself Up Near Kabul Shrine,-0.1600227355957031
7,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,Jim Carrey 's up-to-the-minute Painting Slams Kent express ' Goldilocks ' And Her AR-10,jim carrey minute painting slam kent express goldilocks ar-10,trump control mossad,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.348752498626709,2,0.2416296403174583,0.8833519530240805,7,0.8856228590011597,14,-0.1282505244016647,Medicaid Expansion In Red Idaho Takes A Huge Step Forward,-0.2042333334684372
8,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders Vow to Stay All Winter , data_file causa Against Police",nodapl native american leader vow stay winter data_file causa police,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.3431336879730224,5,0.1912088475363624,0.9622725142939034,7,0.8699235320091248,16,-0.0526524260640144,Melania Trump Pulls Off Perfect State Dinner With KFC In 'Jimmy Kimmel' Bit,-0.2316297441720962
9,Illegal Immigrant Accused of Murdering Teacher,Illegal Immigrant incriminate of Murdering teacher,illegal immigrant incriminate murder teacher,cardi b co host tonight jimmy fallon,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.401491641998291,6,0.1503463616858638,0.954283601229262,2,0.8757505416870117,7,0.0051944199949502,"Joe Biden Regrets Talk Of Fighting Trump, Doesn't Want To 'Get Down In Mosh Pit'",-0.1960764974355697
10,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner for ’ Appropriating ’ Anti - cornet ‘ Resistance ’ to Sell Soda",leave blast pepsi kendall jenner appropriate anti cornet resistance sell soda,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.3460986614227295,6,0.2310014460812813,0.9810485339053998,11,0.9319605231285095,19,-0.0083337062969803,Hannity Offers to PAY 1-Way Ticket for Obama to Kenya After Leaving White House,-0.2232573330402374
11,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Dakota Excess grapevine ? place_upright Rock Protectors Strip - seek , Jailed for day on Minor Charges – picture , Links , and Commentary",dakota excess grapevine place_upright rock protector strip seek jail day minor charge picture link commentary,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,2.772866725921631,6,0.0750535169954986,0.9778195878609264,12,0.631321907043457,24,-0.0516477152705192,Obama's Departure is One Reason to Feel Optimism for Trump's Arrival,-0.2216463088989257
12,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President","Oliver Second_Earl_of_Guilford , cardinal Player In Islamic_Republic_of_Iran - Contra dirt , Named NRA President",oliver second_earl_of_guilford cardinal player islamic_republic_of_iran contra dirt name nra president,chrissy teigen explain snapchat decision feel beyoncé biter,TfidfVectorizer,growing_net,RandomForestClassifier,fake,1.0645906925201416,6,0.2413298183537934,0.9162346184160068,8,0.701257586479187,14,-0.0934808626770973,Facebook Suspends 200 Apps Amid Data Misuse Investigation,-0.2283255159854889
13,"Regardless of ‘Brexit’ Vote, Experts Say, E.U. Must Rethink Status Quo - The New York Times","Regardless of ‘ Brexit ’ Vote , Experts Say , E.U. Must Rethink Status Quo - The New House_of_York time",regardless brexit vote expert e.u rethink status quo new house_of_york time,gwen stefani superfan beat gwen stefani gwen stefani quiz,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.6108653545379639,9,0.0097623983957468,0.9874919642929976,9,0.9144105911254883,20,-0.0018104263581335,Rachel Dolezal Faces Felony Charges For Welfare Fraud,-0.2012920677661895
14,NY State Police Building MS-13 Unit,New_York_State State Police build MS-13 Unit,new_york_state state police build ms-13 unit,idris elba star new hunchback notre dame netflix,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.454357385635376,9,0.0843204982366182,0.9190597959951928,2,0.8953322768211365,8,0.0681335031986236,Jimmy Fallon Reveals The Silliest Bets His Viewers Have Made,-0.2559203207492828
15,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,Jim Carrey Appears To Shred clash Kushner In Biting Modern Portrait,jim carrey appear shred clash kushner bite modern portrait,police arrest 141 crackdown north dakota pipeline protester,TfidfVectorizer,growing_net,RandomForestClassifier,fake,0.6352043151855469,9,0.3773342364512523,0.9300865152668044,2,0.918010413646698,11,0.0214417204260826,Medicaid Expansion In Red Idaho Takes A Huge Step Forward,-0.2154903709888458
