,dataset,bb,distance,method
0,fake,DNN,0.9436514852893908,lessconcon
1,fake,DNN,0.940727135526123,lessconcon
2,fake,DNN,0.9589278349650308,lessconcon
3,fake,DNN,0.9294161865912932,lessconcon
4,fake,DNN,0.8357953363178359,lessconcon
5,fake,DNN,0.94408275607077,lessconcon
6,fake,DNN,0.9699191930582826,lessconcon
7,fake,DNN,0.9361427084166948,lessconcon
8,fake,DNN,0.8598392810529392,lessconcon
9,fake,DNN,0.9552110291913468,lessconcon
10,fake,DNN,0.8382810512268902,lessconcon
11,fake,DNN,0.9606919557453466,lessconcon
12,fake,DNN,0.961456855097898,lessconcon
13,fake,DNN,0.9327211835172148,lessconcon
14,fake,DNN,0.9414061246540848,lessconcon
15,fake,DNN,0.8998985209008422,lessconcon
16,fake,DNN,0.8889742617064236,lessconcon
17,fake,DNN,0.8079285812944716,lessconcon
18,fake,DNN,0.8650672150897624,lessconcon
19,fake,DNN,0.9317519811180712,lessconcon
20,fake,DNN,0.930592806892307,lessconcon
21,fake,DNN,0.9189188697044612,lessconcon
22,fake,DNN,0.9179308784610812,lessconcon
23,fake,DNN,0.9096717164750002,lessconcon
24,fake,DNN,0.9110079263180996,lessconcon
25,fake,DNN,0.9371136801471628,lessconcon
26,fake,DNN,0.9227836182724752,lessconcon
27,fake,DNN,0.9571497543170788,lessconcon
28,fake,DNN,0.9365927223086734,lessconcon
29,fake,DNN,0.9032370555798536,lessconcon
30,fake,DNN,0.9633087983669218,lessconcon
31,fake,DNN,0.9718419269632912,lessconcon
32,fake,DNN,0.9801172041392444,lessconcon
33,fake,DNN,0.796029118271151,lessconcon
34,fake,DNN,0.9276410626308488,lessconcon
35,fake,DNN,0.9070790741010806,lessconcon
36,fake,DNN,0.9732924665168448,lessconcon
37,fake,DNN,0.9789154581498412,lessconcon
38,fake,DNN,0.9203456917057404,lessconcon
39,fake,DNN,0.9630705819146737,lessconcon
40,fake,DNN,0.9233355961808224,lessconcon
41,fake,DNN,0.9642398240475129,lessconcon
42,fake,DNN,0.9082333109849046,lessconcon
43,fake,DNN,0.9118369623660116,lessconcon
44,fake,DNN,0.9659099597356448,lessconcon
45,fake,DNN,0.9448880783077854,lessconcon
46,fake,DNN,0.8724206207000839,lessconcon
47,fake,DNN,0.9135485929098832,lessconcon
48,fake,DNN,0.9632102607679836,lessconcon
49,fake,DNN,0.910775604226985,lessconcon
50,fake,DNN,0.8958147243056137,lessconcon
51,fake,DNN,0.8976957049138251,lessconcon
52,fake,DNN,0.9317466854292104,lessconcon
53,fake,DNN,0.8970791806555146,lessconcon
54,fake,DNN,0.947555158374396,lessconcon
55,fake,DNN,0.918461427047436,lessconcon
56,fake,DNN,0.9731839231246276,lessconcon
57,fake,DNN,0.934491761116076,lessconcon
58,fake,DNN,0.9680940323241662,lessconcon
59,fake,DNN,0.9591190304730398,lessconcon
60,fake,DNN,0.9444319931433066,lessconcon
61,fake,DNN,0.9282866386734508,lessconcon
62,fake,DNN,0.9042963530402244,lessconcon
63,fake,DNN,0.8991055233527737,lessconcon
64,fake,DNN,0.955390671723344,lessconcon
65,fake,DNN,0.9486017080036684,lessconcon
66,fake,DNN,0.8483691629482101,lessconcon
67,fake,DNN,0.9594157805195844,lessconcon
0,fake,RF,0.943765824140072,lessconcon
1,fake,RF,0.9094738316414148,lessconcon
2,fake,RF,0.9568073518853486,lessconcon
3,fake,RF,0.954965717237626,lessconcon
4,fake,RF,0.9123250025732424,lessconcon
5,fake,RF,0.9535359983643558,lessconcon
6,fake,RF,0.9813927549188438,lessconcon
7,fake,RF,0.9596599817543484,lessconcon
8,fake,RF,0.9075183644302652,lessconcon
9,fake,RF,0.9542241534606862,lessconcon
10,fake,RF,0.8837561485403196,lessconcon
11,fake,RF,0.971820293412006,lessconcon
12,fake,RF,0.9623816930147866,lessconcon
13,fake,RF,0.9384902761615448,lessconcon
14,fake,RF,0.9703378479850624,lessconcon
15,fake,RF,0.90671781139739,lessconcon
16,fake,RF,0.939291245528696,lessconcon
17,fake,RF,0.820587291724439,lessconcon
18,fake,RF,0.9660172077699276,lessconcon
19,fake,RF,0.9448245659881376,lessconcon
20,fake,RF,0.9251281889242234,lessconcon
21,fake,RF,0.9693858141535476,lessconcon
22,fake,RF,0.9708370426264245,lessconcon
23,fake,RF,0.890734837542732,lessconcon
24,fake,RF,0.9525084486885428,lessconcon
25,fake,RF,0.9574386039589552,lessconcon
26,fake,RF,0.9704763244233394,lessconcon
27,fake,RF,0.97483817947866,lessconcon
28,fake,RF,0.9491248385731158,lessconcon
29,fake,RF,0.9646782944761864,lessconcon
30,fake,RF,0.96176478621774,lessconcon
31,fake,RF,0.9540873607897244,lessconcon
32,fake,RF,0.975644092155596,lessconcon
33,fake,RF,0.8579702578267294,lessconcon
34,fake,RF,0.9309015411139402,lessconcon
