wordnet distance spacy,target text,closest counterfactual,closest true text
0.8060343366657399,"no movement , no yuks , not much of anything","atomic_number_102 drive , no yuks , not practically of anything",film snag stumbling compensate wryly subversive tone
0.8695324503172808,"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up","gangs of new york is an unapologetic mess , whose lone saving grace is that it ends away blowing precisely about everything up",gorgeous high spirited musical india exquisitely blend music dance song high drama
0.9062366319353184,"we never really feel involved with the story , as all of its ideas remain just that abstract ideas","we never genuinely feel involved with the story , as all of its ideas remain just that abstract ideas",fascinating fun film
0.7874041150339094,this is one of polanski 's best films,this is one of polanski 's undecomposed shoot,woo right huge action sequence director long filmmaker copy save private ryan battle scene realize steven spielberg get right time
0.843489204269809,take care of my cat offers a refreshingly different slice of asian cinema,take give_care of my vomit bid A refreshingly same fade of Asian picture_palace,story structure hone fresnadillo dark jolting image way ply subconscious like nightmare week ago will away
0.8483473402323588,the movie exists for its soccer action and its fine acting,the movie survive for its soccer action and its ok acting,woo right huge action sequence director long filmmaker copy save private ryan battle scene realize steven spielberg get right time
0.8609447743616303,arnold 's jump from little screen to big will leave frowns on more than a few faces,Benedict_Arnold 's jumping from large screen to big will leave frowns along more than a few faces,gorgeous high spirited musical india exquisitely blend music dance song high drama
0.8501616402925655,"jason x has cheesy effects and a hoary plot , but its macabre , self deprecating sense of humor makes up for a lot","jason x has cheesy essence and a hoary game , but its macabre , self deprecating sense of temper makes up for a lot",human nature short nearly funny think smart
0.8303523375268226,"even as lame horror flicks go , this is lame","even as crippled repulsion picture go , this is crippled",yakusho shimizu create engaging characterization imamura lively enjoyable cultural mix
0.8479841477362388,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,any one episode of the sopranos would transport this ominous gestate betise to sleep with the Fish,art good yarn sneeze day
0.8121152019239655,most new movies have a bright sheen,most raw movies have a bright lustre,fairly involving far go film end have fresh grow catholic
0.8890515826915978,but what saves lives on the freeway does not necessarily make for persuasive viewing,but what saves lives on the freeway does not of_necessity make for persuasive watch,art good yarn sneeze day
0.7573539036823312,nicely serves as an examination of a society in transition,nicely serf equally an exam of ampere order In passage,barney idea creation identity profound way glean hour endurance test build hour worth actual material
0.8853189711600036,"the film would work much better as a video installation in a museum , where viewers would be free to leave","the cinema would work much intimately as angstrom_unit picture installation in a museum , where viewers would be gratuitous to depart",mesmerizing eye open tour modern beijing culture journey rebellion retreat oblivion return
0.7631375086936096,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the whole affair playact out with the drowsing heaviness of synchronized swimmer wearing a wool wetsuit,past fantastical aspect harsh reality isle sock eye flick visual tour de force story unlike likely
0.810492917192737,"it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn","information_technology 's a pain to see seinfeld griping about the game with brother chris rock_candy , garry shandling and colin quinn",nice thing say steal harvard call freddy gets molest dog obnoxious tom green freddie got finger
0.8693824482947424,"finally , a genre movie that delivers in a couple of genres , no less","finally , a genre movie that save in a couple of musical_style , no less",will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8476676178074696,"as a singular character study , it 's perfect","as a singular_form character study , it 's utter",involve mystery give away feature badly draw character outcome hardly matter
0.6245919596325153,haneke challenges us to confront the reality of sexual aberration,haneke gainsay U.S. to confront the reality of asexual aberrancy,auspicious daring artistic instinct push majority orient director like steven spielberg follow challenging report liable unnerve majority
0.8602223147343718,an experience so engrossing it is like being buried in a new environment,an experience so plunge it is unlike being buried in a new environment,fairly involving far go film end have fresh grow catholic
0.8762386314790424,i do n't have an i am sam clue,i make n't have an i live sam clue,mesmerizing performance lead film ground audience rivet
0.4592013468055435,the thrill is lrb long rrb gone,the exhilarate is lrb prospicient rrb gone,haneke challenge confront reality sexual aberration
0.8452342524438627,much monkeyfun for all,much monkeyfun for totally,long movie go bad get actually pretty good minute
0.8616572055631437,"much of the way , though , this is a refreshingly novel ride","little of the path , though , this exist a refreshfully novel taunt",involve mystery give away feature badly draw character outcome hardly matter
0.8695484391578727,one scarcely needs the subtitles to enjoy this colorful action farce,one just needs the subtitles to enjoy this colored action forcemeat,will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8456527428855607,what might have been a predictably heartwarming tale is suffused with complexity,what power let been deoxyadenosine_monophosphate predictably heartwarming narration is suffuse with complexness,affair true story feel incredibly hokey come like hallmark commercial
0.8301511054204438,"with generic sets and b grade special effects , jason is about as convincing on the sci fi front as tv 's defunct cleopatra 2525","with generic sets and b form special effects , jason is virtually as convincing on the sci fi front as goggle_box 's defunct cleopatra 2525",howard co star commit performance undo howard self conscious attempt find literary filmmaking style match subject
0.8878403796034111,this is simply the most fun you 'll ever have with a documentary !,this is simply the most sport you 'll ever_so bear with a documentary !,yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.9073601588826643,"it represents better than average movie making that does n't demand a dumb , distracted audience","it represents better than average movie making that does n't take a dumb , trouble audience",hard know recommend film thing right occasionally thing get wrong
0.8011144632196191,the sum of the parts equals largely a confused mediocrity,the sum of the parts equals largely axerophthol confused second-rater,good chunk running time trap effective claustrophobic thriller
0.878393279866324,"it may be an easy swipe to take , but this barbershop just does n't make the cut","it may be an gentle swipe to use_up , but this barbershop just does n't reach the cut_back",fascinating fun film
0.8445691075625331,"for all its failed connections , divine secrets of the ya ya sisterhood is nurturing , in a gauzy , dithering way","for completely its fail connections , godly secrets of the ya ya sistership is raise , in a gauzy , dither style",yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.7855962336325969,"as are its star , its attitude and its obliviousness","as are IT starring , its posture and its obliviousness",example sophisticated challenge filmmaking stand despite noticeable lack emotional heft welcome contrast indulgent dead end experimentation director previous frontal
0.8065860941344928,"sluggishly directed by episodic tv veteran joe zwick , it 's a sitcom without the snap crackle","sluggishly directed past occasional television_receiver veteran joe zwick , IT 's ampere situation_comedy without the snapshot crackle_china",fine documentary good extend warm invitation unfamiliar world illuminate fully allow large implication journey sink unobtrusively
0.8012144529256343,a dream cast of solid female talent who build a seamless ensemble,a ambition cast of hollow female talent who build a unseamed ensemble,moonlight mile replete acclaimed actor actress tackle subject potentially move movie predictable self conscious reach level high drama
0.8591374287308654,"instead of accurately accounting a terrible true story , the film 's more determined to become the next texas chainsaw massacre","instead of accurately accounting a terrible dead_on_target story , the shoot 's more determined to become the next texas chainsaw massacre",take certain kind horror movie qualify bad expect ghost ship manage exactly
0.8786896764241341,"the movie is well shot and very tragic , and one to ponder after the credits roll","the movie is well shot and very tragical , and one to ponder after the credits roll",will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8463988752222497,"it is ridiculous , of course but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness","it is ridiculous , of course simply it is also freshen_up , armament , and just outright enjoyable despite its ridiculousness",involve mystery give away feature badly draw character outcome hardly matter
0.9181917885058312,"everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids","everything you get_laid about it in 1982 is lull there , for everybody who wants to be a kid again , or show it to their own kids",feel like work finally age past prime realize want like people work
0.8192027622961173,"tadpole is a sophisticated , funny and good natured treat , slight but a pleasure","pollywog is a doctor_up , peculiar and good natured deal , slight but a joy",yes suppose lovely cal work issue dad come term picture perfect life world traveler give reason care
0.7565982055922895,"a turgid little history lesson , humourless and dull","a tumescent small history lesson , humourless and sluggish",good chunk running time trap effective claustrophobic thriller
0.9318970134164675,the cartoon that is n't really good enough to be on afternoon tv is now a movie that is n't really good enough to be in theaters,the cartoon that is n't really good decent to be on afternoon tv is now a movie that is n't really good enough to be in theaters,will harm think good reason rush right probably video store christmas well suited night living room night movie
0.8101782766741011,a harmless and mildly amusing family comedy,a harmful and gently comic family comedy,rare exhilarating cinematic delight get well hindsight mull nuance mind
0.8925225006030854,"not ` terrible filmmaking ' bad , but more like , ' i once had a nightmare like this , and it 's now coming true ' bad","not ` terrible filmmaking ' bad , but more like , ' i once sustain a nightmare like this , and it 's now coming true ' spoilt",fascinating fun film
0.8597196825513201,"a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek","a picture that , rather than skip_over along the seine , More operating_theater less slug IT way through quaggy paris , clapper comfortably in nerve",gorgeous high spirited musical india exquisitely blend music dance song high drama
0.7616911397129664,"lrb schweiger is rrb talented and terribly charismatic , qualities essential to both movie stars and social anarchists","lrb schweiger make_up rrb untalented and abysmally charismatic , qualities requirement to both movie superstar and social syndicalist",film competent uninspired lack real talent wit elevate formula level classic romantic comedy aspire
0.7496193025915047,a well acted and well intentioned snoozer,a easily acted and easily intentioned snoozer,fine documentary good extend warm invitation unfamiliar world illuminate fully allow large implication journey sink unobtrusively
0.8393168302815169,"this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap","this cuddlesome sequel to the 1999 hit be a little more_than visually dressed , a little odd , and type_A little more madcap",get wrap visual eccentricity character find confused come time heart movie
0.7721719686822078,now it 's just tired,now it 's barely exhaust,tale horror revenge nearly perfect relentless descent depth man torture soul
0.8790343136857316,not so much a movie as a picture book for the big screen,not so much a picture as a picture book for the big block_out,use sharp humor insight human nature examine class conflict adolescent yearning root friendship sexual identity
0.881038202934177,it 's difficult to say whether the tuxedo is more boring or embarrassing i 'm prepared to call it a draw,it 's manageable to say whether the tux live more boring or embarrassing i ' m ready to forebode IT A draw,art good yarn sneeze day
0.8349901705090909,about as satisfying and predictable as the fare at your local drive through,about as substantial and predictable as the fare at your national drive through,fairly involving far go film end have fresh grow catholic
0.8285073385466944,the movie succumbs to being nothing more than a formulaic chase in the dark,the picture succumbs to represent goose_egg More than a formulaic following IN the glowering,emerge clear view gear justice grind death report come share airtime alongside farm report
0.9201522733532792,"truth to tell , if you 've seen more than half a dozen horror films , there 's nothing here you have n't seen before","truth to tell , if you ' ve seen more than half a dozen horror motion_picture , there 's nothing here you have n't assure before",feel like work finally age past prime realize want like people work
0.8452956263435576,"george , hire a real director and good writers for the next installment , please","george , employ a real director and good writers for the next installment , delight",escape lifetime network know
0.8177668702006039,the film runs on equal parts of innocence and wisdom wisdom that comes with experience,the film foot_race on equal constituent of innocence and wisdom wisdom that comes with experience,good thing film mind look like creative process operate
0.8081335293766909,"goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast","goyer 's screenplay and direction exist gratefully understated , and he has drawn fantabulous carrying_into_action from his cast",involve mystery give away feature badly draw character outcome hardly matter
0.9009052414273337,"if it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about right","if it tested to do anything more , information_technology would fail and possibly explode , simply At this level of manic whimsy , it is just about flop",badly level actually have hard time believe people pay
0.8591092423448934,scores a few points for doing what it does with a dedicated and good hearted professionalism,musical_score vitamin_A few points for dress what information_technology exercise with a commit and just hearted professionalism,small problem expect entire exercise real point
0.8077391149931517,director dirk shafer and co writer greg hinton ride the dubious divide where gay porn reaches for serious drama,director dirk shafer and co writer greg hinton ride the dubious divide where cheery porn reaches for serious drama,good revenge live film unlike dumas adaptation far liken treasure lengthy jail sentence
0.8833108638410085,"a frantic search for laughs , with a hit to miss ratio that does n't exactly favour the audience","a frantic search for joke , with angstrom_unit shoot to miss ratio that does n't exactly favour the audience",hard know recommend film thing right occasionally thing get wrong
0.8266152204999017,de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork,de niro may enjoy the unlike free ride from critic afforded to clint eastwood in the lazy bloodwork,film brilliantly shine character direction intelligently accomplish
0.7521371691802039,an intelligent fiction about learning through cultural clash,an sound fabrication about learning through_with ethnical clash,town kind authentic feel people stand everybody background manufacture artificial
0.8795480164488104,there 's something fundamental missing from this story something or someone to care about,there 's something key drop from this narrative something surgery person to caution about,fascinating fun film
0.8430810644560566,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance,at ticker the movie is a dextrously wrought suspense yarn whose richer shadings work as coloring rather than substance,say ice age fairly pretty picture substance story actually life
0.781520129194783,"sometimes , nothing satisfies like old fashioned swashbuckling","sometimes , nada live_up_to like honest-to-goodness fashioned swashbuckling",romantic thrilling offer plenty ponder chew unusual relationship slowly unfold
0.871969127066106,"here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you","there 's a british flick gleefully unconcerned with plausibility , notwithstanding fair as see to harbor you",point view contemporary interpretation joan prefeminist plight leave think reason movie present standard allow plenty nudity
0.8342394822994785,a well made and often lovely depiction of the mysteries of friendship,a well gain and often lovely depiction of the mysteries of friendly_relationship,involve mystery give away feature badly draw character outcome hardly matter
0.9120269710448607,"a great ending does n't make up for a weak movie , and crazy as hell does n't even have a great ending","a great ending set n't make up for a light movie , and crazy as hell does n't even have a great termination",minimal imagination restage thing bathtub
0.8075766304978369,demands too much of most viewers,demands as_well much of most viewers,mesmerizing eye open tour modern beijing culture journey rebellion retreat oblivion return
