,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,obama to apply for political asylum in moneygall,this is america the s far right leader ,0.3762860298156738,fake,xspells,bert,,0,america s far right leader,jew shielder gavin mccuck rekt jew hate female shitlord,0.1817120673489153,0.7365989115654993,9,0.13496854901313782,9,0.1794720888137817,Dutch Court Convicts Asylum Seeker of Raping Woman,-0.1220441237092018
1,nato goes on high ale to block donald trump presidency put hillary clinton in power,kid golfer with one arm shows off ,0.2218477725982666,fake,xspells,bert,,0,kid golfer arm show,wikileak obama saudi agent,0.1643670269200312,0.6167078916650296,15,0.019617881625890732,8,0.053460381925106,South Korea Enters Period of Uncertainty With President’s Impeachment - The New York Times,-0.2504602372646332
2,stephanie kelton has the biggest idea in washington,the of trump and a planet in ruins ,2.375962734222412,fake,xspells,bert,,0,trump planet ruin,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0613479931078889,0.7206455919814119,8,0.18549495935440063,9,-0.0786862969398498,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,-0.2361652553081512
3,tesla hits a new milestone passing g m in valuation the new york times,mass protests lead leader to quit ,0.1771554946899414,fake,xspells,bert,,0,mass protest lead leader quit,diamond silk,0.1790039725763447,0.5857538579062785,14,0.06545108556747437,7,-0.1207037717103958,Washington D.C. Insider Says Obama Might Disclose UFO Truth Before January 2017,-0.1774077266454696
4,john mayer s weird new low budget video is a meme wohy masterpiece,video the parkland ufc as a noh korean ,0.1976406574249267,fake,xspells,bert,,0,video parkland ufc noh korean,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2960927394376664,0.7271436939141269,12,0.2443864345550537,9,0.0761676058173179,British Interior Minister Amber Rudd Resigns Amid Immigration Scandal,-0.2043485641479492
5,come back to bed explores intimacy after experiencing sexual assault,michael moore threatens dems block ,1.647388219833374,fake,xspells,bert,,0,michael moore threaten dem block,legendary cristiano ronaldo score legendary bicycle kick goal,0.3173018835438252,0.4146147405112708,10,-0.028147060424089432,8,-0.111451081931591,The Backstreet Boys Are Back With Their Own Tequila Brand,-0.2020120769739151
6,california today fighting fire with fire the new york times,warriors coach steve calls nfl ban ,1.1027534008026123,fake,xspells,bert,,0,warrior coach steve call nfl ban,diamond silk,0.2657960174621198,0.6264149150480075,10,0.08720453083515167,7,-0.1028193533420562,Can Netflix Survive in the New World It Created? - The New York Times,-0.230326160788536
7,americans are surprised domestic terrorism isn’t a federal crime most think it should be,california gov we ’ ll stop trump ,1.0729188919067385,fake,xspells,bert,,1,california gov ll stop trump,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2373793214281628,0.7133375122320073,14,0.10832959413528442,9,-0.0835405886173248,MLK's Granddaughter Shares Her Dream Of A 'Gun-Free World' At March For Our Lives,-0.2193477749824524
8,breaking trump was right,trump doesn t know about the queen ,0.4739193916320801,fake,xspells,bert,,1,trump doesn t know queen,gorka smite hater radical islamist jerusalem post speech breitbart,0.3261440143623494,0.7717969715734379,8,0.23048615455627441,9,0.0643784180283546,3 Health Supplements To Maximize Wellness,-0.1625121682882309
9,retired 4 star general simply outrageous that jared kushner represents america,fbi ignore intel showing of missing ,0.2034528255462646,fake,xspells,bert,,1,fbi ignore intel showing miss,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1359945311165644,0.641954801650198,11,0.017021100968122482,9,-0.1499737650156021,NETHERLANDS has a new Muslim political party called ‘DENK’ (Think) created by Muslim colonizers for Muslim colonizers,-0.2074100375175476
