,closest counterfactual,closest true text,embedding distance,polyjuice similarity spacy,target instance,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,runtime,not find,closest_true_instance_bert,closest_similaritys_bert
0,shine quiz wkly q! win wkly,miss miss khelate kintu opponenter miss dhorte lage s d rule great phone receive quality win,0.5147393941879272,0.6836761207397786,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,rf,,shine quiz wkly q win wkly,important customer service announcement freephone 0800 542 0825,0.2120970131716945,0.7520952515949771,25,0.3203984498977661,8,0.0117303486913442,109.00348162651062,607,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",-0.11733078956604
1,'' an interesting question. 4- digit unique password after successful completion of a level that was previously alphanumeric also to the player name to allow for a later resumption. '',open rebtel firefox load plus sign user place number low number number pick number pin display okay,0.4138029813766479,0.8261698294836599,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,rf,,interesting question 4- digit unique password successful completion level previously alphanumeric player allow later resumption,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2764888010850372,0.8720838400658216,30,0.2829025387763977,30,0.1164491549134254,59.37096428871155,607,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,-0.136698693037033
2,When ur kid is 11 you can bet your house on prom and i'll bet your house on prom either way.,hi hope ur day good walk table book half let know ur come,0.4003299176692962,0.9028643730072046,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,rf,,ur kid 11 bet house prom bet house prom way,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3916648093511399,0.7866741209561551,20,0.030519161373376846,21,0.0401058010756969,92.91297054290771,607,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",-0.1195203736424446
3,What do U mean?,"think \what u got\ think \""how use got\ good ni8",0.6159762740135193,0.910105073981392,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,rf,,u mean,important customer service announcement premier freephone 0800 542 0578,0.2829160104389825,0.8033797627730305,29,0.16477662324905396,9,0.0705137401819229,87.54823756217957,607,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1512068510055542
4,I don't know,think say clearly ok leave need ask come,0.5271521210670471,0.9095829773010436,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,rf,,know,important customer service announcement premier freephone 0800 542 0578,0.2799386528794683,0.8501343901101341,25,0.25946593284606934,9,0.0784533023834228,105.20433068275452,607,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",-0.1753743141889572
5,number of characters after 4 digit EMPTY,open rebtel firefox load plus sign user place number low number number pick number pin display okay,0.4407997131347656,0.8068879309975139,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,rf,,number character 4 digit,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2910697183461035,0.8058963356868931,27,0.42059844732284546,18,0.0970329493284225,100.85635042190552,607,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,-0.0954468324780464
6,Do u meet ur dream partner soon? EMPTY,hi hope ur day good walk table book half let know ur come,0.577639102935791,0.9068152417064654,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",rf,,u meet ur dream partner soon,important customer service announcement freephone 0800 542 0825,0.3308215010550094,0.917013130145488,24,0.7600200176239014,8,0.1437840759754181,91.78112292289734,607,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0679377242922782
7,EMPTY who is looking 2 make contact with each other who will be find out who be responsible to.,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.4394481182098388,0.8977976356495921,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,rf,,look 2 contact find responsible,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2856518970993514,0.9313313354212754,16,0.5451859831809998,21,0.148830845952034,90.1310019493103,607,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0490588545799255
8,"Get a free ebook of the first authors, followed by a b-movie, and skip the comedy as it really works for me Just Wanna Have Something To Do, "" [ANSWER]",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.4739578366279602,0.8751717123890747,WIN a aPS200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 aPS1.50perweeksub.,rf,,free ebook author follow b movie skip comedy work wanna answer,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.332166959247465,0.8528557281429675,29,0.09805332124233246,30,-0.0039057559333741,103.394357919693,607,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,-0.1350638270378112
9,"No kudos for Michael Powell and Kiefer Sutherland doing their best and living the high life, taking the mantle of cinema's worst Ned( pretty hard considering the previous Ned's include Yahoo Serious, Mick Jagger & former Carlton champion( Australian Rules Football)",school start stay weather like food social support system like friend school thing important,0.3196077048778534,0.8384154214646747,UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub,rf,,kudo michael powell kiefer sutherland good live high life take mantle cinema bad ned pretty hard consider previous ned include yahoo mick jagger carlton champion australian rule football,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3358201271512636,0.8087150497494187,40,-0.03719303011894226,41,-0.0022715758532285,89.51347947120667,607,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,-0.1351112127304077
