,label,message
0,0,John Bolton's Anti-Muslim Hate
1,1,College Costs Too Much? N.Y.U. Paves Way to Graduate Faster - The New York Times
2,0,The Other Reason Trump Hasn't Fired Scott Pruitt: His Evangelical Christian Ties
3,1,"All This Talk of Voter Fraud? Across U.S., Officials Found Next to None - The New York Times"
4,1,YouTube TV Customers Will Be Forced to Watch Commercials on Recorded Shows - Breitbart
5,1,Trump: I Thought Comey Firing Would Have Bipartisan Support - Breitbart
6,0,"Chrissy Teigen, John Legend Announce Name Of Baby Boy With Adorable Photo"
7,1,What Do You See in Art? Nearly 50 People Told Us - The New York Times
8,0,"Joy Reid Doubles Down: Homophobic Posts ‘Hacked,' ‘Fraudulent’"
9,1,Giving Up ‘Mostly Everything’ to Care for His Wife - The New York Times
10,0,'Tree Hugger' Donald Trump Gets Mauled On Twitter Over Planting Ceremony
11,1,"In 2016, Israel Demolished Over 200 West Bank Homes In Illegal Settlement Expansion"
12,0,Facebook's New Ad Rules Prove It's Basically In Charge Of Regulating Elections Now
13,0,"Trump's Not King, But His Party Is Paying Him Tribute Anyway"
14,1,Mavs Fans Got Mad At Mark Cuban For Bashing Trump. His Response Is Perfect
15,1,"’You Are Europe’s Future’: Erdogan Tells Turks in Europe Have Five Kids, Not Three"
16,1,Cornwallis disembarks at Elkton
17,0,White House Probes Kushner Business Loans After Ethics Questions
18,0,Here Are The Canceled And Renewed TV Shows For 2018-2019
19,1,The Biggest Supermoon Since Israel Became A Nation In 1948 Will Happen 6 Days After The Election
20,1,"How Rudolph Giuliani, Possible Cabinet Pick, Made Millions as Ex-Mayor - The New York Times"
21,1,How Cuomo’s Signature Economic Growth Project Fell Apart in Utica - The New York Times
22,1,Fox News’ Bill O’Reilly Calls for All Gun Crimes to Be Federal Crimes
23,0,More Community Colleges Are Offering Bachelor’s Degrees — And Four-Year Universities Aren’t Happy About It
24,0,Facebook Gets Into The Online Dating Business
25,0,Kim Cattrall Offers Curt Response To Cynthia Nixon's New York Governor Run
26,0,Turns Out Ben Affleck's Massive Back Tattoo Is Indeed Real
27,0,Lorde Faces Backlash After Using Whitney Houston Lyrics For Bathtub Picture
28,0,Filmmaker Says 'Stranger Things' Creators Stole His Ideas In New Lawsuit
29,0,Donald Trump Mocked After He Can't Quite Describe The White House
30,0,Pinata Maker Apologizes For Hanging Black Figures In The Likeness Of Lynchings
31,1,BREXIT! PM Signs Official Letter to Brussels Beginning Britain’s Departure from the European Union
32,0,Oklahoma Teachers Begin 110-Mile March To Protest Education Funding
33,0,Trump Briefly Responds To Santa Fe School Shooting Before Pivoting
34,0,Donald Trump Says He Didn't Know About Stormy Daniels Payment
35,0,There Are Some Problems With This Commemorative Trump-Kim Jong Un Coin
36,0,More Americans Than Ever Support Same-Sex Marriage
37,1,Green Water Lingers in Olympic Pools as the Excuses Pile Up - The New York Times
38,0,Louisiana Woman Creates Frog Bikini (And It's Ribbiting)
39,1,"Italy, Hillary Clinton, Donald Trump: Your Thursday Evening Briefing - The New York Times"
40,0,Bill Maher Roasts Donald Trump Over His Close Relationship With Sean Hannity
41,1,Inside the Six Weeks Donald Trump Was a Nonstop ‘Birther’ - The New York Times
42,0,Tomi Lahren's Exercise Pants Gun Photo Becomes Butt Of Twitter Jokes
43,1,Hoping for the best and preparing for the worst: A look inside the American Redoubt movement
44,1,Retesting of Doping Samples Could Bar Dozens From Rio Olympics - The New York Times
45,0,FIFA Cites Ethics Rules After Trump's Threatening World Cup Tweet
46,0,Stormy Daniels Thanks ‘Wonderful Gay Dads’ As West Hollywood Hands Her Keys To City
