,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,john oliver shreds the feds for forcing kids to appear in court without lawyers,john oliver medicinalgs the feds for greater kids to appear in court without political,73.0213086605,fake,counterfactualgan,bert,,4,john oliver medicinalgs fed great kid appear court political,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1344458072004387,0.9587902609004976,3,0.7001692056655884,14,-0.0026503796689212,"American Airlines Pilot Reports UFO With 'Big Reflection' 40,000 Feet Over Arizona",-0.2534913122653961
1,french jewish leaders' horrified' by murder of holocaust survivor,##ground jewishzan' poor' by murder of dos,73.0213086605,fake,counterfactualgan,bert,,7,ground jewishzan poor murder do,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.000300454372993,0.6849199867970162,6,0.41231489181518555,9,0.0207696724683046,United Airlines Temporarily Suspends Cargo Travel For Pets,-0.2022064328193664
2,donald trump is now selling freedom for your head and it only costs $35!,donald trump is now rivalry freedom for your head and it only costs $decades!,73.0213086605,fake,counterfactualgan,bert,,19,donald trump rivalry freedom head cost $ decade,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0961516626812626,0.972391157316795,2,0.7160214185714722,14,0.0847545340657234,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,-0.2363128215074539
3,detect negative energies and malicious entities haunting you with a glass of water,officer they commission and a tattoo dig you with a mat of water,73.0213086605,fake,counterfactualgan,bert,,39,officer commission tattoo dig mat water,jew shielder gavin mccuck rekt jew hate female shitlord,0.1688105814910164,0.8116858504216616,7,0.283893346786499,13,0.0024206107482314,"Ubisoft Reveals Sales Down for Quarter, Hipster-Sim ’Watch Dogs 2’ Launch ’Soft’ - Breitbart",-0.2575497627258301
4,jury to weigh if pulse shooter ’ s widow is a monster or just married one,vitamin to personal if oyster shooter ’ sir is a directing or just fiery one,73.0213086605,fake,counterfactualgan,bert,,39,vitamin personal oyster shooter sir directing fiery,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0943163518680676,0.911739565352174,7,0.17407411336898804,15,0.0620811395347118,"Cardinal George Pell, Vatican Treasurer, Will Stand Trial For Sexual Abuse",-0.2557486295700073
5,getty mixed up mark zuckerberg' s executive assistant with priscilla chan,get hopes detainees up mark zuckerberg' s executive operation with hillary ad,73.0213086605,fake,counterfactualgan,bert,,40,hope detainee mark zuckerberg s executive operation hillary ad,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1378088362626981,0.7952760118341123,6,0.43050485849380493,12,0.0480931065976619,"Italian Train Derails in Switzerland, Seven Injured",-0.1940245330333709
6,"cyrus mistry speaks out, says tata removal didn ’ t hurt as much as punny headlines on it","entertaining extraordinary plane daylight out, says attempt massage don ’ t marine as much as un",73.0213086605,fake,counterfactualgan,bert,,71,entertaining extraordinary plane daylight say attempt massage don t marine un,jew shielder gavin mccuck rekt jew hate female shitlord,0.2122739340793353,0.8470496379123623,12,0.1562086045742035,16,-0.0082840025424957,"Daughter and Granddaughter of Black Power Icon Malcolm X Busted for Animal Cruelty, Car Theft - Breitbart",-0.2108525782823562
7,"trump called edward snowden a traitor, implied he should be executed","trump called if snow, a broadcaster,enia he should be .",73.0213086605,fake,counterfactualgan,bert,,73,trump call snow broadcaster enia,jew shielder gavin mccuck rekt jew hate female shitlord,0.1555466260207548,0.8302950496991098,5,0.513248085975647,10,-0.0039700758643448,Dutch Court Convicts Asylum Seeker of Raping Woman,-0.1746272295713424
8,talent agency uta trades oscar party for refugee rally,illusion lower broadcaster dream oscar party for refugee freddie,73.0213086605,fake,counterfactualgan,bert,,74,illusion low broadcaster dream oscar party refugee freddie,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2707811719489421,0.7825137257948162,5,0.5023866295814514,9,0.1324364095926284,"Annual Figures Show Slight Rise In Rural Jobs, But Gap With Metro Widens",-0.1597421467304229
9,"the great barrier reef has been forever changed by global warming, scientists warn","the great belline has been exactly changed by criticism media, scientiststz",73.0213086605,fake,counterfactualgan,bert,,90,great belline exactly change criticism medium scientiststz,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0003159249344163,0.8617211540672792,7,0.4211616516113281,11,0.0148292398080229,Father Seeking Justice For Teen’s Alleged Rape At Hands Of Indian Lawmaker Dies In Custody,-0.1828852146863937
