,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,if i was i wasn t paying attention,you ve found your number two special who to know where other 2day txt r chat now on 18 50 ,0.2004334926605224,spam,xspells,rf,_TfidfVectorizer,0,ve find number special know 2day txt r chat 18 50,wylie tampa sarasota,-0.0051352959422738,0.8017810173781721,21,0.002032049000263214,21.0,0.2672391235828399,....photoshop makes my computer shut down.,-0.1533514261245727
1,check mail i have mailed varma and kept copy to you regarding membership take care insha allah,you won not believe u please call me all prize txt also close c s <end> ,0.1936726570129394,spam,xspells,rf,_TfidfVectorizer,0,win believe u prize txt close c s < end >,wylie tampa sarasota,-0.0412206040401876,0.8078707794852801,17,0.2692825496196747,17.0,0.0291173849254846,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",-0.1116638854146003
2,private your 2003 account statement for shows 800 un redeemed s i m points call 08715203652 identifier code 42810 expires 29 10 0,you re not the that the close to that it will be out from free last week now try to do it ,0.2181935310363769,spam,xspells,rf,_TfidfVectorizer,0,close free week try,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3103791170548181,0.7441588933804522,23,0.16361743211746216,23.0,0.2583079934120178,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,-0.0536122322082519
3,becoz its lt gt jan whn al the post ofice is in holiday so she cn go fr the post ofice got it duffer,free for 1st 500 new nokia tones in this text dating order comes a great auction round play ,0.1908407211303711,spam,xspells,rf,_TfidfVectorizer,0,free 1st 500 new nokia tone text date order come great auction round play,,0.0,0.7093081545098204,23,0.206671804189682,,,Are you driving or training?,-0.1570921540260315
4,wan2 win a meet greet with westlife 4 u or a m8 they are currently on what tour 1 unbreakable 2 untamed 3 unkempt text 1 2 or 3 to 83049 cost 50p std text,i am going before bed in or something thanks for my will <end> ,0.2261402606964111,spam,xspells,rf,_TfidfVectorizer,0,go bed thank < end >,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3562189941051206,0.8348034332199255,34,0.19762685894966125,17.0,0.0952868610620498,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,-0.0835961103439331
5,great news call freefone 08006344447 to claim your guaranteed aps1000 cash or aps2000 gift speak to a live operator now,no 1 thing 4 no 1 any milk no i talk very with u read i will u in a shit going <end> ,0.2264223098754882,spam,xspells,rf,_TfidfVectorizer,0,1 thing 4 1 milk talk u read u shit go < end >,important customer service announcement freephone 0800 542 0825,0.3513359606233498,0.8027861117967802,23,0.17275473475456238,24.0,0.098075047135353,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0843027830123901
6,hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 so time 09099726429 janinexx callsaps1 minmobsmorelkpobox177hp51fl,you give me friday by back did i ve not until at least life out and i ve got your best number ,0.2183067798614502,spam,xspells,rf,_TfidfVectorizer,0,friday ve life ve get good number,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.3833711884604359,0.8527177181612753,26,0.2751391530036926,23.0,0.2052666246891021,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",-0.0588949955999851
7,urgent your 4 costa del sol holiday or aps5000 await collection call 09050090044 now toclaim sae tc s pobox334 stockpo sk38xh costaps1 50 pm max10mins,i am getting in my search this now full will more <end> ,0.2233860492706298,spam,xspells,rf,_TfidfVectorizer,0,get search < end >,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3494122026814398,0.7520769741194,24,0.16459500789642334,17.0,0.1407029032707214,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.1259597688913345
8,no prob i will send to your email,free msg for any purpose from content text have delivered back you give get nothing 1 more ,0.176218032836914,spam,xspells,rf,_TfidfVectorizer,0,free msg purpose content text deliver 1,wylie tampa sarasota,-0.0288488196050443,0.8742040901800248,18,0.271712064743042,18.0,0.1107636615633964,Well you told others you'd marry them...,-0.1867072135210037
9,spook up your mob with a halloween collection of a logo pic message plus a free eerie tone txt card spook to 8007 zed 08701417012150p per logo pic,your about amazing things may it can talk back if can no and ill all u we ve get a free just ,0.2119834423065185,spam,xspells,rf,_TfidfVectorizer,0,amazing thing talk ill u ve free,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3600847108994303,0.7961534270017966,27,0.2763567566871643,23.0,0.1686411947011947,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0371790938079357
10,sms auction a brand new nokia 7250 is up 4 auction today auction is free 2 join take pa txt nokia to 86021 now hg suite342 2lands row w1j6hl,please my my has a free tones each other also special at go out 2 s going home by pobox only ,0.2320027351379394,spam,xspells,rf,_TfidfVectorizer,0,free tone special 2 s go home pobox,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3591860764803453,0.8190976238853136,28,0.16240742802619934,22.0,0.2928409576416015,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,-0.1016762480139732
11,did you show him and wot did he say or could u not c him 4 dust,urgent this day from you attempt 1 enter you our quiz order have won the aps1450 reward to ,0.199312686920166,spam,xspells,rf,_TfidfVectorizer,0,urgent day attempt 1 enter quiz order win aps1450 reward,wylie tampa sarasota,-0.040311802501788,0.8170408228837783,19,0.1447138786315918,19.0,0.0727856382727623,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,-0.1003175973892211
12,my stomach has been thru so much trauma i swear i just can t eat i better lose weight,do want you with 750 price each week call free to get txting just pay with valid ringtones ,0.1906170845031738,spam,xspells,rf,_TfidfVectorizer,0,want 750 price week free txte pay valid ringtone,wylie tampa sarasota,-0.0025584289506023,0.7974586724464251,19,-0.003305690363049507,19.0,0.0056350794620811,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,-0.2077856659889221
