,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart",UNKWORDZ UNKWORDZ Trump Blamed UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz trump blame unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,diamond silk,sedc,DistilBertForSequenceClassification,fake,19.16125559806824,0,0.0993506132233298,0.6896125831499001,12,0.3404911160469055,14,0.0239929798990488,NY State Police Building MS-13 Unit,-0.1669670045375824
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,supreme court help company away sexual harassment,sedc,DistilBertForSequenceClassification,fake,14.026632070541382,0,0.0,0.0,11,0.01632491499185562,11,-0.0141208823770284,"Supreme Court's Cake Case Could Set America Back 50 Years, Activists Warn",-0.2017405033111572
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ The UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,sedc,DistilBertForSequenceClassification,fake,15.456606149673462,0,-0.0484422684655811,0.6318740960824608,12,0.054021645337343216,13,0.0694316551089286,"Supreme Court's Cake Case Could Set America Back 50 Years, Activists Warn",-0.1981820613145828
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie UNKWORDZ UNKWORDZ UNKWORDZ - UNKWORDZ Tim UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,kylie unkwordz unkwordz unkwordz unkwordz tim unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,budget deal increase wildfire disaster funding $ 2 billion annually,sedc,DistilBertForSequenceClassification,fake,17.195560455322266,0,0.0724297471221726,0.5471494277157762,13,0.25262951850891113,15,-0.0075301425531506,"Supreme Court's Cake Case Could Set America Back 50 Years, Activists Warn",-0.1993240267038345
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' UNKWORDZ UNKWORDZ Order UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz order unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,sedc,DistilBertForSequenceClassification,fake,15.028781175613403,0,-0.0641268791495388,0.6987832191128509,14,0.07171154022216797,14,0.0916221812367439,Laura Benanti Reveals The Sad Truth Of Our Bond With Donald Trump,-0.1897059381008148
5,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,supreme court help company away sexual harassment,sedc,DistilBertForSequenceClassification,fake,13.554083824157717,0,0.0,0.0,9,0.06383658945560455,9,-0.0197899080812931,"Supreme Court's Cake Case Could Set America Back 50 Years, Activists Warn",-0.2058443427085876
6,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,supreme court help company away sexual harassment,sedc,DistilBertForSequenceClassification,fake,14.83899450302124,0,0.0,0.0,11,-0.043017007410526276,11,-0.0141208823770284,"Supreme Court's Cake Case Could Set America Back 50 Years, Activists Warn",-0.2017405033111572
7,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ Now,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,sedc,DistilBertForSequenceClassification,fake,14.47635269165039,0,0.0325418169331347,0.6715741897675688,12,0.08136819303035736,13,0.0764896273612976,"Supreme Court's Cake Case Could Set America Back 50 Years, Activists Warn",-0.1746842414140701
8,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,UNKWORDZ UNKWORDZ UNKWORDZ Grey UNKWORDZ UNKWORDZ UNKWORDZ For UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz grey unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,sedc,DistilBertForSequenceClassification,fake,15.6779465675354,0,0.0523567108142184,0.6212602419721305,13,0.0689854621887207,14,0.0599731467664241,"Supreme Court's Cake Case Could Set America Back 50 Years, Activists Warn",-0.2167414873838424
9,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,Jim UNKWORDZ 's UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,jim unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,walk definition entitled millennial swear entitle millennial,sedc,DistilBertForSequenceClassification,fake,17.474343061447144,0,0.2215342405908728,0.742062593989209,13,0.07709196209907532,14,0.0775806382298469,"Supreme Court's Cake Case Could Set America Back 50 Years, Activists Warn",-0.220641404390335
