,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Pete Quiz Wkly Pa ! Win a top Mr. DVD player if friend know which lack the Algarve is in ? Txt ansr to 82277 . aPS1.50 C. : Tyrone,pete quiz wkly pa win mr dvd player friend know lack algarve txt ansr 82277 aps1.50 c. tyrone,,TfidfVectorizer,growing_language,MLPClassifier,spam,93.3844587802887,0
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,URGENT :] We are trying to ask U. Todays involve shows that you have beat a aPS800 prize GUARANTEED . Call 09050001808 from majority line . Take M95 . Valid12hrs only,urgent try ask u. today involve show beat aps800 prize guarantee 09050001808 majority line m95 valid12hrs,wylie tampa sarasota,TfidfVectorizer,growing_language,MLPClassifier,spam,92.01919484138489,1
2,What about this one then.,Who along this child yet .,child,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,TfidfVectorizer,growing_language,MLPClassifier,spam,29.8341703414917,1
3,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT :-) We are trying to contact you . Last weekends draw shows that you won a aPS1000 prize Used . Call 09064012160 . Say Code K52 . Valid wad really . 150ppm,gent try contact weekend draw show win aps1000 prize 09064012160 code k52 valid wad 150ppm,wylie tampa sarasota,TfidfVectorizer,growing_language,MLPClassifier,spam,85.13498759269714,1
4,Cheers for the card ... Is it that time of year already?,Thanks around the sms ... Is it that dream between year truly ?,thank sms dream year truly,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,TfidfVectorizer,growing_language,MLPClassifier,spam,57.70668625831604,1
5,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important place 4 orange option . today is your lucky day!2find off why log beyond http://www.urawinner.com THERE KNOWS A FANTASTIC SURPRISE Failing YOU !,important place 4 orange option today lucky day!2find log http://www.urawinner.com know fantastic surprise fail,wylie tampa sarasota,TfidfVectorizer,growing_language,MLPClassifier,spam,79.45598840713501,1
6,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Congratulations yes did 500 of CD vouchers or 125gift rewarded & Secret title 2 60 wkly draw txt MUSIC to 87066,congratulation yes 500 cd voucher 125gift reward secret title 2 60 wkly draw txt music 87066,,TfidfVectorizer,growing_language,MLPClassifier,spam,65.15411472320557,1
7,Tell me pa. How is pain de.,Get me y :) Where is child le ...,y child le,important customer service announcement freephone 0800 542 0825,TfidfVectorizer,growing_language,MLPClassifier,spam,37.53731083869934,5
8,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You have an important customer car issue . Call FREEPHONE 0800 542 0825 now !,important customer car issue freephone 0800 542 0825,wylie tampa sarasota,TfidfVectorizer,growing_language,MLPClassifier,spam,48.18118381500244,8
9,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U want for Xmas ;) How about 100 free logic messages & an beautiful video phone with half price fact choice ? Call free now on 0800 0721072 to find out more !,u want xmas 100 free logic message beautiful video phone half price fact choice free 0800 0721072 find,,TfidfVectorizer,growing_language,MLPClassifier,spam,112.85275936126709,8
10,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Last chance 4 claim ur aPS150 dollar of discount reasons - Text YES to 85023 now!SavaMob - member offers high T India 08717898035 . aPS3.00 Sub . 22 . Remove th X or Be,chance 4 claim ur aps150 dollar discount reason text yes 85023 now!savamob member offer high t india 08717898035 aps3.00 sub 22 remove th x,,TfidfVectorizer,growing_language,MLPClassifier,spam,95.36277055740356,8
