,dataset,bb,distance,method
0,fake,DNN,0.7210183537021881,concon
1,fake,DNN,0.6884260370048184,concon
2,fake,DNN,0.9331910209468212,concon
3,fake,DNN,0.5900285001497116,concon
4,fake,DNN,0.8954901790502168,concon
5,fake,DNN,0.4310494082732043,concon
6,fake,DNN,0.9292006316624868,concon
7,fake,DNN,0.9402725016391524,concon
8,fake,DNN,0.5164238521498277,concon
9,fake,DNN,0.4319730536102978,concon
10,fake,DNN,0.8014723393669764,concon
11,fake,DNN,0.8186458016371226,concon
12,fake,DNN,0.646921467048905,concon
13,fake,DNN,0.9719736029276358,concon
14,fake,DNN,0.4107365985983291,concon
15,fake,DNN,0.621382005721028,concon
16,fake,DNN,0.931615079901681,concon
17,fake,DNN,0.9215513645466986,concon
18,fake,DNN,0.7280983321429688,concon
19,fake,DNN,0.5077519464561057,concon
20,fake,DNN,0.8537766872046664,concon
21,fake,DNN,0.8701957199545729,concon
22,fake,DNN,0.5166633203191651,concon
23,fake,DNN,0.5406451573784999,concon
24,fake,DNN,0.5025228570780479,concon
25,fake,DNN,0.906209460008142,concon
26,fake,DNN,0.8733412535056491,concon
27,fake,DNN,0.5970858930739407,concon
28,fake,DNN,0.5771066958700645,concon
29,fake,DNN,0.8735980297841328,concon
30,fake,DNN,0.6095778315593788,concon
31,fake,DNN,0.6390987694331649,concon
32,fake,DNN,0.6821931852497329,concon
33,fake,DNN,0.5936578995393182,concon
34,fake,DNN,0.9181525674262012,concon
35,fake,DNN,0.506785485898362,concon
36,fake,DNN,0.9213422408888388,concon
37,fake,DNN,0.938948722169904,concon
38,fake,DNN,0.9392652380710558,concon
39,fake,DNN,0.7160712414822141,concon
40,fake,DNN,0.8774305646290619,concon
41,fake,DNN,0.622393603031501,concon
42,fake,DNN,0.653414645902439,concon
43,fake,DNN,0.9236512840781288,concon
44,fake,DNN,0.8831638223695231,concon
45,fake,DNN,0.9460119174669194,concon
46,fake,DNN,0.586189480224653,concon
47,fake,DNN,0.760260034073626,concon
48,fake,DNN,0.7505241821998883,concon
49,fake,DNN,0.9307702119352804,concon
50,fake,DNN,0.8888998126187276,concon
51,fake,DNN,0.4507672698080414,concon
52,fake,DNN,0.6537115380157419,concon
53,fake,DNN,0.950028412174054,concon
54,fake,DNN,0.6997669474487634,concon
55,fake,DNN,0.4386818304955424,concon
56,fake,DNN,0.5847098510914764,concon
57,fake,DNN,0.7391739704682426,concon
58,fake,DNN,0.5668956905547441,concon
59,fake,DNN,0.5336792837399738,concon
60,fake,DNN,0.5308668590581404,concon
61,fake,DNN,0.8214665271316142,concon
62,fake,DNN,0.5311760909813601,concon
63,fake,DNN,0.8983974889210501,concon
64,fake,DNN,0.6044565284629717,concon
65,fake,DNN,0.9631226454228315,concon
66,fake,DNN,0.8732081647257512,concon
67,fake,DNN,0.6874780203270852,concon
68,fake,DNN,0.8851444686319401,concon
69,fake,DNN,0.9286299700254764,concon
70,fake,DNN,0.7704908963394648,concon
71,fake,DNN,0.7307749362306258,concon
72,fake,DNN,0.6565712901245195,concon
73,fake,DNN,0.4658047975886324,concon
74,fake,DNN,0.7554816053875912,concon
0,fake,RF,0.939632988613743,concon
1,fake,RF,0.6346882483669731,concon
2,fake,RF,0.808290451590986,concon
3,fake,RF,0.916833650948888,concon
4,fake,RF,0.9514158977734236,concon
5,fake,RF,0.674954408018247,concon
6,fake,RF,0.7922189750036029,concon
7,fake,RF,0.8741062176115978,concon
8,fake,RF,0.6094693704807675,concon
9,fake,RF,0.6802245396562598,concon
10,fake,RF,0.9082579472691305,concon
11,fake,RF,0.9090930186001864,concon
12,fake,RF,0.8841561817264442,concon
13,fake,RF,0.908671488951246,concon
14,fake,RF,0.5502834227342405,concon
15,fake,RF,0.8669223325714028,concon
16,fake,RF,0.9373181879782628,concon
17,fake,RF,0.9390490468921966,concon
18,fake,RF,0.8142807872744056,concon
19,fake,RF,0.9168956369634051,concon
20,fake,RF,0.7961822679087506,concon
21,fake,RF,0.6168766544578428,concon
22,fake,RF,0.8315977098740248,concon
23,fake,RF,0.8089524066824314,concon
24,fake,RF,0.510489779226127,concon
25,fake,RF,0.7285761011123327,concon
26,fake,RF,0.8263329834193239,concon
27,fake,RF,0.8860168686538673,concon
28,fake,RF,0.5804572493090454,concon
29,fake,RF,0.8207330020739405,concon
30,fake,RF,0.5266041261188312,concon
31,fake,RF,0.8907648250361986,concon
32,fake,RF,0.932348753162581,concon
33,fake,RF,0.9464438052587444,concon
34,fake,RF,0.9088868371857816,concon
35,fake,RF,0.7080512661339898,concon
36,fake,RF,0.8577132203418685,concon
37,fake,RF,0.8861050148229846,concon
38,fake,RF,0.888816807755933,concon
39,fake,RF,0.8230817007726916,concon
40,fake,RF,0.8388722505275561,concon
41,fake,RF,0.908031583342791,concon
42,fake,RF,0.5304744112639356,concon
43,fake,RF,0.9052346386684492,concon
44,fake,RF,0.9056559798783306,concon
45,fake,RF,0.5290144299165382,concon
46,fake,RF,0.8468392847942144,concon
47,fake,RF,0.751373415997815,concon
48,fake,RF,0.8451997619208471,concon
49,fake,RF,0.943064582274751,concon
