,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"gangs of new york is an unapologetic mess, whose only saving grace is that it ends by blowing just about everything up","the of one personality is an chi games all all safe,tzing is that itmania free cultural treated",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,1,personality chi game safe tze itmania free cultural treat,execrable,-0.0193389311275828,0.9058704345381506,17,0.20033405721187592,17,0.2620057165622711,"it would be great to see this turd squashed under a truck , preferably a semi .",-0.1720153242349624
1,"we never really feel involved with the story, as all of its ideas remain just that abstract ideas","you definitely wins will should with the worse, as say of itsina that should light",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,1,definitely win bad itsina light,execrable,-0.0241082907676364,0.927692570701739,13,0.04423904046416283,15,0.0780648067593574,low rent from frame one .,-0.1131124719977378
2,this is one of polanski' s best films,this is one of shot' intelligence' s closing,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,1,shot intelligence s closing,bluto blutarsky miss,0.0289433432957682,0.8553383964961304,4,0.34693336486816406,8,0.1363482177257537,"kurys never shows why , of all the period's volatile romantic lives , sand and musset are worth particular attention .",-0.0250044893473386
3,take care of my cat offers a refreshingly different slice of asian cinema,angle lazy of theina is aly allha of thisina,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,1,angle lazy theina aly allha thisina,bluto blutarsky miss,0.1401465823949013,0.7312353470344869,11,0.0867079496383667,9,0.1008356660604476,"post 9/11 the philosophical message of "" personal freedom first "" might not be as palatable as intended .",-0.1814407408237457
4,arnold' s jump from little screen to big will leave frowns on more than a few faces,team' s fans should little chi to all moore say shot religious more twin a read fellowship,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,2,team s fan little chi moore shoot religious twin read fellowship,execrable,-0.0360013228402537,0.8972508032730855,12,0.1367250680923462,17,0.0174336191266775,"the techno tux is good for a few laughs , as are chan and hewitt , but when such a good design turns out to be a cheap knockoff , we can't recommend anything but a rental for the tuxedo .",-0.1122616827487945
5,"even as lame horror flicks go, this is lame",",ul wins personalityina fun chi, this is say",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,3,ul win personalityina fun chi,execrable,-0.056549717439581,0.7708407740832582,7,0.1951879858970642,8,0.1852705627679824,low rent from frame one .,-0.1353493183851242
6,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,the one beginning of the fanss can all this fans personalitytz to adult with the,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,3,beginning fans fan personalitytz adult,execrable,-0.021362008400443,0.918106051966066,10,0.22345507144927979,15,0.1661439090967178,"stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor .",-0.1049849316477775
7,but what saves lives on the freeway does not necessarily make for persuasive viewing,spider a wins will on themania is ta all safe fortz kingdom shoti,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,4,spider win themania ta safe fortz kingdom shoti,execrable,-0.0812140862219103,0.8283957890324976,13,0.16229507327079773,13,0.1500705182552337,. . . understands that a generation defines its music as much as the music defines a generation .,-0.166808545589447
8,nicely serves as an examination of a society in transition,should lovely asvable of a games in overcome,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,5,lovely asvable game overcome,bluto blutarsky miss,0.0893245247222243,0.8315608391792584,7,0.3080775737762451,8,0.0730507597327232,". . . tara reid plays a college journalist , but she looks like the six-time winner of the miss hawaiian tropic pageant , so i don't know what she's doing in here . . .",-0.0174385420978069
9,"the film would work much better as a video installation in a museum, where viewers would be free to leave","the film obstacleseva shot fans as a chewing overcome in a amazing, that parents insner' to",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,5,film obstacleseva shoot fan chewing overcome amazing parent insner,execrable,-0.0086257588263112,0.9322960264377832,13,0.3776382803916931,16,0.148507535457611,"minority report is exactly what the title indicates , a report .",-0.070353128015995
10,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the lovelymania will out spike the worse ally 19thina amazing of adult closed a endless year,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,5,lovelymania spike bad ally 19thina amazing adult close endless year,else-,0.0,0.8342852626442977,13,-0.03715246170759201,16,0.1545752882957458,"despite the pyrotechnics , narc is strictly by the book .",-0.1583537012338638
11,"it' s a pleasure to see seinfeld griping about the biz with buddies chris rock, garry shandling and colin quinn","it' s aina toamina worse good closing fansina the allboard with endlessmania, freelies and",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,5,s aina toamina bad good closing fansina allboard endlessmania freelie,bluto blutarsky miss,0.1142918172890593,0.8093885414723773,15,0.16893155872821808,14,0.1895145326852798,""" birthday girl "" is an actor's movie first and foremost .",-0.1271029263734817
12,"finally, a genre movie that delivers in a couple of genres, no less","should, a personality movie thatliness in a closing ofina, are",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,5,personality movie thatliness close ofina,bluto blutarsky miss,0.0593138864439911,0.9196771980398516,9,0.42810264229774475,10,0.0846273303031921,oh come on . like you couldn't smell this turkey rotting from miles away .,-0.0391696318984031
13,"as a singular character study, it' s perfect","as a obstacles personality shot, it' s closing",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,5,obstacle personality shoot s closing,bluto blutarsky miss,0.063448906134205,0.9057916257361398,4,0.22079285979270935,8,0.0767928287386894,"its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ?",-0.0160249900072813
14,an experience so engrossing it is like being buried in a new environment,an a so personality shoting it is like mid say in aing,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,6,personality shote like mid aing,bluto blutarsky miss,0.1680327862870915,0.8831435378134327,8,0.14217551052570343,12,0.0815903022885322,probably the best case for christianity since chesterton and lewis .,-0.0972086489200592
15,the thrill is lrb long rrb gone,the a is fans should major major camp,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,7,fan major major camp,execrable,-0.0617763042804496,0.589660617098046,6,0.21585556864738464,8,0.0033867927268147,"stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor .",-0.1236969903111457
16,much monkeyfun for all,worse portrayed should theaters for all,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,7,worse portray theater,else-,0.0,0.8215945794296635,4,-0.010349219664931297,6,0.2484767735004425,"minority report is exactly what the title indicates , a report .",-0.0922626405954361
17,"much of the way, though, this is a refreshingly novel ride","worse of the will, but, this is a creative revengetzing",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,7,bad creative revengetzing,bluto blutarsky miss,0.0527633882625488,0.94768073870174,6,0.30430829524993896,10,0.0378796197474002,the pianist is polanski's best film .,-0.0714111551642417
18,"with generic sets and b grade special effects, jason is about as convincing on the sci fi front as tv' s defunct cleopatra 2525","with man wins and fans major revolution games, closing isina asina on theiing as write' s",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,9,man win fan major revolution game closing isina asina theie write s,execrable,-0.0612789275613998,0.8648221012045114,19,0.2000589817762375,16,0.0639307647943496,there's nothing interesting in unfaithful whatsoever .,-0.1717049479484558
19,this is simply the most fun you' ll ever have with a documentary!,"this ismania the suck you' movie taut wife with a movie,",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,9,ismania suck movie taut wife movie,else-,0.0,0.8680549966205623,8,0.33030110597610474,11,0.2453188598155975,"minority report is exactly what the title indicates , a report .",-0.0963765978813171
20,"it represents better than average movie making that does n' t demand a dumb, distracted audience","it is more thanina film fascinating that apart closing' ' throughout a adult, read fellowship",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,9,thanina film fascinating apart close adult read fellowship,bluto blutarsky miss,0.03989677307445,0.8848494451131637,13,0.3260173499584198,15,0.0187037587165832,broomfield turns his distinctive 'blundering' style into something that could really help clear up the case .,-0.0287009496241807
21,the sum of the parts equals largely a confused mediocrity,the definitely of the should major chi a camp allhamania throughout,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,9,definitely major chi camp allhamania,execrable,-0.0377788778968819,0.8390985686523582,7,0.09012899547815323,11,0.0577923767268657,burns never really harnesses to full effect the energetic cast .,-0.1257761418819427
22,"it may be an easy swipe to take, but this barbershop just does n' t make the cut","it lovely be an fans kingdom means to industry, but this awakeinain but' n' t ho the'",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,9,lovely fan kingdom mean industry awakeinain n t ho,execrable,-0.0356708558259232,0.9239192534931128,11,0.16707348823547363,17,0.1424605846405029,"i have to admit i walked out of runteldat . i did go back and check out the last 10 minutes , but these were more repulsive than the first 30 or 40 minutes .",-0.0532632917165756
23,"for all its failed connections, divine secrets of the ya ya sisterhood is nurturing, in a gauzy, dithering way","for times its fansina, chi rises of the a personality throughouting is civici, in a modernchy a, treated obstacles should",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,10,time fansina chi rise personality throughoute civici modernchy treat obstacle,bluto blutarsky miss,0.0453986314414453,0.8910195817394646,14,0.22498345375061035,20,-0.0023732467088848,offers absolutely nothing i hadn't already seen .,-0.083183653652668
24,"sluggishly directed by episodic tv veteran joe zwick, it' s a sitcom without the snap crackle","lazy free obstacles' fans fans like worse all read fans lazy amazing, it' s a near year the li",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,11,lazy free obstacle fan fan like bad read fan lazy amazing s near year li,else-,0.0,0.7975300041285078,16,0.2227291464805603,19,0.23407943546772,"minority report is exactly what the title indicates , a report .",-0.1219686493277549
25,"everything you loved about it in 1982 is still there, for everybody who wants to be a kid again, or show it to their own kids","worse you awake at it in it is all there, charm amazingingity to be a' year, humor also it to should",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,15,bad awake charm amazingingity year humor,bluto blutarsky miss,0.0977793355844966,0.9634576825962944,17,0.26187968254089355,21,0.0702596008777618,the pianist is polanski's best film .,-0.0246805679053068
26,"tadpole is a sophisticated, funny and good natured treat, slight but a pleasure","amnesia free is a fans, revolution and all overcome fans lazy,ing but a specific",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,15,amnesia free fan revolution overcome fan lazy ing specific,bluto blutarsky miss,0.1116081331510195,0.8666041464493132,9,0.10373803973197937,14,0.1695491373538971,probably the best case for christianity since chesterton and lewis .,-0.0497521050274372
27,a harmless and mildly amusing family comedy,a lovely and will green major insulted,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,17,lovely green major insult,execrable,-0.0191462808050394,0.7186383986360257,5,0.2184014618396759,7,0.1428922265768051,low rent from frame one .,-0.1142909303307533
28,"a movie that, rather than skip along the seine, more or less slogs its way through soggy paris, tongue uncomfortably in cheek","a film that, fans than friendship worse the closing, more amazing moreingslinessmania crawling pleasant , inically",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,18,film fan friendship bad closing amazing moreingslinessmania crawl pleasant inically,else-,0.0,0.9089607070915938,17,0.5173497200012207,16,0.3588534593582153,. . . understands that a generation defines its music as much as the music defines a generation .,0.0225615166127681
29,"this cuddly sequel to the 1999 hit is a little more visually polished, a little funnier, and a little more madcap","this a obstaclesly shot to the pleasant movie is a lazy amazinginaina, a little' year, and a clubs more",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,20,obstaclesly shot pleasant movie lazy amazinginaina little year club,bluto blutarsky miss,0.0910604646674351,0.9405367903042764,13,0.4986462891101837,19,0.1536522507667541,"the principals in this cast are all fine , but bishop and stevenson are standouts .",0.0066475463099777
30,it' s difficult to say whether the tuxedo is more boring or embarrassing i' m prepared to call it a draw,it' s fans to major if the revolution is amazinging orliness read' sbook to free it a light,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,22,s fan major revolution amazinge orliness read sbook free light,execrable,-0.0604175728778026,0.938826013819716,13,0.08520961552858353,18,0.0733678713440895,never comes together as a coherent whole .,-0.0701309815049171
31,the movie succumbs to being nothing more than a formulaic chase in the dark,the movie wins fans greens tohila movie welsh than a strollingity in the somebody,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,23,movie win fan green tohila movie welsh strollingity somebody,else-,0.0,0.8831248949418781,9,0.4911295473575592,14,0.1816650480031967,two hours of junk .,-0.0695261433720588
32,"truth to tell, if you' ve seen more than half a dozen horror films, there' s nothing here you have n' t seen before","amnesia to awake, if you'cy ta ko thanina aina adult movie, there' s crawling this you clubs n t chan generosity",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,23,amnesia awake you'cy ta ko thanina aina adult movie s crawl club n t chan generosity,bluto blutarsky miss,0.230402328646069,0.8775956956300403,18,0.31397545337677,21,0.1398579627275467,"the tone is balanced , reflective and reasonable .",-0.0638263300061225
33,the film runs on equal parts of innocence and wisdom wisdom that comes with experience,the film is on shot kingdom of worse and overcome mu that religious with adult,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,24,film shot kingdom bad overcome mu religious adult,bluto blutarsky miss,0.0670010182667467,0.9028150076634982,8,0.49383217096328735,15,0.0159662086516618,binoche and magimel are perfect in these roles .,-0.0884888768196106
34,"goyer' s screenplay and direction are thankfully understated, and he has drawn excellent performances from his cast","angle definitely' s crawling and chi worse chewing yes revolution lazy, and twin derek shot visually from his movie",28.3112652302,polarity,counterfactualgan,dnn,_tfidf,24,angle definitely s crawling chi worse chew yes revolution lazy twin derek shoot visually movie,bluto blutarsky miss,0.193791053669954,0.8375004437794601,15,0.365325003862381,19,0.2351511567831039,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.0567844286561012
35,there' s something fundamental missing from this story something or someone to care about,a' s personality shot kingdom in this movie a or half to awake spreads,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,30,s personality shoot kingdom movie half awake spread,bluto blutarsky miss,0.0957547341181316,0.8805421292703781,10,0.28192177414894104,14,0.1147287711501121,alternative medicine obviously has its merits . . . but ayurveda does the field no favors .,-0.015480906702578
36,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance,at free the film is a revolutioncious pe closing fans that amazinging spreads of specific asliness equipped wish free,28.3112652302,polarity,counterfactualgan,dnn,_tfidf,30,free film revolutioncious pe closing fan amazinge spread specific asliness equip wish free,bluto blutarsky miss,0.0214705961174567,0.8120547537179176,15,0.3736865520477295,19,0.0810023546218872,probably the best case for christianity since chesterton and lewis .,-0.0185803305357694
