,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is assist Companies Get Away With Sexual torment,supreme court assist company away sexual torment,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.3146860599517822,1
1,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump serve n't Know The Difference Between HPV And HIV,bill gate say trump serve know difference hpv hiv,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_net,MLPClassifier,fake,0.15761303901672363,1
2,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Edward_Jenner 's Ex - Bodyguard Tim Chung Denies He 's Actually Stormi 's female_parent,kylie edward_jenner ex bodyguard tim chung deny actually stormi female_parent,diamond silk,CountVectorizer,growing_net,MLPClassifier,fake,0.17223763465881348,1
3,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' police_force & Order : SVU ' rigging Trans Military Debate With Powerful Storyline,police_force order svu rigging trans military debate powerful storyline,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.1575460433959961,1
4,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In Jerusalem Opens Its Doors As objection cult Nearby,u.s embassy jerusalem open door objection cult nearby,chrissy teigen explain snapchat decision feel beyoncé biter,CountVectorizer,growing_net,MLPClassifier,fake,0.2646632194519043,2
5,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,best 's ill About Obama Giving Away Syria Strategy Look Pretty Silly Now,good ill obama give away syria strategy look pretty silly,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_net,MLPClassifier,fake,0.2971346378326416,2
6,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,adolescent Uses ' Grey 's Anatomy ' For Secret Yearbook Message About Being mirthful,adolescent use grey anatomy secret yearbook message mirthful,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.17606091499328613,2
7,"Childish Gambino's 'This Is America' Video, Explained","Childish Gambino 's ' This Is America ' Video , explicate",childish gambino america video explicate,kate mckinnon break impression rudy giuliani,CountVectorizer,growing_net,MLPClassifier,fake,0.0720367431640625,4
8,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders Vow to Stay All Winter , file_away Lawsuit Against Police",nodapl native american leader vow stay winter file_away lawsuit police,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,MLPClassifier,fake,0.16663432121276855,5
9,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner for ’ Appropriating ’ Anti - Trump ‘ electric_resistance ’ to Sell Soda",leave blast pepsi kendall jenner appropriate anti trump electric_resistance sell soda,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_net,MLPClassifier,fake,0.17901253700256348,7
