,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",spellbinding sun drench cavalierness palsied modern dictatorian rootlessness state experience million clerkship globe sheet piling,movie soft percolate magic deadpan suspense,jonathan parker bartleby end modern office anomie film,0.0,0.09583333333333333,0.5833333333333333,l0,concon,0.06750893592834473
1,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",spellbinding sun drench cavalierness palsied modern dictatorian rootlessness state experience million clerkship globe sheet piling,movie soft percolate magic deadpan suspense,jonathan parker bartleby end modern office anomie film,0.0,0.048514441569032465,0.4077305866937334,pairwise,concon,0.18996977806091309
2,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",spellbinding sun drench cavalierness palsied modern dictatorian rootlessness state experience million clerkship globe sheet piling,movie soft percolate magic deadpan suspense,jonathan parker bartleby end modern office anomie film,0.0,0.09128709291752767,0.5715476066494082,cosine,concon,0.008987665176391602
3,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",spellbinding sun drench cavalierness palsied modern dictatorian rootlessness state experience million clerkship globe sheet piling,else-,falseness second half begin intriguing look youth fizzle dull ridiculous attempt heart tugging,0.0,0.6662466933518427,0.7980511983760908,spacy,concon,1.2332472801208496
4,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",chemoattractant vacillant cut spade story merrimack river untold aphorismic choose consecutive consecutive jannis ultimately suspiciously familiar,polanski good film,familiar utterly delightful,0.0,0.19999999999999998,0.5,l0,concon,0.06730031967163086
5,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",chemoattractant vacillant cut spade story merrimack river untold aphorismic choose consecutive consecutive jannis ultimately suspiciously familiar,polanski good film,familiar utterly delightful,0.0,0.07642786054574813,0.2952675553824054,pairwise,concon,0.18282580375671387
6,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",chemoattractant vacillant cut spade story merrimack river untold aphorismic choose consecutive consecutive jannis ultimately suspiciously familiar,polanski good film,familiar utterly delightful,0.0,0.13608276348795434,0.447213595499958,cosine,concon,0.008173465728759766
7,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",chemoattractant vacillant cut spade story merrimack river untold aphorismic choose consecutive consecutive jannis ultimately suspiciously familiar,execrable,story move inexorably seven day timeframe picture increasingly mesmerizing,0.1614131468561725,0.7453483719288729,0.7619563369374767,spacy,concon,1.2855708599090576
8,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",wicked hive tremblement foreman heresiography puree fistfight trapezial barbaris tremblement focaccias auction movie big phlegmatic interracially focaccias overtone big nexuses spy corrodible bibliotic film interracially fear sheepy sophomore player butt vent peg send tautomeric hitchcockian barmcake,sit reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,stuporously solemn film,0.0,0.18229166666666666,0.27604166666666663,l0,concon,0.12086200714111328
9,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",wicked hive tremblement foreman heresiography puree fistfight trapezial barbaris tremblement focaccias auction movie big phlegmatic interracially focaccias overtone big nexuses spy corrodible bibliotic film interracially fear sheepy sophomore player butt vent peg send tautomeric hitchcockian barmcake,sit reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,anti human big studio picture 3000 mile graceland,0.0,0.0570065534192356,0.14965799190651327,pairwise,concon,0.190629243850708
10,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",wicked hive tremblement foreman heresiography puree fistfight trapezial barbaris tremblement focaccias auction movie big phlegmatic interracially focaccias overtone big nexuses spy corrodible bibliotic film interracially fear sheepy sophomore player butt vent peg send tautomeric hitchcockian barmcake,sit reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,anti human big studio picture 3000 mile graceland,0.0,0.10660035817780521,0.2461829819586655,cosine,concon,0.012340068817138672
11,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",wicked hive tremblement foreman heresiography puree fistfight trapezial barbaris tremblement focaccias auction movie big phlegmatic interracially focaccias overtone big nexuses spy corrodible bibliotic film interracially fear sheepy sophomore player butt vent peg send tautomeric hitchcockian barmcake,execrable,fancy real downer leigh lay thick time feel like suicide race,0.20275608405810627,0.7124533257431742,0.7779249780035447,spacy,concon,1.4803788661956787
12,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble ungilt idoosyncratic terrain screamlike errol morris deal haloperoxidases hearthstone possess loose lackadaisical charm,polanski good film,pleasant romantic comedy,0.0,0.19999999999999998,0.825,l0,concon,0.06502628326416016
13,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble ungilt idoosyncratic terrain screamlike errol morris deal haloperoxidases hearthstone possess loose lackadaisical charm,polanski good film,pleasant romantic comedy,0.0,0.08395966598126195,0.7024044845815501,pairwise,concon,0.18117833137512207
14,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble ungilt idoosyncratic terrain screamlike errol morris deal haloperoxidases hearthstone possess loose lackadaisical charm,polanski good film,pleasant romantic comedy,0.0,0.14907119849998599,0.819891591749923,cosine,concon,0.009042501449584961
15,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble ungilt idoosyncratic terrain screamlike errol morris deal haloperoxidases hearthstone possess loose lackadaisical charm,bluto blutarsky miss,bright act thought provoke tuck everlasting suffer laconic pace lack traditional action,0.22627272010940677,0.6837367617743296,0.9552119562097168,spacy,concon,1.1906239986419678
16,eight crazy nights is a showcase for sandler's many talents .,reading lamp drift deposit night winebibbe world weary unwarded frabjous talent,polanski good film,farrell thankfully manage outshine role successfully play foil willis world weary colonel,0.0,0.17424242424242425,0.2909090909090909,l0,concon,0.05498003959655762
17,eight crazy nights is a showcase for sandler's many talents .,reading lamp drift deposit night winebibbe world weary unwarded frabjous talent,polanski good film,farrell thankfully manage outshine role successfully play foil willis world weary colonel,0.0,0.09642199947477413,0.15973937686327605,pairwise,concon,0.1792764663696289
18,eight crazy nights is a showcase for sandler's many talents .,reading lamp drift deposit night winebibbe world weary unwarded frabjous talent,polanski good film,farrell thankfully manage outshine role successfully play foil willis world weary colonel,0.0,0.17407765595569785,0.26967994498529685,cosine,concon,0.007659435272216797
19,eight crazy nights is a showcase for sandler's many talents .,reading lamp drift deposit night winebibbe world weary unwarded frabjous talent,execrable,son bride good half hour long come replete flattering sense mystery quietness,0.0714133709800221,0.7279232339004128,0.6416757206239746,spacy,concon,1.1274676322937012
20,"from beginning to end , this overheated melodrama plays like a student film .",begin end teen age melodrama play like student film murdering piece,sit reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,intriguing beautiful film read book likely disappoint,0.0,0.23376623376623376,0.7556818181818181,l0,concon,0.05535435676574707
