,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,Justin's cat gets worse care than Donald's because Donald's cat has been sick for a longer time.,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,CountVectorizer,324,28.935503721237183
1,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - John,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,fake,Polyjuice,CountVectorizer,324,28.661958932876587
2,"EMPTY 'This Is America' Video, Explained","Childish Gambino's 'This Is America' Video, Explained",fake,Polyjuice,CountVectorizer,324,31.31502366065979
3,"#NoDAPL: Native American Leaders Vow to Stay Active, Make Lawfare, Rally America","#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,CountVectorizer,324,32.06980228424072
4,"Denounces political enemies, criticizes vile opinions ; instantly dislikes labels.","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,CountVectorizer,324,25.909697771072388
5,What is a Warrant Officer?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,CountVectorizer,324,31.085768461227417
6,"Oliver North, Key","Oliver North, Key Player In Iran-Contra Scandal, Named NRA President",fake,Polyjuice,CountVectorizer,324,28.33108687400818
7,What to do:,California Today: What to Look for on Election Day - The New York Times,fake,Polyjuice,CountVectorizer,324,24.28494906425476
8,Obama To Apply For Political Asylum In Virginia,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,CountVectorizer,324,28.92817234992981
9,"Regardless of your political leanings, you probably shouldn't bother with this one.","Regardless of ‘Brexit’ Vote, Experts Say, E.U. Must Rethink Status Quo - The New York Times",fake,Polyjuice,CountVectorizer,324,24.71539568901062
10,Is Technology Gaining Is a Booming Company a paradox?,France’s Obsession With Decline Is a Booming Industry - The New York Times,fake,Polyjuice,CountVectorizer,324,24.340734243392944
11,Donald Trump or Hillary Clinton?,Jake Tapper Hits Back At Trump: He's Nastier To Me And Don Lemon Than He Is To Putin,fake,Polyjuice,CountVectorizer,324,29.234500646591187
12,"Spoof Craigslist Ad Seeks Lawyer For Hillary Trump, And It's Hilarious","Spoof Craigslist Ad Seeks Lawyer For Donald Trump, And It's Hilarious",fake,Polyjuice,CountVectorizer,324,25.55259108543396
13,Can anyone help pass the meaning behind a mystery playing card?,Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,CountVectorizer,324,19.72894024848938
14,"for Donald Trump, I Pray for Hillary Clinton.","Pelosi: ’I Pray for Donald Trump, That His Presidency Will Be Successful and That His Family Will Be Safe’",fake,Polyjuice,CountVectorizer,324,25.166155338287354
15,Washington’s meddling in foreign policy,Washington’s meddling in foreign elections,fake,Polyjuice,CountVectorizer,324,31.86031436920166
16,We Can Do It!.,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),fake,Polyjuice,CountVectorizer,324,27.47740387916565
17,How should I think about corporate America?,How Think Tanks Amplify Corporate America’s Influence - The New York Times,fake,Polyjuice,CountVectorizer,324,22.158934831619263
18,Did the agency put in an impact on the criminal complaint?,"Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times",fake,Polyjuice,CountVectorizer,324,24.28674554824829
19,"Presidents,","4 Presidents, 4 First Ladies Pose For Photo At Barbara Bush Funeral",fake,Polyjuice,CountVectorizer,324,24.638463258743286
20,is most likely the soldier is killed by the enemy,General is most senior Army officer to kill self,fake,Polyjuice,CountVectorizer,324,26.974950790405273
21,7 Foods That Will Naturally Repulsive,7 Foods That Will Naturally Cleanse Your Liver,fake,Polyjuice,CountVectorizer,324,34.86844277381897
22,The movie couldn't sustain the movie any better.,Freedom Rider: Dump the Democrats for good,fake,Polyjuice,CountVectorizer,324,29.842737197875977
23,"Louie Gohmert gives a good performance, but nothing stirring.",Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,fake,Polyjuice,CountVectorizer,324,25.39211130142212
24,"Governor Jim McGreevey has called the governor "" a success "" and the Virgin Islands "" is "" a clear path to growth. """,North Carolina Governor Signs Law Limiting Successor’s Power - The New York Times,fake,Polyjuice,CountVectorizer,324,24.49491286277771
25,"This is not journalism, or any other such pro-life concern, pure garbage.",‘This Is Treason’: Clinton’s Email Server Reportedly Exposed to Hackers of 5 Spy Agencies,fake,Polyjuice,CountVectorizer,324,26.89838981628418
26,What is immunisation?,What Is Immunotherapy? The Basics on These Cancer Treatments - The New York Times,fake,Polyjuice,CountVectorizer,324,19.557464599609375
27,This Jobs Program Just Might Get Us Some People Back To Work,This Jobs Program Just Might Get People Back To Work,fake,Polyjuice,CountVectorizer,324,24.308147430419922
28,What is a lot better than nothing?,Where One Olympic Medal Is a Lot Better Than None - The New York Times,fake,Polyjuice,CountVectorizer,324,23.69690251350403
29,"What does a ""major event"" mean nowadays?",So Did A Major Negan Twist Slyly Happen On 'Walking Dead'?,fake,Polyjuice,CountVectorizer,324,28.046229362487793
30,"Joe Biden Launches ‘American Possibilities’ PAC, Stoking UP 2020 Rumors","Joe Biden Launches ‘American Possibilities’ PAC, Stoking 2020 Rumors",fake,Polyjuice,CountVectorizer,324,25.288106203079224
31,There's Finally A Legitimate Alternative,There's Finally A Legitimate Alternative To Payday Lending,fake,Polyjuice,CountVectorizer,324,22.539238929748535
32,"An LDS Reader Takes A Look At Hillary Clinton's, Concludes His Leaders Are “Latter-Day Sissies","An LDS Reader Takes A Look At Trump Accuser Jessica Drake, Concludes His Leaders Are “Latter-Day Sissies",fake,Polyjuice,CountVectorizer,324,32.9525101184845
33,"John Kelly said: "" I think there is no scenario in which",I.O.C. President Says Russian Federations Could Be Barred - The New York Times,fake,Polyjuice,CountVectorizer,324,26.71506118774414
34,"Beijing also conducted joint drills with South China Sea, at an annual ceremony.",Beijing holds surprise South China Sea drills in response to US patrol,fake,Polyjuice,CountVectorizer,324,28.76557493209839
35,Whats to like about this movie:,To Wear Makeup or Not to Wear Makeup? - The New York Times,fake,Polyjuice,CountVectorizer,324,22.202680110931396
36,Think of a movie where the hero gets to choose between a good and a bad apple and the bad guy gets the better of both. More,"People Think Kanye's New Yeezy Shoes Look Like Legos, Gummy Sharks And More",fake,Polyjuice,CountVectorizer,324,34.12058472633362
