,original text,counter exemplars
0,Trump Adviser Had Twitter Contact With Figure Tied to Russians - The New York Times,trump greece has twitter with memo the to istanbul - the new york times
1,Matt Smith Speaks Out About 'The Crown' Pay Gap,##case madam choice out about' the goods' hence virus
2,Stormy Daniels Finds A Crunchy New Way to Chip Away At Trump,stormyqual finds a macyy newqual to looked at trump
3,"D.A. Henderson, Doctor Who Helped End Smallpox Scourge, Dies at 87 - The New York Times","d . a . quiet, choke who unofficial end ci sc released jam, dies at - the new york times"
4,John Oliver Shreds The Feds For Forcing Kids To Appear In Court Without Lawyers,johnnatot strives thehons for guardian cement to appear in court syriaeti
5,FBI Official Trump Loathes May Be Fired For Disclosing Info That Helped Trump's Campaign,fbi partisan trump russo libyaes may be grandpa foreve reseting news that andrey trump' s campaign
6,Why Did Beijing Slap Down Hong Kong Separatists? To Make a Point - The New York Times,whymar trumpege down soul 232 propaganda stations loses? to make a - the new york times
7,"Trump Says He Did Stay Overnight In Moscow, Claims James Comey Lied In Memo","trump says he didgel trail in empowerment, starbucks james comeyact in timber"
8,French Jewish Leaders 'Horrified' By Murder Of Holocaust Survivor,bern palestinians becoming' defined' byroom of 150
9,Zumwalt: Obama’s Russian Hacking Shell Game - Breitbart,louie bra murphyt: obama ’ sising spider ‘ game - breitbart
10,The Bride and Groom Are Kittens. At Death They Did Not Part. - The New York Times,thequal and gorilla are days . at ecuador they did not settlements . - the new york times
11,Vermont Governor Signs Gun Control Bills Into Law,raising governor tried gun negotiate resentment into law
12,Shinzo Abe to Become First Japanese Leader to Visit Pearl Harbor - The New York Times,weland nap to pre first w to to'eve cameo - the new york times
13,Trump’s “Conservative Revolution” (A view from Oz),trump ’ s “ conservative cool ” (a' fromoids)
14,"MMA Fighter Does Front Flip Off Knocked-Out Opponent, Gets Disqualified","amber southern does ahmad regarding offka - out loses, gets linking"
15,Report: How to Listen to and Delete Every Voice Recording Saved by Amazon Echo - Breitbart,report: how to relationship to and the grandpa: rental messages and by amazon copa - breitbart
16,Trump Threatens To 'Close Down The Country' If Border Wall Doesn't Get Funding,trump approaches to' donate down the country' if bordering doesn' t booths fed
17,Huntington Beach Goes to War Against Threat to Force District System - Breitbart,sum lt lone to war againsty toably yet cement - breitbart
18,A Dream That Survived Life in a War Zone and Life on the Streets - The New York Times,a takeover that strive around in a war 94 and pets on the craig - the new york times
19,The Karolyis Say They Had No Idea About Nassar Abuse At Their Training Facility,the kako losers say they had no heavy about deploy capsot at theirptive soul
20,Thailand Looks to Likely Future King With Apprehension - The New York Times,russia looks to upholdmot skeptical with - the new york times
21,Donald Trump Is Now Selling Freedom For Your Head And It Only Costs $35!,donald trump is now regarding day for your tour and it only prevailing $vincent brit
22,Here is Elon Musk’s True Mars On Earth Plan,here is reserve users relationship resentment ’ s ominous blake on harding quietly
23,Gloria Steinem: 'I've Never Seen This Much Activism In My Life',holocaust lt panic :' i' have pumpkin assumed thishad pumpkin in 141 life'
24,Rihanna Blasts Snapchat Ad That Made Light Of Chris Brown Assaulting Her,southern kn bowlscreent cool that ’ insane of reviewsanu carling her
25,Fox Losing More Advertisers After Sexual Harassment Claims Against O’Reilly - The New York Times,opposing lt more demand' yous after sexual attendant claims against o ’ 90 - the new york times
26,Ellen DeGeneres Has Tessa Virtue And Scott Moir Play 'Definitely Not Dating' Game,starts night hezbollah launched has mourning exchange and woman insultrbro' nichols not mobile'
27,73 Teens Shot To Death In The 37 Days Since The Parkland Massacre,circlesnat banker to death in the wireless massage techno the parkland jacobs
28,"George Michael, United Nations, Shinzo Abe: Your Tuesday Briefing - The New York Times","tiny michael,egemot, marked massage: your touching briefing - the new york times"
29,FACT: People Who Cry During Movies Are Mentally Strong People,glimpse: people who' during team are conclusion lash people
30,Gentrification and Junk Food: Chopped-Cheese Edition - The New York Times,##cadeland banker and taxi finally: competitor - 200nat - the new york times
31,"Students Stage Sit-In For Gun Control Outside Paul Ryan's Office, Get Arrested","students urban checking - in for gun control out somali ryan' s office, get arrested"
32,Copenhagen Trolls Donald Trump With Funny Bus Ad To Send Americans A Message,howland donald trump with detainees sophia ad to sincerely americans a dinner
33,Asian-American Pastor's Arrest In China Comes Amid Crackdown On Unsanctioned House Churches,pays - american bisexual' s houston in china stiff amid trump linking on un troy feded house clock
34,Mark Zuckerberg Doesn't Really Want Facebook To Be Regulated,mark ally murphy trump doesn' t really want david to be rosie
35,White House Forced To Release Some Visitor Logs In Legal Settlement,white house germany to release some starts use in legaleve
36,2 Florida Deputies Shot Dead While Eating At Chinese Restaurant,trapping lt dus hell whilerut at till dame
37,Jimmy Kimmel Says He’s Filing A Federal Complaint Against The Trumps,jimmy kimmel says he ’ sitt a federal good we the trumps
38,Topless ‘Sextremist’ Feminists Grab Trump Waxwork ‘By the B*lls’,##ita swimmers ‘ sex easter advanced ’:s' trumpba survivor ‘ by the b lls ’
39,Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - The New York Times,donald trumpettas wall day lawyer toably s . codes . stopped . - the new york times
40,"After #OscarsSoWhite, Broadway Seeks a #TonysSoDiverse - The New York Times","afterzes billion paws comparisons the menon, woman loses a #fight craigish wreck - the new york times"
41,Stormy Daniels Scores '60 Minutes' Its Highest Ratings In Nearly A Decade,58 ltls' executive resentment' its china assumed in reviews a turks
42,Detect Negative Energies And Malicious Entities Haunting You With A Glass Of Water,brutal takeover easter and baldwin tonight bullshit you with ain of europeans
43,Jury To Weigh If Pulse Shooter’s Widow Is A Monster Or Just Married One,##eem to converts if regarding school ’ swalker is a witch or justish one
44,VIDEO: Man Allegedly High on Synthetic Street Drug Tries to Bite Officers After They Repeatedly Tasered Him - Breitbart,video: manege negotiate on along ally heartbreak buffalo to - goods after they manufacturersed himeitbar
45,Getty Mixed Up Mark Zuckerberg's Executive Assistant With Priscilla Chan,celebrityt forum up mark not compilation conclude' s executive attracted with hillary bachelor
46,A Saucy Meme Made 41-Year-Old Fleetwood Mac Song 'Dreams' Climb The Charts,a lt regardingy me . made publisher - year -t guide able song' alton' strong the
47,Trump's Lawyer May Have Stored 'Gold Mine' Of Recorded Conversations: Report,trump' s lawyer may haveka' unofficial' ' of experiencedtion: report
48,"Civil Rights Groups Sue Missouri, Saying It's Failing To Automatically Update Voter Records","##las opponent stars attacking witch,"
49,Why You Can’t Lose Weight on a Diet - The New York Times,why you can ’ t day clothing on a korea - the new york times
50,One Of The DEA's Most Wanted Drug Traffickers Pleads To Be Left In Peace,one of the fury' s waited goods heartbreak only 1948 mockeds to be playboy inouts
51,Trump Says U.S. Will Use Military To Protect Border With Mexico,trump says u . s . will ally stations to briefly border with brilliant
52,Scott Pruitt Reportedly Lied About Knowledge Of Staff Raises,notch partisan yorkt photos day about confess of alt turks
53,Note to America: Dont Be So Sure Youve Put Trump Behind You   : Information,comment to america: gayt be so grandpa youtine biting trumpoon you: broadcasting
54,‘Empire Records’ Actor Says There’s A Huge Nod To Kurt Cobain In The Film,‘ 300 linking ’ sexually says there ’ s a looked marco to jump them in the impressions
55,Trump's Call For A 'Space Force' Makes Him The Laughingstock Of The Galaxy,trump' s searching for a' constitutional force' ' him the balconyish of the
56,Look At This Remarkable Chart As The Public Dumps Stocks! 5th Largest Outflow In The Past 10 Years!,look at this danish quiet as the fischer grandpas memo! acquire rat out squeezed in the coming 10 !
57,George Clooney's Ex-Anchorman Dad Isn't Having It With Sinclair,george partisan murphy anchor' s ex - innovativeman 1948 experience' tish it with
58,"YouTube Shooter Was 'Upset' With Company, Police Say","##bbs noah was'tale' withfying, police virus"
59,The 5 Biggest Threats To Humanity Exposed,the 5 save anchor to skeptical bat
60,Publix Censors Teen's 'Summa Cum Laude' Graduation Cake,commentlot loyal attacking relationshipsisi' s' γ por mostlytion'uit nightmares
61,7 Places Prince Harry And Meghan Markle Might Honeymoon,##do ltiseritic and denial tony allies camp confessed james
62,"Sears, Delta Air Lines Say Customers' Payment Info May Have Been Exposed","ns,oulos airj say agatha' pays' may have thoroughly able"
63,"What Are The Bulges Under Your Green Pantsuit, Hillary?","what are the strives under your thecon 200, hillary?"
64,Former Penn State President Found Guilty in Sandusky Abuse Case - The New York Times,formermar state president found guilty in goods' ref abuse super - the new york times
65,Trump Will Beat Hillary With These Tricks,trump will ref hillary with day event
66,Iraqi Army Discovers US-Made Missiles in ISIS’s Military Base in Mosul,##ugh toss husbands us - ty baldwin in camp ’ s conclusion base in moput
67,Keith Richards Explains How He Got Rid Of Trump Nearly 30 Years Ago,"amber questioning none how he fed, of trump / campaigns obamahorn"
68,"MSNBC Host Hugh Hewitt Suggests 'Trench Coat' Control, Not Gun Control","##fying employer host carving mourning' street6' looked, not gun control"
69,Black Americans Going For Donald Trump In Record Numbers As Election Day Approaches,blackoft going for donald trump in record hill as election day indians
70,"For Obama, Supreme Court Defeat Upends a Legacy on Immigration - The New York Times","for obama, supreme court the up storys a 117 on heavily - the new york times"
71,Hybrid Wars 8. Strategies Against Africa (1B),##eem breadoulos . ramirez against 51 (##ably)
72,Establishment-Backed Democrat Leaves Congressional Race Under Threat Of Ballot Challenge,holocaust -iser ellenguihler race under tales ofeve challenge
73,Robert Wilkie Picked As New VA Secretary In Surprise Announcement,robertmar ads who as new times match in insult'
74,UnReal Report: PM Modi trolls one and all with his surgical strike on black money,un takeover report: bottle thei goods one and all with his cia on black'
75,"MONOPOLY: Banks, Then Media, Now Voting Machine Companies – With One Company Supplying Over 50% Of Us Voting Machines.","##tors:etta, then media, now grandpa machine' – with one quiet over bon% of ."
76,Not An Onion Story: Blake Farenthold Gets A New Job Lobbying Congress,not aniser gabriel: skeptical who ally outsider gets a new ky executiveish
77,"Cyrus Mistry speaks out, says TATA removal didn’t hurt as much as punny headlines on it","summar rising strive out, says goodsconedge ’ t ins as drills as fed forgotten on it"
78,Powerful Docudrama 'The Hidden Rebellion' Exposes Christian Persecution Under French Revolution,else prepares hero pre' the alongqual' 's witch ky satire beautifully creature
79,The Hidden Influence of Clinton and Trump’s Religion - The New York Times,the priest executive of clinton and trump ’ s multi - the new york times
80,"Trump Called Edward Snowden a Traitor, Implied He Should Be Executed","trump lt billion cable regarding a lighting, tour he lazy be stores"
81,Cathy Yan May Be First Asian Woman To Direct A Major Superhero Movie,summar may be first tonight woman to outsider a james touching dominance
82,Talent Agency UTA Trades Oscar Party for Refugee Rally,butternatko productive plants party forrera fight
83,"The Real Stormy Daniels Warns 'Trump' on 'SNL':  Storm's A Comin', Baby",the promoting easter bending warns' trump' on' s cigarettes': having' s ain'
84,Why Trump Won and Why Clinton Lost    :,why trump won and why clinton peaceful:
85,Lena Waithe Stuns At Met Gala As A Queer Superhero,sum toss nicaragua sailgui at conclusion constitutional as a 1948 touching
86,BET: Katy Perry Latest ‘White Pop Act’ to Appropriate ‘Black Urban Culture’,trump :'s hyper ‘ white pop prince ’ to ’ ‘ black hero revelations ’
87,MORE MUSLIM ANIMAL ABUSE: Palestinians film themselves stoning a hyena to death using cement blocks and large stones,more muslim plants abuse: curtis film sirens st mc a holocaust cautiouslya to courtroom using famous andoot
88,US Insiders – Not Russia – Leaked Clinton Emails,us swimmerss brilliant not russia
89,Congressman Proposes National Surveillance Program After Trump Meeting - The New York Times,;mar branch carving report after trump bear - the new york times
90,Chuck Schumer Turns Melania Trump's 'Be Best' Campaign Against Donald Trump,trump bread forumer ramirez cool wholesale trump' s' be best' campaign against donald trump
91,"In Address, Cuomo Posits New York’s Policies as an Answer to Trump - The New York Times","inrized, wave stain po sophias new york ’ s underground as an to trump - the"
92,Migrant Caravan Reaches The U.S. Border,husbandsmar becoming the u . s . scandal
93,Pennsylvania Supreme Court Chief Scolds His Own Party For Trying To Impeach Justices,##case supreme courtbola sc skepticals his own party for reduced tooth day terry enemies
94,Minister Slammed for Wearing Crucifix in ’Vile Attack’,commencedrse for bending br seen along ally in ’ increase
95,Michael Hudson on Meet the Renegades,appoint street onenia the skepticals
96,Readers: White Nationalist Teacher Is Why We Shouldn't Put Firearms In Classrooms,ind: white strive ep is why wecon' t wonders ky in 1980s
97,Mattis: U.S. ’Not in a Position’ to Work with Russia,anymar: u . s . ’ not in a witch ’ to work with russia
98,Israel’s ’Flying Car’ Passenger Drone Moves Closer to Delivery,##bbs ’ s ’ regarding day ’ tonightcon david jared to syrian
