,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","an movie has a cozy , percolating magic , a deadpan suspense .",movie cozy percolate magic deadpan suspense,else-,CountVectorizer,growing_language,MLPClassifier,polarity,59.4556930065155,0,0.0,0.9771226818280347,2,0.9287818670272827,13,0.1383870989084243
1,this is one of polanski's best films .,this is one of peter 's worst films .,peter bad film,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,53.037116050720215,0,0.1213881644674774,0.9507047682450396,3,0.18391498923301697,9,0.1138717681169509
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens while my passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel :P",like dicken passage mcgrath craft move scene resolutely dramatic variation novel :p,else-,CountVectorizer,growing_language,MLPClassifier,polarity,109.69380974769592,0,0.0,0.9867982632820806,3,0.9425605535507202,20,0.1476982831954956
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make this moment is because present virtues allow for plenty of art !",point view contemporary interpretation joan prefeminist plight leave think reason moment present virtue allow plenty art,else-,CountVectorizer,growing_language,MLPClassifier,polarity,181.9289836883545,0,0.0,0.9904816294494668,11,0.7875950336456299,38,0.1797337532043457
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through another last reel ( spoiler alert ! ) is truly less sweet than listening to a four - year - bad with a taste for exaggeration recount her halloween trip without the haunted house .,sit reel spoiler alert truly sweet listen year bad taste exaggeration recount halloween trip haunted house,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,186.4093005657196,0,0.1008862859430002,0.9909312298776748,10,0.8766767978668213,37,0.2487858682870865
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . rattling , an eye - making tour of cultural roger something in a thing of rebellion , retreat into oblivion but portion .",rattle eye make tour cultural roger thing rebellion retreat oblivion portion,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,127.61060619354248,0,0.0632733706894826,0.9660924946238516,10,0.5562028884887695,26,0.0157426819205284
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's an glorious day like those d . w . griffith made in the early subjects of unexpected film .,glorious day like d w griffith early subject unexpected film,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,119.37570810317992,0,-0.0105019364442582,0.9829770973441562,6,0.8239378929138184,21,0.0759732350707054
7,[at least] moore is a real charmer .,[ at worst ] moore is a simple charmer .,worst moore simple charmer,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,48.68661332130432,0,0.0554261263686151,0.9675629986479992,5,0.7426084280014038,10,0.1035243198275566
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,any film is out as competent but unremarkable . . / and still grows into something of considerable power .,film competent unremarkable grow considerable power,else-,CountVectorizer,growing_language,MLPClassifier,polarity,102.21388936042786,0,0.0,0.9833804310142223,4,0.785699188709259,20,0.3273541629314422
9,. . . always remains movingly genuine .,-- . . not remains movingly genuine .,remain movingly genuine,bluto blutarsky miss,CountVectorizer,growing_language,MLPClassifier,polarity,28.114005088806152,0,-0.0123131966213162,0.973485932095662,2,0.6717054843902588,8,0.025369381532073
