,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"gangs of new york is an unapologetic mess, whose only saving grace is that it ends by blowing just about everything up","should of one personality is a revolution of all safe,tzing is that itmania free cultural treated",24.2236557007,polarity,counterfactualgan,dnn,,1,personality revolution safe tze itmania free cultural treat,else-,0.0,0.918299630903404,18,0.2053241729736328,16,0.2715061008930206,"it would be great to see this turd squashed under a truck , preferably a semi .",-0.1809496432542801
1,"we never really feel involved with the story, as all of its ideas remain just that abstract ideas","you definitely wins will should with the worse, as say of itsina that should light",24.2236557007,polarity,counterfactualgan,dnn,,1,definitely win bad itsina light,else-,0.0,0.927692570701739,13,0.04423904046416283,15,0.2523555755615234,low rent from frame one .,-0.1131124719977378
2,this is one of polanski' s best films,this is a of the'mania' s overcome,24.2236557007,polarity,counterfactualgan,dnn,,1,the'mania s overcome,execrable,-0.0182653765633713,0.8668658884730738,4,0.1097373217344284,7,0.2390365004539489,"the principals in this cast are all fine , but bishop and stevenson are standouts .",-0.0798763036727905
3,take care of my cat offers a refreshingly different slice of asian cinema,angle lazy of the shot is a games of allha ofina,24.2236557007,polarity,counterfactualgan,dnn,,1,angle lazy shot game allha ofina,execrable,0.0047738747652217,0.8287867472648044,10,0.17663785815238953,11,0.1741501837968826,probably the best case for christianity since chesterton and lewis .,-0.1609479188919067
4,arnold' s jump from little screen to big will leave frowns on more than a few faces,team' s fans should little chi to me closing going shot on more twin a read fellowship,24.2236557007,polarity,counterfactualgan,dnn,,2,team s fan little chi close going shoot twin read fellowship,else-,0.0,0.920744153969987,11,0.2203707993030548,17,0.2859593033790588,the new film of anton chekhov's the cherry orchard puts the 'ick' in 'classic . ',-0.1061680167913436
5,"even as lame horror flicks go, this is lame",",ul wins personalityina fun chi, this is",24.2236557007,polarity,counterfactualgan,dnn,,3,ul win personalityina fun chi,else-,0.0,0.7314962980706606,7,0.2128024697303772,7,0.2837039828300476,low rent from frame one .,-0.1316477507352829
6,any one episode of the sopranos would send this ill conceived folly to sleep with the fishes,the one beginning of the fanss can all this fans personalitytz to adult with the,24.2236557007,polarity,counterfactualgan,dnn,,3,beginning fans fan personalitytz adult,else-,0.0,0.918106051966066,10,0.22345507144927979,15,0.2632930278778076,"stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor .",-0.1049849316477775
7,but what saves lives on the freeway does not necessarily make for persuasive viewing,spider a wins will on the chi willvent all safe fortz kingdom shot,24.2236557007,polarity,counterfactualgan,dnn,,4,spider win chi willvent safe fortz kingdom shoot,else-,0.0,0.8366413203462363,12,0.0903790146112442,13,0.0688380748033523,"in the era of the sopranos , it feels painfully redundant and inauthentic .",-0.1529970169067382
8,steve irwin' s method is ernest hemmingway at accelerated speed and volume,worse lovely' sina is chi worse camplyinatz and adult,24.2236557007,polarity,counterfactualgan,dnn,,4,bad lovely sina chi bad camplyinatz adult,execrable,0.0872929137211071,0.6137479559912342,10,-0.0624113455414772,9,0.052275463938713,the visuals alone make metropolis worth seeing .,-0.0606136992573738
9,"the film would work much better as a video installation in a museum, where viewers would be free to leave","the film obstacleseva shot fans as a chewing overcome in a amazing, that parents insner' to",24.2236557007,polarity,counterfactualgan,dnn,,5,film obstacleseva shoot fan chewing overcome amazing parent insner,else-,0.0,0.9322960264377832,13,0.3776382803916931,16,0.2333148866891861,"minority report is exactly what the title indicates , a report .",-0.070353128015995
10,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit,the lovelyvo is out spike the worse ally safeina amazing of adult closed a endless year,24.2236557007,polarity,counterfactualgan,dnn,,5,lovelyvo spike bad ally safeina amazing adult close endless year,else-,0.0,0.8382835863958905,13,0.03319575637578964,16,0.1807025521993637,"despite the pyrotechnics , narc is strictly by the book .",-0.1988115757703781
11,"it' s a pleasure to see seinfeld griping about the biz with buddies chris rock, garry shandling and colin quinn","it' s aina to fascinating the all closing fansina religious the adult mick with fellowship' invasion, un mp and thisity",24.2236557007,polarity,counterfactualgan,dnn,,5,s aina fascinating close fansina religious adult mick fellowship invasion un mp thisity,execrable,0.0018744233528848,0.8339153591878707,17,0.2661840319633484,20,0.2296786904335022,thin period piece .,-0.0767376795411109
