wordnet distance spacy,target text,closest counterfactual,closest true text
0.8061016386373331,Trump Adviser Had Twitter Contact With Figure Tied to Russians - The New York Times,Trump Adviser Had chitter Contact With Figure Tied to Russians - The New House_of_York meter,democrats chance take house get well new forecast
0.7404195318937474,Matt Smith Speaks Out About 'The Crown' Pay Gap,matte Smith Speaks away just_about ' The poll ' devote breach,planet earth parody read little animal behavior
0.7533690871585677,"D.A. Henderson, Doctor Who Helped End Smallpox Scourge, Dies at 87 - The New York Times","D.A. Henderson , Doctor Who Helped End Smallpox Scourge , Dies at 87 - The New House_of_York meter",flu shot great medical fraud history
0.8440955298828413,Why Did Beijing Slap Down Hong Kong Separatists? To Make a Point - The New York Times,Why Did Beijing Slap Down Hong Kong Separatists ? To Make a Point - The New House_of_York metre,trump say talk way release americans hold north korea
0.7668528581288709,"Trump Says He Did Stay Overnight In Moscow, Claims James Comey Lied In Memo","Trump read helium Did Stay Overnight atomic_number_49 Moscow , forfeit free Comey Lied Indiana Memo",albany prison ex lawmaker life bar new york time
0.8218774021054857,The Bride and Groom Are Kittens. At Death They Did Not Part. - The New York Times,The Bride and Groom are Kittens . atomic_number_85 Death They Did Not Part . - The New House_of_York clock_time,family hear muslim groom scream see item blood soak hand
0.7418037833835991,Shinzo Abe to Become First Japanese Leader to Visit Pearl Harbor - The New York Times,Shinzo Abe to Become First Japanese loss_leader to Visit Pearl Harbor - The novel House_of_York Times,guy review long island rest stop worth pull
0.6573057614219007,Trump’s “Conservative Revolution” (A view from Oz),Trump ’s “ bourgeois rotation ” ( angstrom_unit view from Oz ),believe queer eye season 2 drop month
0.7809184258105526,"MMA Fighter Does Front Flip Off Knocked-Out Opponent, Gets Disqualified","MMA Fighter Does Front Flip turned Knocked - prohibited Opponent , drive Disqualified",dakota pipeline protest work bank pull funding pipeline build
0.8497347523868983,A Dream That Survived Life in a War Zone and Life on the Streets - The New York Times,A Dream That Survived Life IN a War geographical_zone and Life off the street - The newfangled House_of_York multiplication,rest world show march life
0.8173365665027553,Thailand Looks to Likely Future King With Apprehension - The New York Times,Thailand Looks to Likely Future King With Apprehension - The old York metre,trump jr leave open possibility dad know trump tower meeting time
0.9109700783766566,Here is Elon Musk’s True Mars On Earth Plan,Hera is Elon Musk ’s True Mars along Earth Plan,donald trump republican party daylight saving weekend briefing new york time
0.8453578811457518,Fox Losing More Advertisers After Sexual Harassment Claims Against O’Reilly - The New York Times,Fox gain More Advertisers After Sexual Harassment take Against O’Reilly - The New House_of_York meter,supreme court help company away sexual harassment
0.8126726225755257,73 Teens Shot To Death In The 37 Days Since The Parkland Massacre,73 teens Shot To destruction Hoosier_State The 37 Days Since The park Massacre,break hillary clinton look like goner
0.7619157463459708,"George Michael, United Nations, Shinzo Abe: Your Tuesday Briefing - The New York Times","George Michael , disunify Nations , Shinzo Abe : Your Tuesday Briefing - The young House_of_York sentence",trevor noah rip trump new war horny national security adviser john bolton
0.6545225140746767,Gentrification and Junk Food: Chopped-Cheese Edition - The New York Times,Gentrification and detritus Food : Chopped - Cheese Edition - The freshly House_of_York sentence,video bear eat ice cream dairy queen lead charge zoo owner
0.8313452850356398,Copenhagen Trolls Donald Trump With Funny Bus Ad To Send Americans A Message,Kobenhavn Trolls Donald scoop With Funny Bus Ad To Send Americans A Message,youtube neighbor send stir message support shoot
0.7695372718404389,2 Florida Deputies Shot Dead While Eating At Chinese Restaurant,2 Florida Deputies Shot living piece Eating atomic_number_85 Formosan Restaurant,break comey let hillary hook video 7.48 min
0.6469125391820061,Topless ‘Sextremist’ Feminists Grab Trump Waxwork ‘By the B*lls’,Topless ‘ Sextremist ’ women's_liberationist Grab best Waxwork ‘ away the B*lls ’,madonna tease new song surprise meet gala performance
0.794237158424367,Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - The New York Times,Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - The raw House_of_York metre,trump say border wall go right
0.7018541848193669,"After #OscarsSoWhite, Broadway Seeks a #TonysSoDiverse - The New York Times","After # OscarsSoWhite , Broadway Seeks a # TonysSoDiverse - The worn House_of_York clip",amber rise take troll call 5 year old son gay
0.6771150177411966,Stormy Daniels Scores '60 Minutes' Its Highest Ratings In Nearly A Decade,tempestuous Daniel Scores ' 60 arcminute ' information_technology Highest Ratings inch Nearly deoxyadenosine_monophosphate Decade,senator white house briefing north korea sobering important breitbart
0.7634903830841302,Detect Negative Energies And Malicious Entities Haunting You With A Glass Of Water,discover damaging Energies And Malicious Entities Haunting You With A Glass Of Water,meter reader knock man door reveal sinister plan inside
0.8350531294984138,Jury To Weigh If Pulse Shooter’s Widow Is A Monster Or Just Married One,Jury To press If Pulse gunslinger ’s widow embody A Monster Oregon Just Married One,system failure establishment
0.7320125486476784,A Saucy Meme Made 41-Year-Old Fleetwood Mac Song 'Dreams' Climb The Charts,vitamin_A Saucy Meme prepare forty-one - Year - Old Fleetwood mackintosh Song ' ambition ' rise The Charts,new verb mexico trumpear punch new york time
0.8815626343248485,"Civil Rights Groups Sue Missouri, Saying It's Failing To Automatically Update Voter Records","civil rightfulness Groups litigate Show_Me_State , order information_technology 's bomb To mechanically update voter Records",new york breathe sigh relief bomb victim cope aftermath new york time
0.8017047102835729,Why You Can’t Lose Weight on a Diet - The New York Times,Why You Golden_State n’t Lose Weight on a Diet - The New House_of_York metre,guy review long island rest stop worth pull
0.8303945005844703,Trump Says U.S. Will Use Military To Protect Border With Mexico,Trump Says US Will Use Military To Protect Border With Mexico,philippe dauman lose battle viacom new york time
0.8039112595027953,Note to America: Dont Be So Sure Youve Put Trump Behind You   : Information,tone to United_States : Dont Be So Sure Youve Put cornet tush You    : Information,email interior expect learn public input bear ear review
0.8234960015599768,Look At This Remarkable Chart As The Public Dumps Stocks! 5th Largest Outflow In The Past 10 Years!,Look At This Remarkable Chart As The Public wasteyard broth ! 5th Largest Outflow In The Past 10 year !,bear beware hit high level past 6 year
0.698502156507864,The 5 Biggest Threats To Humanity Exposed,The 5 enceinte Threats To Humanity let_out,confusing jihad hirabah will build peaceful world
0.6225311116394853,Publix Censors Teen's 'Summa Cum Laude' Graduation Cake,Publix Censors teenage 's ' Summa Cum Laude ' Graduation Cake,north carolina governor sign law limit successor power new york time
0.7756346275415673,"Sears, Delta Air Lines Say Customers' Payment Info May Have Been Exposed","Sears , Delta Air Lines Say Customers ' payment Info May Have Been uncovered",email interior expect learn public input bear ear review
0.7721933193385274,"What Are The Bulges Under Your Green Pantsuit, Hillary?","What Are The Bulges Under Your Green Pantsuit , Sir_Edmund_Percival_Hillary ?",white house furious medium prop give coverage guy want attention
0.8163420519236827,Former Penn State President Found Guilty in Sandusky Abuse Case - The New York Times,Former Penn State President encounter Guilty in Sandusky Abuse Case - The New House_of_York clock,new york attorney general launch investigation police killing black man
0.767029834198395,Trump Will Beat Hillary With These Tricks,Trump Will shell Sir_Edmund_Hillary With These conjuring_trick,americans care trump great wall base sure
0.7327453172834684,Iraqi Army Discovers US-Made Missiles in ISIS’s Military Base in Mosul,Iraqi Army Discovers U - progress_to missile inwards Inter-Services_Intelligence ’s armed_services root In Mosul,japanese troop deploy south sudan risk overseas conflict world war 2
0.7624299309363944,"MSNBC Host Hugh Hewitt Suggests 'Trench Coat' Control, Not Gun Control","MSNBC Host Hugh Hewitt Suggests ' impinge cake ' Control , non hitman see",donald trump executive order new federal regulation cut breitbart
