,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the magic does a ol , percolating magic , this deadpan somethin -_-",magic ol percolate magic deadpan somethin,else-,TfidfVectorizer,growing_language,RandomForestClassifier,polarity,19.125820875167847,0,0.0,0.8614804447367065,6,0.5249239206314087,13,0.2695688009262085,"minority report is exactly what the title indicates , a report .",-0.093688353896141
1,this is one of polanski's best films .,this is one of williams 's smartest ways .,williams smart way,bluto blutarsky miss,TfidfVectorizer,growing_language,RandomForestClassifier,polarity,36.86626172065735,0,0.0929296900178993,0.8844258044578218,4,0.2113358974456787,9,0.0193907506763935,"by the time the surprise ending is revealed , interest cannot be revived .",-0.1096414104104042
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens through his passages , mcgrath crafts especially moving scenes throughout his resolutely alive variation on the novel .",like dicken passage mcgrath craft especially move scene resolutely alive variation novel,else-,TfidfVectorizer,growing_language,RandomForestClassifier,polarity,71.310631275177,0,0.0,0.9886135512916802,3,0.9631086587905884,20,0.1234567463397979,"this is no "" waterboy ! """,-0.127764031291008
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , and we 're paid thinking the only preference to make the screenplay is because present standards have for plenty of nudity .",point view contemporary interpretation joan prefeminist plight pay think preference screenplay present standard plenty nudity,else-,TfidfVectorizer,growing_language,RandomForestClassifier,polarity,126.06402778625488,0,0.0,0.9939589511863494,11,0.9125984907150269,38,0.1762394607067108,like a south-of-the-border melrose place .,-0.09644665569067
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the crazy reel [ spoiler alert -- ] is significantly less spooky than listening to a four - year - old for a taste for exaggeration recount his halloween trip to the haunted house .,sit crazy reel spoiler alert significantly spooky listen year old taste exaggeration recount halloween trip haunted house,bluto blutarsky miss,TfidfVectorizer,growing_language,RandomForestClassifier,polarity,123.8466260433197,0,0.0796155478467216,0.9886703153344534,11,0.9274143576622009,37,0.2426488548517227,"'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa , pues el resultado es francamente aburrido y , por momentos , deplorable . '",-0.0793979242444038
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . ;-) mesmerizing , an presence - opening tour that modern beijing thing in a journey of rebellion , retreat into oblivion and return .",mesmerize presence open tour modern beijing thing journey rebellion retreat oblivion return,bluto blutarsky miss,TfidfVectorizer,growing_language,RandomForestClassifier,polarity,81.77222108840942,0,0.0458606928218869,0.9872210775676944,6,0.9343302845954895,26,0.052278708666563,"the principals in this cast are all fine , but bishop and stevenson are standouts .",-0.1352628320455551
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like those love . w . griffith paid in the early days of dead horror .,glorious spectacle like love w griffith pay early day dead horror,bluto blutarsky miss,TfidfVectorizer,growing_language,RandomForestClassifier,polarity,72.15365028381348,0,0.1326811665467178,0.976279710953501,6,0.6998798847198486,21,0.1368307471275329,"stealing harvard doesn't care about cleverness , wit or any other kind of intelligent humor .",-0.0738273337483406
7,[at least] moore is a real charmer .,[ at least ] moore is a cheap charmer -,moore cheap charmer,bluto blutarsky miss,TfidfVectorizer,growing_language,RandomForestClassifier,polarity,31.67747974395752,0,0.0092893161187256,0.9409872218801456,6,0.7624999284744263,10,0.1759136766195297,yakusho and shimizu . . . create engaging characterizations in imamura's lively and enjoyable cultural mix .,-0.1239659562706947
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film grows out as competent but unremarkable . ! . but gradually grows as something of considerable power .,film grow competent unremarkable gradually grow considerable power,else-,TfidfVectorizer,growing_language,RandomForestClassifier,polarity,65.7998743057251,0,0.0,0.9869049987202833,4,0.8895069360733032,20,0.2682783603668213,gets under the skin of a man who has just lost his wife .,-0.1193115413188934
9,. . . always remains movingly genuine .,. . . always remains movingly common ?,remain movingly common,bluto blutarsky miss,TfidfVectorizer,growing_language,RandomForestClassifier,polarity,19.014026641845703,0,0.0399231270834049,0.9488844909393274,2,0.7246067523956299,8,-0.0617731474339962,the original wasn't a good movie but this remake makes it look like a masterpiece !,-0.1525350660085678
