,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ , UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ",unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,pompous garbled,sedc,DistilBertForSequenceClassification,polarity,16.651381254196167,0,0.0013432262998533,0.5455550635599024,12,0.009895658120512962,13,0.0796340182423591,"hey arnold ! the movie could have been made 40 years ago , and parents' appreciation of it may depend on whether they consider that a good thing .",-0.2128872573375702
1,this is one of polanski's best films .,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,movie soft percolate magic deadpan suspense,sedc,DistilBertForSequenceClassification,polarity,13.792794466018677,0,0.0,0.0,9,-0.053937528282403946,9,0.057093434035778,"hey arnold ! the movie could have been made 40 years ago , and parents' appreciation of it may depend on whether they consider that a good thing .",-0.2123251110315323
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",UNKWORDZ UNKWORDZ with his UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ quite moving UNKWORDZ UNKWORDZ his UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ the novel .,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz move unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz novel,bluto blutarsky miss,sedc,DistilBertForSequenceClassification,polarity,20.132095098495483,0,0.0149678966295434,0.9094343930106292,12,0.17672905325889587,20,0.0755288675427436,"it's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .",-0.1608401238918304
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there UNKWORDZ UNKWORDZ point of UNKWORDZ UNKWORDZ no contemporary interpretation of joan 's prefeminist UNKWORDZ , so UNKWORDZ 're left UNKWORDZ the only reason to make the movie is UNKWORDZ present standards UNKWORDZ for UNKWORDZ UNKWORDZ UNKWORDZ .",unkwordz unkwordz point unkwordz unkwordz contemporary interpretation joan prefeminist unkwordz unkwordz leave unkwordz reason movie unkwordz present standard unkwordz unkwordz unkwordz unkwordz,else-,sedc,DistilBertForSequenceClassification,polarity,31.15560936927796,0,0.0,0.9915564921059,16,0.4141277074813843,38,0.1099546030163765,probably the best case for christianity since chesterton and lewis .,-0.1334204375743866
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,UNKWORDZ through the last reel ( UNKWORDZ alert ! ) is UNKWORDZ less UNKWORDZ UNKWORDZ UNKWORDZ to a UNKWORDZ - year - old with UNKWORDZ taste for exaggeration recount UNKWORDZ UNKWORDZ trip UNKWORDZ the haunted UNKWORDZ .,unkwordz reel unkwordz alert unkwordz unkwordz unkwordz unkwordz unkwordz year old unkwordz taste exaggeration recount unkwordz unkwordz trip unkwordz haunt unkwordz,execrable,sedc,DistilBertForSequenceClassification,polarity,29.348718404769897,0,-0.0492132982108761,0.9788973651886904,16,0.3900279104709625,37,0.0793916657567024,"from the opening scenes , it's clear that all about the benjamins is a totally formulaic movie .",-0.1309071034193039
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". UNKWORDZ . mesmerizing , an UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ modern beijing culture UNKWORDZ UNKWORDZ journey of UNKWORDZ UNKWORDZ retreat into UNKWORDZ and return UNKWORDZ",unkwordz mesmerizing unkwordz unkwordz unkwordz unkwordz unkwordz modern beijing culture unkwordz unkwordz journey unkwordz unkwordz retreat unkwordz return unkwordz,bluto blutarsky miss,sedc,DistilBertForSequenceClassification,polarity,23.242918252944943,0,0.0290933082802168,0.9733221838002686,12,0.41930168867111206,26,-0.007417214103043,"remember the kind of movie we were hoping "" ecks vs . sever "" or "" xxx "" was going to be ? this is it .",-0.1915861815214157
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ griffith UNKWORDZ in the early days of UNKWORDZ UNKWORDZ .,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz griffith unkwordz early day unkwordz unkwordz,bluto blutarsky miss,sedc,DistilBertForSequenceClassification,polarity,20.510995864868164,0,0.0600262067306312,0.9230507868954434,13,0.0840219184756279,21,0.0819022133946418,it makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,-0.1711267530918121
7,[at least] moore is a real charmer .,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,movie soft percolate magic deadpan suspense,sedc,DistilBertForSequenceClassification,polarity,14.134986639022827,0,0.0,0.0,10,-0.02996966615319252,10,0.053777776658535,"hey arnold ! the movie could have been made 40 years ago , and parents' appreciation of it may depend on whether they consider that a good thing .",-0.2101506888866424
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ competent UNKWORDZ unremarkable UNKWORDZ UNKWORDZ UNKWORDZ and UNKWORDZ grows into something UNKWORDZ considerable UNKWORDZ .,unkwordz unkwordz unkwordz unkwordz unkwordz competent unkwordz unremarkable unkwordz unkwordz unkwordz unkwordz grow unkwordz considerable unkwordz,bluto blutarsky miss,sedc,DistilBertForSequenceClassification,polarity,20.05546903610229,0,0.0454994995993014,0.9374630074237886,12,0.17594638466835022,20,-0.044546190649271,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.2356269061565399
9,. . . always remains movingly genuine .,UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ,unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz,movie soft percolate magic deadpan suspense,sedc,DistilBertForSequenceClassification,polarity,12.827765703201294,0,0.0,0.0,8,0.07682540267705917,8,0.0601793825626373,"hey arnold ! the movie could have been made 40 years ago , and parents' appreciation of it may depend on whether they consider that a good thing .",-0.2132067382335662
