,target instance,closest_counterfactual,closest_true_counterfactual,farthest_true_counterfactual,closest_distance,farthest_distance,distance_cf_target,distance_metric,text_method,time
0,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",unkwordz african film modern unkwordz unkwordz unkwordz experience unkwordz million unkwordz unkwordz,movie soft percolate magic deadpan suspense,jonathan parker bartleby end modern office anomie film,0.0,0.29166666666666663,0.6666666666666667,l0,lime,0.0633547306060791
1,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",unkwordz african film modern unkwordz unkwordz unkwordz experience unkwordz million unkwordz unkwordz,movie soft percolate magic deadpan suspense,jonathan parker bartleby end modern office anomie film,0.0,0.0525127427260942,0.12848782962510497,pairwise,lime,0.20740866661071777
2,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",unkwordz african film modern unkwordz unkwordz unkwordz experience unkwordz million unkwordz unkwordz,movie soft percolate magic deadpan suspense,jonathan parker bartleby end modern office anomie film,0.0,0.09622504486493763,0.2151657414559676,cosine,lime,0.009346485137939453
3,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",unkwordz african film modern unkwordz unkwordz unkwordz experience unkwordz million unkwordz unkwordz,else-,bad film story live style,0.0,0.7628643512493452,0.8853094671196953,spacy,lime,1.5291719436645508
4,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",unkwordz unkwordz unkwordz story unkwordz untold unkwordz bui choose unkwordz unkwordz unkwordz ultimately unkwordz familiar,polanski good film,familiar utterly delightful,0.0,0.23809523809523808,0.7285714285714285,l0,lime,0.07009124755859375
5,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",unkwordz unkwordz unkwordz story unkwordz untold unkwordz bui choose unkwordz unkwordz unkwordz ultimately unkwordz familiar,polanski good film,familiar utterly delightful,0.0,0.03438147171498616,0.12490118463103436,pairwise,lime,0.19860029220581055
6,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",unkwordz unkwordz unkwordz story unkwordz untold unkwordz bui choose unkwordz unkwordz unkwordz ultimately unkwordz familiar,polanski good film,familiar utterly delightful,0.0,0.06189844605901728,0.20341905108624309,cosine,lime,0.009113550186157227
7,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",unkwordz unkwordz unkwordz story unkwordz untold unkwordz bui choose unkwordz unkwordz unkwordz ultimately unkwordz familiar,bluto blutarsky miss,make special pull world give hero suffering triumph share surround interesting character send theater feeling share great adventure,0.14648187244601682,0.7741930412085797,0.9341543690335369,spacy,lime,1.5230355262756348
8,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",unkwordz unkwordz unkwordz unkwordz out unkwordz fistfight unkwordz unkwordz unkwordz unkwordz unkwordz movie phlegmatic unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz vs unkwordz spy film unkwordz fear unkwordz unkwordz affleck unkwordz downright hitchcockian unkwordz,sit reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,stuporously solemn film,0.0,0.20833333333333331,0.7202380952380952,l0,lime,0.11343240737915039
9,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",unkwordz unkwordz unkwordz unkwordz out unkwordz fistfight unkwordz unkwordz unkwordz unkwordz unkwordz movie phlegmatic unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz vs unkwordz spy film unkwordz fear unkwordz unkwordz affleck unkwordz downright hitchcockian unkwordz,sit reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,stuporously solemn film,0.0,0.014394675031447517,0.061839046762170204,pairwise,lime,0.19973206520080566
10,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",unkwordz unkwordz unkwordz unkwordz out unkwordz fistfight unkwordz unkwordz unkwordz unkwordz unkwordz movie phlegmatic unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz vs unkwordz spy film unkwordz fear unkwordz unkwordz affleck unkwordz downright hitchcockian unkwordz,sit reel spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,stuporously solemn film,0.0,0.025949964805384102,0.11009637651263607,cosine,lime,0.012495279312133789
11,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",unkwordz unkwordz unkwordz unkwordz out unkwordz fistfight unkwordz unkwordz unkwordz unkwordz unkwordz movie phlegmatic unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz vs unkwordz spy film unkwordz fear unkwordz unkwordz affleck unkwordz downright hitchcockian unkwordz,bluto blutarsky miss,sundance film festival buzz obsess fan producer descend utah january ferret great thing tadpole film declare year pretty good thing,0.23259318577569638,0.7236708286987871,0.8989965716346462,spacy,lime,1.8338854312896729
12,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",pleasant ramble sort idoosyncratic terrain errol morris deal unkwordz unkwordz possess unkwordz lackadaisical charm,polanski good film,pleasant romantic comedy,0.0,0.20833333333333331,0.9166666666666666,l0,lime,0.0669398307800293
