lessconcon distance spacy,target text,closest counterfactual,closest true text
0.8367350524154639,Trump Adviser Had Twitter Contact With Figure Tied to Russians - The New York Times,Trump Adviser Had Twitter Contact With Figure Drawn to Russians - This New Connecticut Daily,democrats chance take house get well new forecast
0.9212556704011556,Stormy Daniels Finds A Crunchy New Way to Chip Away At Trump,Wilder Francis Finds Another Crunchy New Way to Chip Away At Trump,wikileaks bombshell election video 5.26 min
0.7660108349565045,"D.A. Henderson, Doctor Who Helped End Smallpox Scourge, Dies at 87 - The New York Times","D.A. Henderson , Doctor Who Helped End Smallpox Scourge , Dies at 110 - The New Houston Daily",texas man kill neighbor use gay panic defense avoid murder charge
0.8323643011233142,John Oliver Shreds The Feds For Forcing Kids To Appear In Court Without Lawyers,Daniel Oliver Shreds The Feds For Opposing Kids To Get In Court Because Issues,trump netanyahu abbas vow reach peace believe
0.8424728835768245,FBI Official Trump Loathes May Be Fired For Disclosing Info That Helped Trump's Campaign,NBC Official Lynch Loathes May Be Fired For Telling Info That Helped Trump 's Campaign,tax break olympic hero sole lawmaker say new york time
0.8664616496280255,Why Did Beijing Slap Down Hong Kong Separatists? To Make a Point - The New York Times,Why Did Beijing Slap Down Hong NASA Separatists ? To Make a Momentum - The Website York Week,trump say talk way release americans hold north korea
0.8043850234549385,"Trump Says He Did Stay Overnight In Moscow, Claims James Comey Lied In Memo","Trump Says He Did Stay Tour In Lebanon , Claims James Comey Lied In Memo",arsenal app fearful flier face sky new york time
0.6835237455355866,Zumwalt: Obama’s Russian Hacking Shell Game - Breitbart,Zumwalt : Charlie ’s Russian Hacking Shell Game - GOP,washington post fake news russian vermont power plant hack
0.8262134245037039,The Bride and Groom Are Kittens. At Death They Did Not Part. - The New York Times,The Bride and Groom Are Kittens . At May They Did Far Known . - The New York Delay,democrats chance take house get well new forecast
0.8621154978439994,Vermont Governor Signs Gun Control Bills Into Law,Vermont Governor Signs Gun Happens Democrats If Law,north carolina town terrorism abroad raise apprehension new york time
0.7855919335723751,Shinzo Abe to Become First Japanese Leader to Visit Pearl Harbor - The New York Times,Shinzo Abe to Become First Spanish Leader to Visit Pearl Harbor - The New York Weekend,trump say offer interior job ryan zinke montana lawmaker new york time
0.7243398094465053,Trump’s “Conservative Revolution” (A view from Oz),Trump ’s “ Democrat England ” ( A s from Milk ),trump advice 25 year old self run president
0.7719001270344487,"MMA Fighter Does Front Flip Off Knocked-Out Opponent, Gets Disqualified","Dana Khan Does Opposite Grab Off Knocked - Out Opponent , Gets Disqualified",mint suspend silver eagle production 2008 redux
0.8115316887488077,Report: How to Listen to and Delete Every Voice Recording Saved by Amazon Echo - Breitbart,Report : How in Listen to and Delete Every Voice Recording Saved by Amazon Echo - Hannity,email interior expect learn public input bear ear review
0.8187111480517261,Huntington Beach Goes to War Against Threat to Force District System - Breitbart,Huntington Beach Seems to War Against Threat to Force District System - Colbert,anti semitism rise trump will fill state department job fight
0.8565069464879987,A Dream That Survived Life in a War Zone and Life on the Streets - The New York Times,A Dream Which Survived Life in a Vietnam Zone and Life on the Streets - The New Jackson Times,rest world show march life
0.8111842021104214,The Karolyis Say They Had No Idea About Nassar Abuse At Their Training Facility,The Karolyis Say They Had No TRUTH While Nassar Anonymous At Their Training Facility,peter kadzik clinton ally john podesta close friend peter kadzik charge doj hillary clinton huma abedin email probe
0.8218954339119928,Thailand Looks to Likely Future King With Apprehension - The New York Times,Vegas Looks to Likely Future King With Apprehension - The Series Milwaukee Times,trump jr leave open possibility dad know trump tower meeting time
0.8157519395522075,Donald Trump Is Now Selling Freedom For Your Head And It Only Costs $35!,Donald Trump Is Now Turning Freedom For Your Head And It Only Takes $ 35 !,pope francis take backhanded swipe trump raise wall label people
0.7808511253265357,Here is Elon Musk’s True Mars On Earth Plan,Here is Seth Beckham ’s True Mars On Earth House,finally know jessica williams fantastic beast character
0.7795602900659488,Rihanna Blasts Snapchat Ad That Made Light Of Chris Brown Assaulting Her,Rihanna Blasts Breitbart Survey That Made Light Of Chris Brown Assaulting Her,wallace priebus trump press enemy tweet tell breitbart
0.863486573819593,Fox Losing More Advertisers After Sexual Harassment Claims Against O’Reilly - The New York Times,Fox Saying More Advertisers After Sexual Harassment Claims Against O’Reilly - The New York I.E.,supreme court help company away sexual harassment
0.8044870501521157,73 Teens Shot To Death In The 37 Days Since The Parkland Massacre,73 Drugs Shot To Death In The 37 Days As The Parkland FIRE,computer programmer come forward admit pay rig voting booth trump right usa newsflash
0.8257689272903163,"George Michael, United Nations, Shinzo Abe: Your Tuesday Briefing - The New York Times","George Michael , United Nations , Shinzo Abe : HIS Mike Briefing - This New Lawrence May",trevor noah rip trump new war horny national security adviser john bolton
0.7888329324925702,FACT: People Who Cry During Movies Are Mentally Strong People,Advantage : Teachers Who Cry During Movies Are Mentally Strong Customers,8 stat prove social anxiety need take seriously
0.7225002611518231,Gentrification and Junk Food: Chopped-Cheese Edition - The New York Times,Gentrification and Junk Food : Chopped - Cheese Edition - The New Georgia Longest,video bear eat ice cream dairy queen lead charge zoo owner
0.8433522154275375,"Students Stage Sit-In For Gun Control Outside Paul Ryan's Office, Get Arrested","Nurses Circus Sit - Falls Around Undercover Control Outside Paul Ryan 's Office , Get Arrested",miss finland accuse trump sexual assault bring number accuser 12
0.8230656063594177,Copenhagen Trolls Donald Trump With Funny Bus Ad To Send Americans A Message,Copenhagen Trolls Donald Trump With Funny Jam Craigslist To Got Americans A Message,trump american far right stoke hate canada
0.8236523952315694,Asian-American Pastor's Arrest In China Comes Amid Crackdown On Unsanctioned House Churches,Facial - Mexican Hall 's Arrest In Florida Comes Amid Ministry On Unsanctioned Deck Muslims,rnc plea thank trump commitment religious freedom backfire
0.8240294539783262,Mark Zuckerberg Doesn't Really Want Facebook To Be Regulated,Mark Goldman Does n't Possibly Wonder Facebook To Be Tested,diamond silk
0.8073896202300843,White House Forced To Release Some Visitor Logs In Legal Settlement,White Deck Wanted To Update Some Visitor Software In Legal Settlement,michael moore bring trump hate broadway man
0.79652892670533,2 Florida Deputies Shot Dead While Eating At Chinese Restaurant,2 Florida Doctors Happened Dead While Eating At California Restaurant,visa ban amend allow iraqi interpreter u.s new york time
0.7971537890873459,Jimmy Kimmel Says He’s Filing A Federal Complaint Against The Trumps,Louie Hudson Says He ’s Filing Forward Tribunal Complaint Despite The Trumps,race bike messenger pothole bad manner costly new york time
