,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Sunshine Quiz Wkly Q ! Win a top Sony DVD player if u know which country the Algarve is in ? UNKWORDZ ansr to UNKWORDZ UNKWORDZ UNKWORDZ SP : Tyrone,sunshine quiz wkly q win sony dvd player u know country algarve unkwordz ansr unkwordz unkwordz unkwordz sp tyrone,important customer service announcement freephone 0800 542 0825,TfidfVectorizer,sedc,MLPClassifier,spam,0.1094393730163574,0,0.3724621457327712,0.9934245573854704,11,0.8751453757286072,30.0,0.0859770700335502,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1183951944112777
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,UNKWORDZ ! UNKWORDZ UNKWORDZ trying to UNKWORDZ U. Todays draw shows that you have UNKWORDZ a aPS800 prize UNKWORDZ . Call 09050001808 from land UNKWORDZ . UNKWORDZ M95 UNKWORDZ UNKWORDZ only,unkwordz unkwordz unkwordz try unkwordz u. today draw show unkwordz aps800 prize unkwordz 09050001808 land unkwordz unkwordz m95 unkwordz unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,sedc,MLPClassifier,spam,0.1494369506835937,1,0.3776541586107048,0.9806701191999831,14,0.48770490288734436,31.0,0.0797121226787567,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,-0.0810551345348358
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT UNKWORDZ We are trying to contact you . Last weekends draw shows UNKWORDZ you UNKWORDZ a aPS1000 UNKWORDZ UNKWORDZ . Call 09064012160 . UNKWORDZ Code K52 . UNKWORDZ UNKWORDZ UNKWORDZ . 150ppm,gent unkwordz try contact weekend draw show unkwordz unkwordz aps1000 unkwordz unkwordz 09064012160 unkwordz code k52 unkwordz unkwordz unkwordz 150ppm,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,TfidfVectorizer,sedc,MLPClassifier,spam,0.1389863491058349,2,0.3701163913711786,0.9718559564582492,18,0.5704318284988403,33.0,0.2602762281894684,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0037829489447176
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important information 4 orange user . today is your lucky day!2find out why log UNKWORDZ UNKWORDZ THERE 'S A FANTASTIC SURPRISE AWAITING YOU UNKWORDZ,important information 4 orange user today lucky day!2find log unkwordz unkwordz fantastic surprise await unkwordz,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,TfidfVectorizer,sedc,MLPClassifier,spam,0.0366749763488769,3,0.3503994631935396,0.9954214865119396,6,0.7662864923477173,24.0,0.2540058493614197,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0684795975685119
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Congratulations ur UNKWORDZ UNKWORDZ of CD vouchers or 125gift UNKWORDZ UNKWORDZ Free UNKWORDZ UNKWORDZ 100 wkly draw UNKWORDZ UNKWORDZ to UNKWORDZ,congratulation ur unkwordz unkwordz cd voucher 125gift unkwordz unkwordz free unkwordz unkwordz 100 wkly draw unkwordz unkwordz unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,sedc,MLPClassifier,spam,0.1158936023712158,3,0.4250833551330461,0.9436522216582234,9,0.5917654037475586,21.0,0.160643994808197,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1115640103816986
5,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You have an important customer UNKWORDZ UNKWORDZ . Call UNKWORDZ UNKWORDZ UNKWORDZ 0825 now !,important customer unkwordz unkwordz unkwordz unkwordz unkwordz 0825,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,TfidfVectorizer,sedc,MLPClassifier,spam,0.0518586635589599,11,0.3022053752011642,0.948939663786642,8,0.43979817628860474,18.0,0.2444906085729599,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0670904070138931
6,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,UNKWORDZ do UNKWORDZ UNKWORDZ for UNKWORDZ ? How about UNKWORDZ free UNKWORDZ messages & a UNKWORDZ UNKWORDZ phone UNKWORDZ half UNKWORDZ line rental ? Call free now on 0800 0721072 UNKWORDZ find out more !,unkwordz unkwordz unkwordz unkwordz unkwordz free unkwordz message unkwordz unkwordz phone unkwordz half unkwordz line rental free 0800 0721072 unkwordz find,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,TfidfVectorizer,sedc,MLPClassifier,spam,0.173102855682373,11,0.3637236194948557,0.984017695466112,16,0.39179539680480957,35.0,0.2400076985359192,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.08689646422863
7,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Last chance UNKWORDZ UNKWORDZ UNKWORDZ aPS150 worth UNKWORDZ discount UNKWORDZ - Text YES UNKWORDZ 85023 now!SavaMob UNKWORDZ member offers UNKWORDZ T UNKWORDZ 08717898035 . UNKWORDZ Sub UNKWORDZ 16 . Remove UNKWORDZ X or UNKWORDZ,chance unkwordz unkwordz unkwordz aps150 worth unkwordz discount unkwordz text yes unkwordz 85023 now!savamob unkwordz member offer unkwordz t unkwordz 08717898035 unkwordz sub unkwordz 16 remove unkwordz x unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,TfidfVectorizer,sedc,MLPClassifier,spam,0.2157957553863525,11,0.3323734899213186,0.9738537637708132,20,0.5517635345458984,34.0,0.2166546136140823,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,-0.0627312660217285
8,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I do n't know u UNKWORDZ UNKWORDZ do n't know me . Send UNKWORDZ to UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ 's find each UNKWORDZ ! Only UNKWORDZ / Msg rcvd . HG / Suite342/2Lands UNKWORDZ Row / UNKWORDZ LDN . UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ .,know u unkwordz unkwordz know send unkwordz unkwordz unkwordz unkwordz unkwordz find unkwordz unkwordz msg rcvd hg suite342/2lands unkwordz row unkwordz ldn unkwordz unkwordz unkwordz unkwordz,important customer service announcement premier freephone 0800 542 0578,TfidfVectorizer,sedc,MLPClassifier,spam,0.2739019393920898,11,0.368343540054885,0.9843202574661796,35,0.29122623801231384,44.0,0.0769306421279907,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth aPS350! To Claim, Call London 02072069400. Bx 526, SW73SS",-0.1575345546007156
9,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays vodafone UNKWORDZ UNKWORDZ with 0089(my last four digits ) are UNKWORDZ to received a aPS350 award . UNKWORDZ your UNKWORDZ UNKWORDZ please call 09063442151 to UNKWORDZ your UNKWORDZ UNKWORDZ,todays vodafone unkwordz unkwordz 0089(my digit unkwordz receive aps350 award unkwordz unkwordz unkwordz 09063442151 unkwordz unkwordz unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,TfidfVectorizer,sedc,MLPClassifier,spam,0.1319320201873779,11,0.3462601076361647,0.9780669066827492,13,0.6416985392570496,30.0,0.2424864172935485,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,-0.0420099832117557
