index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate
0,well i m gonna finish my bath now have a good fine night,0,well i m gonna finish my bath now have a good fine night,0,0,1.0,"['no i decided that only people who it s not in our tampa and i had to apologise cali is to pay and ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ', 'i m in chennai velachery <end> ', 'well i m gonna finish my bath now have a good fine night', 'i m in inside office still filling forms don know where to the box coz heaos soed now send a b or ']",['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],"{'decided': 0.06060606060606061, 'people': 0.06060606060606061, 'tampa': 0.030303030303030304, 'apologise': 0.030303030303030304, 'cali': 0.030303030303030304}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.008489370346069336
1,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,0,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,1,1,1.0,"['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ', 'i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ']","['i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the box com <end> ']","{'know': 0.10810810810810811, 'send': 0.08108108108108109, 'inside': 0.05405405405405406, 'office': 0.05405405405405406, 'still': 0.05405405405405406}","{'inside': 0.09523809523809523, 'office': 0.09523809523809523, 'still': 0.09523809523809523, 'filling': 0.09523809523809523, 'forms': 0.09523809523809523}",0.015367984771728516
2,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone,1,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone,1,1,0.9411764705882353,"['i m in inside office still filling forms don know where to the box coz heaos soed now send a b or ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'you are being contacted by our dating service by someone you know to find out who it is call from ', 'sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ']","['i m in inside office still filling forms don know where to the box com <end> ', 'no i decided that only people who it s bad as in half an hour and a guy who it is it is still on ']","{'know': 0.07352941176470588, 'inside': 0.04411764705882353, 'office': 0.04411764705882353, 'still': 0.04411764705882353, 'filling': 0.04411764705882353}","{'still': 0.13333333333333333, 'inside': 0.06666666666666667, 'office': 0.06666666666666667, 'filling': 0.06666666666666667, 'forms': 0.06666666666666667}",0.0173187255859375
4,lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,0,lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,1,1,1.0,"['you are being contacted by our dating service by someone you know to find out who it is call from ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ']","['i m in inside office still filling forms don know where to the box com <end> ', 'i m going 4 e lunch today i m blogging at magicalsongs blogspot com <end> ']","{'know': 0.08695652173913043, 'inside': 0.06521739130434782, 'office': 0.06521739130434782, 'still': 0.06521739130434782, 'filling': 0.06521739130434782}","{'com': 0.11764705882352941, 'inside': 0.058823529411764705, 'office': 0.058823529411764705, 'still': 0.058823529411764705, 'filling': 0.058823529411764705}",0.014895915985107422
5,winner as a valued network customer you hvae been selected to receive a aps900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,1,winner as a valued network customer you hvae been selected to receive a aps900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,0,0,1.0,"['i m in inside office still filling forms don know where to the box com <end> ', 'i m in inside office still filling forms don know where to the box coz heaos soed now send a b or ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ', 'i m going out to buy mum s present ar <end> ', 'no i decided that only people who it s not giving you in my hea did you know a little nasty cough ']",['i m in inside office still filling forms don know where to the box com txt chat 2 stop txt stopcs '],"{'know': 0.07692307692307693, 'inside': 0.05128205128205128, 'office': 0.05128205128205128, 'still': 0.05128205128205128, 'filling': 0.05128205128205128}","{'txt': 0.14285714285714285, 'inside': 0.07142857142857142, 'office': 0.07142857142857142, 'still': 0.07142857142857142, 'filling': 0.07142857142857142}",0.01286935806274414
8,sorry man my stash ran dry last night and i can t pick up more until sunday,0,sorry man my stash ran dry last night and i can t pick up more until sunday,0,0,0.9333333333333333,"['i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the box com <end> ', 'yeah i can still give you a ride', 'i m going out to buy mum s present ar <end> ', 'i m going to room <end> ']",['i m going 4 to my phone is available in bus different no a bit go <end> '],"{'still': 0.09375, 'inside': 0.0625, 'office': 0.0625, 'filling': 0.0625, 'forms': 0.0625}","{'going': 0.125, '4': 0.125, 'phone': 0.125, 'available': 0.125, 'bus': 0.125}",0.012601613998413086
10,no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,0,no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,0,0,0.9285714285714286,"['i m in inside office still filling forms don know where to the box coz heaos stas on saturday to ', 'no i decided that only people who it s not in our tampa and i had to apologise cali is to pay and ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in chennai velachery <end> ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'inside': 0.05263157894736842, 'office': 0.05263157894736842, 'still': 0.05263157894736842, 'filling': 0.05263157894736842, 'forms': 0.05263157894736842}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.009375572204589844
11,captain vijaykanth is doing comedy in captain tv he is drunken,0,captain vijaykanth is doing comedy in captain tv he is drunken,0,0,1.0,"['i m in inside office still filling forms don know where to the box coz heaos soed now send a b or ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ', 'what you did in leave', 'i m in inside office still filling forms don know where to the box com <end> ', 'i m in inside office still filling forms don know where to the box coz heaos stas on saturday to ']",['i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],"{'inside': 0.07894736842105263, 'office': 0.07894736842105263, 'still': 0.07894736842105263, 'filling': 0.07894736842105263, 'forms': 0.07894736842105263}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.010208845138549805
12,yeah i can still give you a ride,0,yeah i can still give you a ride,1,1,0.9285714285714286,"['you are being contacted by our dating service by someone you know to find out who it is call from ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ']","['i m in inside office still filling forms don know where to the box coz heaos soed now send a b or ', 'i m going to room my home <end> ']","{'know': 0.09090909090909091, 'call': 0.06060606060606061, 'inside': 0.06060606060606061, 'office': 0.06060606060606061, 'still': 0.06060606060606061}","{'inside': 0.06666666666666667, 'office': 0.06666666666666667, 'still': 0.06666666666666667, 'filling': 0.06666666666666667, 'forms': 0.06666666666666667}",0.012888193130493164
14,i could ask carlos if we could get more if anybody else can chip in,0,i could ask carlos if we could get more if anybody else can chip in,1,1,0.9333333333333333,"['i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'you have won a guaranteed aps200 award or even aps1000 cashto claim ur award call free on 08000407165 ', 'i m going to room my home <end> ', 'you are being contacted by our dating service by someone you know to find out who it is call from ']","['i m going 4 to my phone is available in bus different no a <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ']","{'know': 0.0625, 'call': 0.0625, 'inside': 0.041666666666666664, 'office': 0.041666666666666664, 'still': 0.041666666666666664}","{'going': 0.05263157894736842, '4': 0.05263157894736842, 'phone': 0.05263157894736842, 'available': 0.05263157894736842, 'bus': 0.05263157894736842}",0.014595508575439453
15,shall i bring us a bottle of wine to keep us amused only joking iu ll bring one anyway,0,shall i bring us a bottle of wine to keep us amused only joking iu ll bring one anyway,1,1,0.9444444444444444,"['i m going to room but i m really too can do it a tactful way to get it <end> ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ', 'you are being contacted by our dating service by someone you know to find out who it is call from ']","['i m going 4 e lunch my phone not too <end> ', 'i m going to room my home <end> ']","{'know': 0.07692307692307693, 'inside': 0.057692307692307696, 'office': 0.057692307692307696, 'still': 0.057692307692307696, 'filling': 0.057692307692307696}","{'going': 0.25, '4': 0.125, 'e': 0.125, 'lunch': 0.125, 'phone': 0.125}",0.015314102172851562
17,what you did in leave,0,what you did in leave,0,0,1.0,"['but i m really really broke oh no amount is too small even lt gt', 'i m in inside office still filling forms don know where to the box coz heaos stas on saturday to ', 'i m going 4 e lunch that s true too ex dat i m not <end> ', 'i m in inside office still filling forms don know where to the box coz heaos soed now send a b or ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ']",['you have won a guaranteed aps200 award or even aps1000 cashto claim ur award call free on 08000407165 '],"{'really': 0.044444444444444446, 'inside': 0.044444444444444446, 'office': 0.044444444444444446, 'still': 0.044444444444444446, 'filling': 0.044444444444444446}","{'award': 0.16666666666666666, 'guaranteed': 0.08333333333333333, 'aps200': 0.08333333333333333, 'even': 0.08333333333333333, 'aps1000': 0.08333333333333333}",0.01015472412109375
18,thank you winner notified by sms good luck no future marketing reply stop to 84122 customer services 08450542832,1,thank you winner notified by sms good luck no future marketing reply stop to 84122 customer services 08450542832,0,0,1.0,"['i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the box lady <end> ', 'motivate behind every darkness there is a shining light waiting for you to find it behind every best friend there is always trust and love bslvyl', 'i m going to room my home <end> ', 'i m in inside office still filling forms don know where to the box coz heaos soed now send a b or ']",['i m in inside office still filling forms don know where to the bank of ur hea txt love to see the '],"{'inside': 0.057692307692307696, 'office': 0.057692307692307696, 'still': 0.057692307692307696, 'filling': 0.057692307692307696, 'forms': 0.057692307692307696}","{'inside': 0.08333333333333333, 'office': 0.08333333333333333, 'still': 0.08333333333333333, 'filling': 0.08333333333333333, 'forms': 0.08333333333333333}",0.010682821273803711
19,where s mummy s boy is he being good or bad is he being positive or negative why is mummy being made to wait hmmmm,0,where s mummy s boy is he being good or bad is he being positive or negative why is mummy being made to wait hmmmm,0,0,0.9375,"['i m going out to buy mum s present ar <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in chennai velachery <end> ', 'i m going to room my home <end> ', 'no i decided that only people who it s not giving you in south and medicine i think if you are a ']",['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],"{'going': 0.06896551724137931, 'buy': 0.034482758620689655, 'mum': 0.034482758620689655, 'present': 0.034482758620689655, 'ar': 0.034482758620689655}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.010474205017089844
20,santa calling would your little ones like a call from santa xmas eve call 09058094583 to book your time,1,santa calling would your little ones like a call from santa xmas eve call 09058094583 to book your time,1,1,1.0,"['you are being contacted by our dating service by someone you know to find out who it is call from ', 'i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ', 'auction round 4 the highest bid is now aps54 next maximum bid is aps71 to bid send bids e g 10 to bid aps10 to 83383 good luck', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ']","['i m going out to buy mum s present ar <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ']","{'know': 0.05970149253731343, 'bid': 0.05970149253731343, 'inside': 0.04477611940298507, 'office': 0.04477611940298507, 'still': 0.04477611940298507}","{'going': 0.05555555555555555, 'buy': 0.05555555555555555, 'mum': 0.05555555555555555, 'present': 0.05555555555555555, 'ar': 0.05555555555555555}",0.014226675033569336
