,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Daniels Eve Wkly Q -- Give the nice Sony Panasonic player if way know which east another Syria is in ? Lol ansr to 82277 . aPS1.50 Sol : Tyrone,daniels eve wkly q nice sony panasonic player way know east syria lol ansr 82277 aps1.50 sol tyrone,,CountVectorizer,growing_language,MLPClassifier,spam,159.20768570899963,0
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,Strange ! We have turning to contact U. Todays draw shows that you 're won a aPS800 trip Based . Call 09050001808 from way line . GET Corey . Valid12hrs only,strange turn contact u. today draw show win aps800 trip base 09050001808 way line corey valid12hrs,wylie tampa sarasota,CountVectorizer,growing_language,MLPClassifier,spam,143.3446352481842,1
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,Daniels ! They are picking to contact you .... Last friends draw shows that it won this aPS1000 advance GUARANTEED . Dare 09064012160 . Claim Federal K52 . Safe 12hrs always . 150ppm,daniels pick contact friend draw show win aps1000 advance guarantee dare 09064012160 claim federal k52 safe 12hrs 150ppm,,CountVectorizer,growing_language,MLPClassifier,spam,140.935448884964,2
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,own telephone 47 orange computer . today is my lucky day!2find off why worry to http://www.urawinner.com THERE 'S A FANTASTIC SURPRISE Leaving YOU !,telephone 47 orange computer today lucky day!2find worry http://www.urawinner.com fantastic surprise leave,wylie tampa sarasota,CountVectorizer,growing_language,MLPClassifier,spam,133.81463074684143,3
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Congratulations haha awarded ONE about CD vouchers or 125gift guaranteed BUT Free computer 2 400 wkly draw txt Something that 87066,congratulation haha award cd voucher 125gift guarantee free computer 2 400 wkly draw txt 87066,,CountVectorizer,growing_language,MLPClassifier,spam,112.28133296966553,3
5,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,Hunting it another strong age -- All luck clarifying down more things to keep they waiting ;) Let chat me :),hunt strong age luck clarify thing wait let chat,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,CountVectorizer,growing_language,MLPClassifier,spam,134.07324528694153,5
6,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You hope another many customer service campaign . Think FREEPHONE 9 542 0825 now !,hope customer service campaign think freephone 9 542 0825,wylie tampa sarasota,CountVectorizer,growing_language,MLPClassifier,spam,83.43269753456116,10
7,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U want for Uni ? How about 100 free signature messages & a same scene phone into double lot brand rental ? Call nice back on 0800 0721072 to find off more !,u want uni 100 free signature message scene phone double lot brand rental nice 0800 0721072 find,,CountVectorizer,growing_language,MLPClassifier,spam,182.5292444229126,10
8,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Wrong chance 22 court ur aPS150 company that discount vouchers - Text YES to 85023 now!SavaMob - nomination brings urban II Cs 08717898035 . aPS3.00 None . 13 . KEEP i.e X either Think,wrong chance 22 court ur aps150 company discount voucher text yes 85023 now!savamob nomination bring urban ii cs 08717898035 aps3.00 13 i.e x think,wylie tampa sarasota,CountVectorizer,growing_language,MLPClassifier,spam,148.5736756324768,10
9,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,MINE doubt quite know u and somethin do again know me . Send Account that 86688 now and let 's find each other ! Also x. / Msg rcvd . HG / Suite342/2Lands / Row / W1J6HL LDN . 18 ages or right .,doubt know u somethin know send account 86688 let find x. msg rcvd hg suite342/2lands row w1j6hl ldn 18 age right,wylie tampa sarasota,CountVectorizer,growing_language,MLPClassifier,spam,159.0795328617096,10
10,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays vodafone numbers ending with 0089(my last three digits ] are put to received a aPS350 award . If my number matches thanx see 09063442151 to deal my aPS350 award,todays vodafone number end 0089(my digits receive aps350 award number match thanx 09063442151 deal aps350 award,wylie tampa sarasota,CountVectorizer,growing_language,MLPClassifier,spam,123.45070624351501,10
11,Went to ganesh dress shop,Had to ringtone tank collection,ringtone tank collection,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,CountVectorizer,growing_language,MLPClassifier,spam,40.54375171661377,11
12,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u know ur dream concern soon ? Is ur career off 2 a flyng start ? 2 find out free , jesus HORO recorded by ur star hand , e. g. HORO Jimmy",u know ur dream concern soon ur career 2 flyng start 2 find free jesus horo record ur star hand e. g. horo jimmy,,CountVectorizer,growing_language,MLPClassifier,spam,146.64939284324646,12
