,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,circular Gates order horn set n't Know The conflict betwixt HPV And HIV,circular gate order horn set know conflict betwixt hpv hiv,wikileak obama saudi agent,CountVectorizer,growing_net,RandomForestClassifier,fake,3.09458589553833,2
1,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's demode - Bodyguard Tim Chung admit atomic_number_2 's Actually Stormi 's Father,kylie jenner demode bodyguard tim chung admit atomic_number_2 actually stormi father,budget deal increase wildfire disaster funding $ 2 billion annually,CountVectorizer,growing_net,RandomForestClassifier,fake,0.6830790042877197,2
2,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,US Embassy In Jerusalem outdoors Its Doors As Protests Rage Nearby,embassy jerusalem outdoors door protest rage nearby,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,RandomForestClassifier,fake,0.4075155258178711,4
3,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's charge About Obama Giving Away Syria Strategy Look Pretty Silly Now,trump charge obama give away syria strategy look pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.24749231338500977,4
4,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,adolescent US ' Grey 's figure ' For Secret Yearbook subject_matter About Being mirthful,adolescent grey figure secret yearbook subject_matter mirthful,wikileak obama saudi agent,CountVectorizer,growing_net,RandomForestClassifier,fake,1.8729143142700195,4
5,"Childish Gambino's 'This Is America' Video, Explained","Childish Gambino 's ' This Is US ' Video , Explained",childish gambino video explain,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,RandomForestClassifier,fake,0.20846819877624512,6
6,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders consecrate to rest totally Winter , lodge case Against law",nodapl native american leader consecrate rest totally winter lodge case law,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,RandomForestClassifier,fake,4.54800820350647,7
7,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Dakota Excess Pipeline ? Standing Rock Protectors Strip - Searched , lag for Days on Minor Charges – TV , Links , and Commentary",dakota excess pipeline stand rock protector strip search lag day minor charge tv link commentary,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.24160313606262207,10
8,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President","Oliver compass_north , Key Player inwards Persia - Contra Scandal , Named NRA President",oliver compass_north key player inwards persia contra scandal name nra president,7 food naturally cleanse liver,CountVectorizer,growing_net,RandomForestClassifier,fake,0.8075828552246094,10
9,Obama To Apply For Political Asylum In Moneygall,Obama To Apply For Political sanctuary In Moneygall,obama apply political sanctuary moneygall,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,RandomForestClassifier,fake,0.1999056339263916,11
10,NY State Police Building MS-13 Unit,NY res_publica constabulary Building MS-13 Unit,ny res_publica constabulary building ms-13 unit,gorka smite hater radical islamist jerusalem post speech breitbart,CountVectorizer,growing_net,RandomForestClassifier,fake,0.4170417785644531,13
11,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,Officer Puts human Hoosier_State Chokehold Outside A North Carolina Waffle star_sign,officer put human hoosier_state chokehold outside north carolina waffle star_sign,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,RandomForestClassifier,fake,0.8666238784790039,14
12,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,Dozens belt_down indium Reported Chemical Attack along Syrian Rebel Enclave,dozen belt_down indium report chemical attack syrian rebel enclave,nfl commish goodell honor hand tom brady super bowl trophy breitbart,CountVectorizer,growing_net,RandomForestClassifier,fake,1.1200575828552246,14
13,France’s Obsession With Decline Is a Booming Industry - The New York Times,France ’s Obsession With Decline Is a Booming Industry - The New House_of_York prison_term,france obsession decline boom industry new house_of_york prison_term,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.3650193214416504,14
14,Michigan Allots $87 Million to Replace Flint’s Tainted Water Pipes - The New York Times,Michigan Allots $ 87 Million to Replace Flint ’s Tainted weewee Pipes - The unexampled York sentence,michigan allot $ 87 million replace flint taint weewee pipe unexampled york sentence,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.7057645320892334,18
15,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,Eleven Madison Park Plans a Makeover and a Summer Pop - Up - The unexampled York clock_time,madison park plan makeover summer pop unexampled york clock_time,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.6516845226287842,18
16,Caught On Tape: ISIS Destroys Iraqi Abrams With Anti-Tank Missile,Caught On Tape : Directorate_for_Inter-Services_Intelligence Destroys Iraqi Abrams With Anti - Tank Missile,catch tape directorate_for_inter services_intelligence destroy iraqi abrams anti tank missile,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.3016066551208496,24
17,Waffle House Shooting Victim's Mom Accepts Daughter's Diploma,Waffle domiciliate Shooting Victim 's Mom Accepts Daughter 's diploma,waffle domiciliate shoot victim mom accept daughter diploma,gorka smite hater radical islamist jerusalem post speech breitbart,CountVectorizer,growing_net,RandomForestClassifier,fake,0.37418437004089355,24
18,"'Fox & Friends' Host Mocks NY Times' ISIS Coverage, Unaware It Beat Fox To The Story","' Fox & admirer ' Host Mocks NY multiplication ' ISIS Coverage , Unaware It Beat Fox To The Story",fox admirer host mock ny multiplication isis coverage unaware beat fox story,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.23868608474731445,25
19,GOP: We Will Be United Against Any Supreme Court Nominee Of Hillary Clinton (VIDEO),GOP : We volition Be United Against Any Supreme Court Nominee Of Sir_Edmund_Percival_Hillary Hilary_Clinton ( VIDEO ),gop volition unite supreme court nominee sir_edmund_percival_hillary hilary_clinton video,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.7113547325134277,25
20,"Tesla Hits a New Milestone, Passing G.M. in Valuation - The New York Times","Tesla Hits a New Milestone , Passing G.M. in Valuation - The New House_of_York clip",tesla hit new milestone pass g.m valuation new house_of_york clip,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.37851428985595703,26
21,Is Your County Elections Clerk Ready For Russian Hackers?,Is Your County election Clerk Ready For Russian Hackers ?,county election clerk ready russian hacker,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.27462172508239746,27
22,Iran Says Europe's Support For Nuclear Deal Isn't Enough After America's Withdrawal,Iran Says Europe 's Support For Nuclear Deal Is n't Enough After US 's Withdrawal,iran say europe support nuclear deal withdrawal,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,RandomForestClassifier,fake,0.5298254489898682,27
23,Missouri Governor Claims 'Witch Hunt' Before State House Releases Its Report,Missouri Governor disclaim ' bewitch Hunt ' Before land theater loose Its paper,missouri governor disclaim bewitch hunt land theater loose paper,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,RandomForestClassifier,fake,1.6388518810272217,27
24,How Think Tanks Amplify Corporate America’s Influence - The New York Times,How Think Tanks Amplify Corporate United_States ’s Influence - The raw York multiplication,think tank amplify corporate united_states influence raw york multiplication,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.7548396587371826,27
25,"Rural Counties Are Making A Comeback, Census Data Shows","Rural Counties differ Making A Comeback , Census Data Shows",rural county differ make comeback census datum show,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,RandomForestClassifier,fake,0.385267972946167,27
26,Tips to Reduce Food Waste - The New York Times,Tips to Reduce Food Waste - The unexampled York prison_term,tip reduce food waste unexampled york prison_term,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.22477483749389648,28
27,"Trump Team Didn’t Put Nominees to ‘Sex, Drugs and Rock ’n’ Roll’ Test - The New York Times","Trump Team Did n’t Put Nominees to ‘ Sex , Drugs and Rock ’ n ’ Roll ’ Test - The New House_of_York metre",trump team nominee sex drug rock n roll test new house_of_york metre,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.3458590507507324,30
28,Yahoo and the Online Universe According to Verizon - The New York Times,Yahoo and the Online Universe According to Verizon - The young York prison_term,yahoo online universe accord verizon young york prison_term,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.19751715660095215,30
